"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,7.55945503020225e-09,1
1878,7.55945503020225e-09,1
1879,7.55945503020225e-09,1
1880,7.55945503020225e-09,1
1881,7.55945503020225e-09,1
1882,7.55945503020225e-09,1
1883,7.55945503020225e-09,2
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,4.36872937825683e-09,1
1895,4.36872937825683e-09,1
1896,4.36872937825683e-09,1
1897,4.36872937825683e-09,1
1898,5.35530705495343e-09,2
1899,8.25381236373752e-09,5
1900,8.25381236373752e-09,4
1901,3.88508298548069e-09,2
1902,3.88508298548069e-09,1
1903,3.88508298548069e-09,1
1904,8.6504291983504e-09,3
1905,7.6638515216538e-09,2
1906,4.76534621286971e-09,2
1907,4.76534621286971e-09,2
1908,4.76534621286971e-09,2
1909,4.76534621286971e-09,2
1910,4.76534621286971e-09,2
1911,0,0
1912,0,0
1913,5.5714074623633e-10,0
1914,2.24430797755661e-09,1
1915,2.24430797755661e-09,1
1916,2.24430797755661e-09,1
1917,2.24430797755661e-09,1
1918,2.24430797755661e-09,0
1919,2.64101987898105e-09,1
1920,2.08387913274472e-09,1
1921,3.96711901424445e-10,0
1922,1.01615373258669e-09,0
1923,1.01615373258669e-09,0
1924,1.01615373258669e-09,0
1925,2.88055671379287e-09,1
1926,2.48384481236842e-09,1
1927,2.48384481236842e-09,1
1928,2.48384481236842e-09,1
1929,1.86440298120617e-09,0
1930,1.86440298120617e-09,0
1931,1.86440298120617e-09,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,3.05496478907636e-09,1
1947,6.62773125270633e-09,2
1948,6.62773125270633e-09,2
1949,6.62773125270633e-09,2
1950,6.62773125270633e-09,2
1951,6.62773125270633e-09,2
1952,6.62773125270633e-09,3
1953,4.663678713054e-09,1
1954,1.60896803816765e-09,0
1955,2.64304689245876e-09,1
1956,4.57708940590099e-09,1
1957,4.57708940590099e-09,1
1958,4.98166758638214e-09,1
1959,6.61418558018616e-09,2
1960,5.52327333076213e-09,2
1961,5.00521754201852e-09,2
1962,5.1498388728025e-09,2
1963,5.10943855479086e-09,2
1964,5.10943855479086e-09,2
1965,5.01484606222188e-09,2
1966,3.38232806841786e-09,1
1967,3.38232806841786e-09,1
1968,3.38232806841786e-09,2
1969,3.6595024153842e-09,2
1970,3.22052898634898e-09,2
1971,3.22052898634898e-09,1
1972,3.62865946814038e-09,1
1973,3.62865946814038e-09,1
1974,4.87163205014391e-09,2
1975,4.87163205014391e-09,2
1976,3.41575751810248e-09,2
1977,2.49100238848752e-09,1
1978,3.22631204292228e-09,2
1979,2.50819587321871e-09,1
1980,4.73138487119432e-09,3
1981,3.48841228919079e-09,2
1982,3.8810015518769e-09,2
1983,3.8810015518769e-09,2
1984,3.5168738714881e-09,2
1985,2.78156421705335e-09,2
1986,2.93145439668661e-09,2
1987,2.74760527028763e-09,2
1988,3.14964205510344e-09,3
1989,3.80674664806386e-09,4
1990,4.18580536898361e-09,4
1991,4.85461345725976e-09,5
1992,5.69156637692763e-09,6
1993,5.99042463253089e-09,7
1994,4.06312072082875e-09,5
1995,4.29177042317517e-09,5
1996,3.24207656752863e-09,4
1997,2.92850407019556e-09,4
1998,2.09391002552779e-09,3
1999,1.31555752402868e-09,2
2000,8.66809088792156e-10,2
2001,7.54773128917665e-10,2
2002,2.76226878672046e-10,1
2003,4.12740853399691e-10,1
2004,5.08624658263861e-10,2
2005,7.47450442809391e-10,2
2006,7.4936465366271e-10,2
2007,7.77957383037352e-10,3
2008,7.77957383037352e-10,3
2009,6.44300008186985e-10,3
2010,6.54059122338703e-10,3
2011,4.92689093887856e-10,3
2012,3.11259385329546e-10,2
2013,2.93049614336865e-10,2
2014,2.8193065342614e-10,3
2015,1.05488670179962e-09,8
2016,1.50516166593942e-09,10
2017,1.58537000657007e-09,13
2018,1.90244400788409e-09,15
2019,2.27761187687747e-09,17
