"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,6.4277127271544e-10,1
1822,6.4277127271544e-10,1
1823,6.4277127271544e-10,1
1824,6.4277127271544e-10,1
1825,6.4277127271544e-10,1
1826,6.4277127271544e-10,1
1827,6.4277127271544e-10,1
1828,0,0
1829,0,0
1830,0,0
1831,5.57367993029142e-10,1
1832,5.57367993029142e-10,1
1833,9.69759320465106e-10,1
1834,2.38178258068647e-09,4
1835,2.38178258068647e-09,4
1836,2.38178258068647e-09,4
1837,2.38178258068647e-09,4
1838,1.82441458765733e-09,3
1839,1.82441458765733e-09,3
1840,1.41202326022137e-09,3
1841,6.99776189375509e-11,0
1842,6.99776189375509e-11,0
1843,6.99776189375509e-11,0
1844,6.99776189375509e-11,0
1845,6.99776189375509e-11,0
1846,6.99776189375509e-11,0
1847,6.99776189375509e-11,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,6.09952152278278e-10,2
1861,6.09952152278278e-10,2
1862,6.09952152278278e-10,1
1863,8.96379415138426e-10,2
1864,8.96379415138426e-10,2
1865,1.29441838200453e-09,3
1866,1.42713724171628e-09,4
1867,2.41604585147849e-09,7
1868,4.52219543954437e-09,15
1869,5.47225667557605e-09,18
1870,5.1858294127159e-09,17
1871,5.75389430942533e-09,18
1872,5.80632421111536e-09,21
1873,5.79063161310067e-09,20
1874,4.82762228605692e-09,17
1875,3.32319809765685e-09,12
1876,6.70465105656604e-09,24
1877,8.66194468532707e-09,31
1878,1.75280734054135e-08,62
1879,2.04642444101566e-08,76
1880,2.31096995884877e-08,94
1881,2.28842008894091e-08,90
1882,2.41946406461167e-08,99
1883,2.02485979848367e-08,88
1884,1.84743697919019e-08,83
1885,9.35943222527388e-09,41
1886,7.65569788515766e-09,34
1887,8.70670402243677e-09,41
1888,9.0254280220105e-09,44
1889,8.81437115756485e-09,45
1890,9.64309275089789e-09,50
1891,1.21741627076962e-08,64
1892,1.43717239557496e-08,78
1893,1.60558225980363e-08,90
1894,1.35236578780689e-08,75
1895,1.38954838766311e-08,88
1896,1.25044623901425e-08,77
1897,1.40210522121225e-08,90
1898,1.30025046166501e-08,87
1899,1.21977945997744e-08,90
1900,1.04390742835684e-08,80
1901,1.02716360833588e-08,81
1902,9.5495357355884e-09,75
1903,1.04827021983413e-08,83
1904,9.4641231161509e-09,79
1905,1.13515478743022e-08,94
1906,1.69625140421832e-08,151
1907,1.84161164829793e-08,165
1908,1.92648289632344e-08,180
1909,2.31857009712542e-08,213
1910,2.38707923061069e-08,232
1911,2.46746162064057e-08,256
