"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,1.07258902711952e-08,1
1866,1.40181359853386e-08,2
1867,1.50078427146078e-08,2
1868,2.1563588628989e-08,3
1869,2.1563588628989e-08,3
1870,2.1563588628989e-08,3
1871,2.1563588628989e-08,3
1872,1.08376983577939e-08,1
1873,7.54545264365041e-09,1
1874,6.55574591438121e-09,1
1875,0,0
1876,0,0
1877,4.72465952075904e-09,1
1878,4.72465952075904e-09,1
1879,5.76516992875245e-09,1
1880,5.76516992875245e-09,1
1881,5.76516992875245e-09,1
1882,5.76516992875245e-09,1
1883,5.76516992875245e-09,1
1884,1.80142554841366e-09,0
1885,1.80142554841366e-09,0
1886,7.60915140420236e-10,0
1887,1.40006856901615e-09,0
1888,1.40006856901615e-09,0
1889,1.40006856901615e-09,0
1890,1.40006856901615e-09,0
1891,6.39153428595916e-10,0
1892,6.39153428595916e-10,0
1893,6.39153428595916e-10,0
1894,3.49498335034631e-09,1
1895,3.92969333264302e-09,1
1896,4.68616288630739e-09,2
1897,6.94932498847477e-09,2
1898,6.94932498847477e-09,2
1899,6.94932498847477e-09,4
1900,6.94932498847477e-09,4
1901,3.45434163812846e-09,2
1902,3.01963165583174e-09,1
1903,3.41130780766109e-09,1
1904,1.14814570549372e-09,0
1905,2.00417999656517e-09,1
1906,2.00417999656517e-09,1
1907,3.41511054356504e-09,1
1908,3.41511054356504e-09,1
1909,3.41511054356504e-09,1
1910,2.26696483807132e-09,1
1911,3.76878471288121e-09,1
1912,5.6666389675846e-09,2
1913,5.6666389675846e-09,2
1914,4.25570842058473e-09,1
1915,4.25570842058473e-09,1
1916,7.45778499273391e-09,2
1917,7.45778499273391e-09,3
1918,5.95596511792402e-09,1
1919,3.20207657214918e-09,1
1920,3.20207657214918e-09,1
1921,3.20207657214918e-09,1
1922,3.82151840331143e-09,1
1923,1.92569712556942e-09,0
1924,5.39887239676367e-09,1
1925,6.02034003601862e-09,1
1926,7.77619162712589e-09,2
1927,7.77619162712589e-09,2
1928,8.33209082681411e-09,2
