"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,2.57108509086176e-10,0
1822,2.57108509086176e-10,0
1823,2.57108509086176e-10,0
1824,2.57108509086176e-10,0
1825,2.57108509086176e-10,0
1826,2.57108509086176e-10,0
1827,2.57108509086176e-10,0
1828,0,0
1829,3.51371376439147e-10,0
1830,3.51371376439147e-10,0
1831,2.6737380087738e-09,3
1832,2.75888746768617e-09,6
1833,3.74862661546769e-09,6
1834,3.99780719639864e-09,6
1835,3.99780719639864e-09,7
1836,3.64643581995949e-09,6
1837,4.2659670954467e-09,7
1838,2.32522916000986e-09,4
1839,2.24007970109749e-09,4
1840,1.25034055331597e-09,2
1841,1.84089143135629e-09,3
1842,2.87475388731957e-09,5
1843,2.87475388731957e-09,5
1844,4.25870837007990e-09,9
1845,4.81142237163112e-09,11
1846,6.83325789602967e-09,15
1847,6.89386335715549e-09,15
1848,8.07757591370084e-09,17
1849,8.06476470129245e-09,18
1850,8.11223461024849e-09,19
1851,8.15160708378393e-09,21
1852,7.62175695176051e-09,20
1853,9.21937189685933e-09,28
1854,9.71428690662738e-09,30
1855,7.79584638114069e-09,22
1856,7.96756647959894e-09,23
1857,8.35330457979059e-09,24
1858,7.05929209532385e-09,19
1859,8.54361054125619e-09,24
1860,7.1809828638969e-09,21
1861,6.73843576175821e-09,17
1862,7.0234601547346e-09,16
1863,6.40354333844176e-09,15
1864,8.18380610104593e-09,21
1865,1.06192719300553e-08,27
1866,1.22253907870145e-08,36
1867,1.32959268119213e-08,40
1868,1.66782656098517e-08,54
1869,1.80696026078461e-08,58
1870,1.99464627275476e-08,66
1871,2.01269795036778e-08,64
1872,1.98502395988763e-08,71
1873,2.15434737866576e-08,73
1874,2.05608171440933e-08,72
1875,1.90712563043403e-08,66
1876,1.80181991232026e-08,66
1877,1.81549081244649e-08,65
1878,1.82283250081485e-08,65
1879,1.86375656138374e-08,69
1880,1.60803362133802e-08,65
1881,1.8123251625614e-08,71
1882,1.87750858392034e-08,77
1883,2.06808337221182e-08,89
1884,1.93453573061569e-08,87
1885,1.76615813382971e-08,78
1886,1.61380290460343e-08,72
1887,1.42255775869333e-08,66
1888,1.17821646050675e-08,58
1889,1.12967634453247e-08,58
1890,1.10405028393355e-08,57
1891,1.13258586378498e-08,60
1892,1.18231103716861e-08,64
1893,1.31201143441625e-08,74
1894,1.37934128206586e-08,77
1895,1.29712822368098e-08,82
1896,1.1438651908605e-08,71
1897,1.0584150906902e-08,68
1898,9.89564180201416e-09,67
1899,9.08832317538165e-09,67
1900,6.99194245953486e-09,54
1901,1.38943170500751e-08,110
1902,1.57854437656178e-08,123
1903,1.76802138504969e-08,139
