"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,8.20592673176991e-10,0
1937,1.62666312166136e-09,0
1938,1.62666312166136e-09,0
1939,1.62666312166136e-09,0
1940,1.62666312166136e-09,0
1941,1.62666312166136e-09,0
1942,1.62666312166136e-09,0
1943,8.06070448484369e-10,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,5.34483441632411e-10,0
1949,5.34483441632411e-10,0
1950,5.34483441632411e-10,0
1951,5.34483441632411e-10,0
1952,5.34483441632411e-10,0
1953,5.34483441632411e-10,0
1954,5.34483441632411e-10,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,8.11097348015924e-10,0
1961,3.58948160084083e-09,1
1962,8.30428234114119e-09,3
1963,1.0576653077164e-08,4
1964,1.0576653077164e-08,3
1965,1.0576653077164e-08,4
1966,1.0576653077164e-08,4
1967,9.76555572914809e-09,4
1968,8.04436187503857e-09,4
1969,3.32956113473821e-09,2
1970,3.23919354830845e-09,2
1971,3.23919354830845e-09,1
1972,5.39354212086047e-09,2
1973,5.39354212086047e-09,2
1974,5.39354212086047e-09,2
1975,4.33635172214508e-09,2
1976,4.33635172214508e-09,2
1977,2.15434857255202e-09,1
1978,2.15434857255202e-09,1
1979,0,0
1980,0,0
1981,0,0
1982,5.88883862308519e-10,0
1983,7.67581030482388e-10,0
1984,7.67581030482388e-10,1
1985,7.67581030482388e-10,1
1986,1.6669220765613e-09,1
1987,1.6669220765613e-09,1
1988,1.93494659977184e-09,2
1989,1.34606273746333e-09,1
1990,1.29371847361932e-09,1
1991,1.29371847361932e-09,1
1992,1.29371847361932e-09,1
1993,6.18751645158661e-10,1
1994,6.18751645158661e-10,1
1995,3.50727121948121e-10,0
1996,3.50727121948121e-10,0
1997,2.2437421761826e-10,0
1998,2.2437421761826e-10,0
1999,2.2437421761826e-10,0
2000,0,0
2001,1.43901081526922e-10,0
2002,2.96041318443534e-10,1
2003,4.32555293171179e-10,1
2004,4.72897800283891e-10,1
2005,4.72897800283891e-10,1
2006,5.03155114794929e-10,2
2007,5.31747844169571e-10,2
2008,3.87846762642649e-10,2
2009,3.46603698123512e-10,2
2010,2.10089723395868e-10,1
2011,1.85294020206759e-10,1
2012,1.85294020206759e-10,1
2013,1.97341563725116e-10,2
2014,1.86222602814391e-10,2
2015,2.78241178113576e-10,2
2016,2.79845886543205e-10,2
2017,3.26486867633739e-10,3
2018,3.70018715667442e-10,3
2019,4.62523394584302e-10,4
