"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,1.85789320436161e-10,0
1832,1.85789320436161e-10,0
1833,1.85789320436161e-10,0
1834,1.85789320436161e-10,0
1835,1.85789320436161e-10,0
1836,1.85789320436161e-10,0
1837,1.85789320436161e-10,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,1.52468623044426e-11,0
1906,1.52468623044426e-11,0
1907,2.98970362355711e-11,0
1908,3.31835039605163e-10,3
1909,3.59397055766613e-10,3
1910,7.8638762565245e-10,8
1911,7.8638762565245e-10,8
1912,7.71140763348007e-10,8
1913,8.71226195353625e-10,9
1914,9.73507936961683e-10,10
1915,6.71569933592091e-10,7
1916,1.05040822766046e-09,10
1917,6.51349126420556e-10,6
1918,8.38292238204895e-10,7
1919,9.5193821178904e-10,9
1920,8.98256089549537e-10,9
1921,7.8132417401035e-10,8
1922,7.8132417401035e-10,8
1923,5.71351420540291e-10,4
1924,2.1063977625627e-09,11
1925,2.83966167247129e-09,17
1926,2.72601569888715e-09,16
1927,2.79330428628758e-09,16
1928,3.63725522716558e-09,22
1929,3.94068479435207e-09,24
1930,3.88039419644112e-09,24
1931,4.15372704485963e-09,26
1932,4.36839577209826e-09,25
1933,4.53056589070197e-09,24
1934,4.5741491071029e-09,25
1935,4.75242548489011e-09,29
1936,4.95149427808578e-09,30
1937,5.19687841966337e-09,33
1938,3.53458576693047e-09,23
1939,2.67354430657666e-09,18
1940,3.36255185600416e-09,21
1941,3.31559102395573e-09,22
1942,2.34317979701843e-09,13
1943,1.94794807665108e-09,11
1944,1.73716887303626e-09,9
1945,1.71330623101516e-09,10
1946,2.13449230116299e-09,14
1947,2.22706225286703e-09,17
1948,3.1256479468159e-09,24
1949,3.3989489754495e-09,29
1950,3.44396209566484e-09,30
1951,4.23306789224373e-09,35
1952,4.39659148373675e-09,37
1953,4.72137149614455e-09,40
1954,4.25665037741472e-09,37
1955,4.13189972712859e-09,37
1956,4.72460703893063e-09,43
1957,4.89092039883993e-09,48
1958,4.9189227512609e-09,48
1959,5.05700134743682e-09,53
1960,4.91599344367076e-09,55
1961,5.35992357541299e-09,64
1962,5.45514284835561e-09,69
1963,5.1632613452614e-09,69
1964,6.8142031729525e-09,86
1965,6.31999768094646e-09,88
1966,6.65961657347891e-09,96
1967,6.39995165692607e-09,101
1968,6.2475141211176e-09,101
1969,5.66312849293554e-09,92
1970,6.01260108665632e-09,97
1971,4.82179437944723e-09,77
1972,4.94552645561942e-09,78
1973,4.64114173184419e-09,75
1974,4.71455200672694e-09,75
1975,4.72254489482436e-09,77
1976,4.78563852336038e-09,82
1977,4.27775483587332e-09,75
1978,4.4129385686328e-09,77
1979,4.18569159342717e-09,74
1980,4.71748738783179e-09,84
1981,4.55903548048285e-09,79
1982,4.22521320907e-09,74
1983,4.38894715015792e-09,80
1984,4.97455014185157e-09,93
1985,4.84191825473165e-09,93
1986,5.12882699752708e-09,99
1987,4.33741337985127e-09,84
1988,4.24000624987026e-09,83
1989,4.71994611351516e-09,97
1990,4.85708624114218e-09,103
1991,4.71907971529216e-09,97
1992,4.40861323935155e-09,94
1993,4.42724160407534e-09,95
1994,4.71361497353781e-09,102
1995,5.5096525229075e-09,123
1996,5.0450718335125e-09,111
1997,4.68304537410662e-09,102
1998,4.2610290177222e-09,95
1999,4.41931167454485e-09,100
2000,4.21692565192152e-09,104
2001,4.12404899317677e-09,102
2002,3.47650503325557e-09,91
2003,3.58385122868026e-09,98
2004,3.88335036399393e-09,109
2005,3.86922341041873e-09,103
2006,3.32761887142374e-09,92
2007,3.1617349477629e-09,89
2008,3.02658264571463e-09,87
2009,2.71937179471033e-09,75
2010,2.53270907421158e-09,67
2011,2.46765170549319e-09,66
2012,2.25765958854405e-09,77
2013,2.37350672994764e-09,82
2014,2.12404615870005e-09,65
2015,2.22933618936248e-09,59
2016,2.1954555906391e-09,58
2017,2.11717709914609e-09,58
2018,1.65670015483954e-09,43
2019,1.60363766363303e-09,36
