"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,4.2306250566274e-10,2
1890,4.2306250566274e-10,2
1891,4.2306250566274e-10,2
1892,4.2306250566274e-10,2
1893,4.2306250566274e-10,2
1894,4.2306250566274e-10,2
1895,4.2306250566274e-10,3
1896,0,0
1897,3.52952627442298e-11,0
1898,3.52952627442298e-11,0
1899,3.52952627442298e-11,0
1900,3.52952627442298e-11,0
1901,3.52952627442298e-11,0
1902,3.52952627442298e-11,0
1903,3.52952627442298e-11,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,1.30814268147919e-11,0
1910,1.30814268147919e-11,0
1911,1.30814268147919e-11,0
1912,1.30814268147919e-11,0
1913,1.08116660465666e-10,1
1914,1.08116660465666e-10,1
1915,1.23261453623323e-10,1
1916,1.10180026808531e-10,1
1917,1.36724335226506e-10,1
1918,1.6404638857643e-10,1
1919,1.6404638857643e-10,2
1920,2.45206974764616e-10,2
1921,3.51940273551105e-10,3
1922,5.66044675417591e-10,6
1923,7.75950375382044e-10,5
1924,1.16685604631009e-09,6
1925,1.66377583733977e-09,10
1926,1.90315220329116e-09,11
1927,2.11558178515275e-09,12
1928,2.39846520620558e-09,15
1929,2.45738898872551e-09,15
1930,2.45437344456193e-09,15
1931,2.11168785037495e-09,13
1932,1.6997717499396e-09,10
1933,1.68047205516077e-09,9
1934,1.74000324466255e-09,9
1935,1.39261538808658e-09,8
1936,1.18401825645518e-09,7
1937,1.16896023813088e-09,7
1938,1.13552017788621e-09,7
1939,1.33079154442304e-09,9
1940,1.18427463470715e-09,7
1941,9.9834410976258e-10,7
1942,1.09830075787988e-09,6
1943,1.01872491196721e-09,6
1944,1.02545276833447e-09,5
1945,1.14470631188254e-09,7
1946,8.6857711499379e-10,6
1947,1.47193555756685e-09,11
1948,1.2747181128108e-09,10
1949,1.32656036354119e-09,11
1950,1.58388909329446e-09,14
1951,1.9046239288104e-09,16
1952,2.13173531109025e-09,18
1953,2.75655168532499e-09,23
1954,3.11484869643307e-09,27
1955,3.65632593051541e-09,33
1956,3.75704068451237e-09,34
1957,4.33617118203841e-09,42
1958,5.35669814656042e-09,52
1959,5.96857508952267e-09,63
1960,5.57416421353985e-09,62
1961,5.52392924259491e-09,66
1962,5.5774462964786e-09,70
1963,5.75398056384164e-09,77
1964,5.6024236975784e-09,71
1965,4.72529624754145e-09,66
1966,4.74700380591132e-09,68
1967,5.66363333513533e-09,89
1968,5.81690982584141e-09,93
1969,6.12264887400737e-09,99
1970,6.786412271428e-09,109
1971,6.6639266109249e-09,107
1972,6.33238873341625e-09,100
1973,5.82184776330113e-09,94
1974,5.48077260807887e-09,87
1975,4.78204588774678e-09,78
1976,4.77947086322777e-09,82
1977,4.20186475445188e-09,73
1978,4.75714272091651e-09,83
1979,5.49278686671444e-09,97
1980,5.78715104310179e-09,102
1981,5.76982622344751e-09,100
1982,5.82370564817882e-09,102
1983,6.00799516634847e-09,109
1984,6.31056065191125e-09,117
1985,5.81229276761757e-09,111
1986,5.33024825121107e-09,102
1987,5.20592131456848e-09,100
1988,4.93973647502128e-09,97
1989,5.29452173274127e-09,109
1990,4.60954380617932e-09,98
1991,4.4937168951209e-09,92
1992,5.03708669269013e-09,107
1993,7.10715668013934e-09,151
1994,7.03940296331584e-09,152
1995,8.60883084610742e-09,192
1996,8.61895817117724e-09,190
1997,9.87619746797445e-09,215
1998,9.87460478514359e-09,219
1999,9.37779285327202e-09,211
2000,7.55862885922538e-09,186
2001,7.39966180095848e-09,181
2002,5.7468736396655e-09,150
2003,5.33090073324773e-09,145
2004,4.15452160322714e-09,116
2005,3.77641199412827e-09,100
2006,3.39465974130307e-09,93
2007,2.91662463575545e-09,82
2008,2.81477994037993e-09,80
2009,2.69549647979079e-09,74
2010,2.45191876821879e-09,65
2011,2.37157456074127e-09,63
2012,2.18980653848051e-09,75
2013,2.17029129191891e-09,75
2014,2.23745334561519e-09,68
2015,2.14354367192701e-09,57
2016,2.31579579223246e-09,61
2017,2.46986178615664e-09,67
2018,2.31564186575772e-09,60
2019,2.57482325044522e-09,58
