"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,7.87357353918391e-10,0
1900,7.87357353918391e-10,0
1901,7.87357353918391e-10,0
1902,7.87357353918391e-10,0
1903,7.87357353918391e-10,0
1904,7.87357353918391e-10,0
1905,7.87357353918391e-10,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,2.89683705594663e-10,0
1968,2.89683705594663e-10,0
1969,2.89683705594663e-10,0
1970,2.89683705594663e-10,0
1971,2.89683705594663e-10,0
1972,6.29531791775305e-10,0
1973,6.29531791775305e-10,0
1974,3.39848086180642e-10,0
1975,3.39848086180642e-10,0
1976,3.39848086180642e-10,0
1977,3.39848086180642e-10,0
1978,3.39848086180642e-10,0
1979,0,0
1980,0,0
1981,5.96682766687958e-10,0
1982,5.96682766687958e-10,0
1983,9.33449635048029e-10,1
1984,9.33449635048029e-10,1
1985,9.33449635048029e-10,1
1986,1.35660689031576e-09,1
1987,1.61261795980242e-09,1
1988,1.01593519311446e-09,1
1989,1.38621950426402e-09,1
1990,1.04945263590395e-09,1
1991,1.04945263590395e-09,1
1992,1.7241927726833e-09,2
1993,1.30103551741558e-09,1
1994,1.46600893329613e-09,2
1995,1.66370940833462e-09,2
1996,1.90960674257517e-09,2
1997,2.0325614445506e-09,3
1998,2.27200632117532e-09,3
1999,1.81726193617036e-09,3
2000,1.86643962190353e-09,4
2001,1.67090308256235e-09,4
2002,1.66363955944604e-09,4
2003,1.13297483299896e-09,3
2004,1.42645945848991e-09,4
2005,1.41130047331168e-09,4
2006,1.24805668577643e-09,4
2007,6.39627173845295e-09,23
2008,6.25654626123280e-09,26
2009,6.30838780816109e-09,30
2010,6.27426105515028e-09,31
2011,5.87236249012722e-09,36
2012,5.66598401629299e-09,44
2013,5.86669802123328e-09,46
2014,7.02060833079887e-10,6
2015,1.01408699195885e-09,8
2016,1.24771231739342e-09,8
2017,1.39570917670473e-09,11
2018,1.65449394462502e-09,13
2019,2.03677944995984e-09,15
