"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,2.18960992194793e-10,0
1839,2.18960992194793e-10,0
1840,2.18960992194793e-10,0
1841,2.18960992194793e-10,0
1842,2.18960992194793e-10,0
1843,2.18960992194793e-10,0
1844,2.18960992194793e-10,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,8.86445282257041e-11,0
1852,8.86445282257041e-11,0
1853,8.86445282257041e-11,0
1854,8.86445282257041e-11,0
1855,8.86445282257041e-11,0
1856,8.86445282257041e-11,0
1857,8.86445282257041e-11,0
1858,0,0
1859,0,0
1860,3.49180367160378e-10,1
1861,3.49180367160378e-10,1
1862,3.49180367160378e-10,1
1863,3.49180367160378e-10,1
1864,3.49180367160378e-10,1
1865,3.49180367160378e-10,1
1866,3.49180367160378e-10,1
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,1.48630631611825e-10,0
1874,3.75732936827181e-10,1
1875,3.75732936827181e-10,1
1876,3.75732936827181e-10,1
1877,3.75732936827181e-10,1
1878,3.75732936827181e-10,1
1879,5.41829866688001e-10,2
1880,5.1837396280214e-10,2
1881,2.91271657586784e-10,1
1882,2.91271657586784e-10,1
1883,2.91271657586784e-10,1
1884,2.91271657586784e-10,1
1885,3.18874676663583e-10,1
1886,1.52777746802763e-10,1
1887,2.76030190767987e-11,0
1888,2.76030190767987e-11,0
1889,2.76030190767987e-11,0
1890,7.57218256351523e-11,0
1891,7.57218256351523e-11,0
1892,4.81188065583536e-11,0
1893,7.00394643076458e-11,0
1894,1.33012884436948e-10,1
1895,1.53134120463503e-10,1
1896,2.08412917876036e-10,1
1897,1.95589374061912e-10,1
1898,2.12719570133072e-10,1
1899,2.64605240496429e-10,2
1900,2.42684582747137e-10,2
1901,5.21546811690524e-10,4
1902,5.17776052192228e-10,4
1903,5.53270921141039e-10,4
1904,6.38394222405937e-10,5
1905,6.35735494009764e-10,5
1906,5.98582133264675e-10,5
1907,6.95969770901441e-10,6
1908,3.80198008988396e-10,4
1909,3.63847532460136e-10,3
1910,2.73073866098793e-10,3
1911,2.18998003263606e-10,2
1912,3.27721878404638e-10,3
1913,3.53718952937422e-10,4
1914,4.09087155024095e-10,4
1915,4.4360244049508e-10,4
1916,4.4360244049508e-10,4
1917,5.36507520949263e-10,5
1918,5.11147901782749e-10,5
1919,4.01450957793997e-10,4
1920,5.1489291600212e-10,5
