"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,7.98819359865937e-10,0
1901,7.98819359865937e-10,0
1902,7.98819359865937e-10,0
1903,7.98819359865937e-10,0
1904,7.98819359865937e-10,0
1905,7.98819359865937e-10,0
1906,7.98819359865937e-10,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,7.15003992520938e-10,0
1930,7.15003992520938e-10,0
1931,7.15003992520938e-10,0
1932,7.15003992520938e-10,0
1933,7.15003992520938e-10,0
1934,7.15003992520938e-10,0
1935,7.15003992520938e-10,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,5.7447145453336e-10,0
1950,5.7447145453336e-10,0
1951,5.7447145453336e-10,0
1952,5.7447145453336e-10,0
1953,5.7447145453336e-10,0
1954,5.7447145453336e-10,0
1955,5.7447145453336e-10,0
1956,1.16042550806534e-08,3
1957,1.29526722046437e-08,4
1958,1.65938758606948e-08,5
1959,1.78182643243271e-08,5
1960,1.90349104097923e-08,6
1961,1.90349104097923e-08,7
1962,2.17852107147516e-08,8
1963,1.13171410021096e-08,4
1964,1.02960549927137e-08,3
1965,6.65485133666266e-09,2
1966,5.74749574917226e-09,2
1967,4.53084966370706e-09,2
1968,5.58804006242245e-09,3
1969,3.20170839047356e-09,1
1970,2.79285740565984e-09,1
1971,2.4655262910654e-09,1
1972,8.56951370182506e-09,3
1973,1.0061150991701e-08,4
1974,1.13041235737045e-08,4
1975,1.02469331749891e-08,4
1976,9.88296454197877e-09,5
1977,1.07453710691224e-08,5
1978,1.27061968565759e-08,6
1979,9.17919213654678e-09,5
1980,7.59284087984266e-09,4
1981,8.88013661017238e-09,5
1982,1.10393775232254e-08,7
1983,1.17541661959208e-08,7
1984,1.31485725640701e-08,9
1985,1.15105619797567e-08,8
1986,9.38324981206559e-09,7
1987,9.56879886437889e-09,8
1988,7.97661635156187e-09,7
1989,6.99828097060008e-09,7
1990,6.66255101882436e-09,7
1991,8.20905718005146e-09,9
1992,8.60363015751732e-09,9
1993,9.50020490846677e-09,11
1994,9.42844481853302e-09,11
1995,9.22615989955895e-09,11
1996,8.98203670171175e-09,11
1997,9.71624377780042e-09,12
1998,6.01459038129804e-09,8
1999,6.0590076130954e-09,9
2000,6.59818431638014e-09,14
2001,6.54987860774067e-09,15
2002,6.37192520969165e-09,15
2003,5.79918012024093e-09,16
2004,5.17002440858505e-09,15
2005,4.8527939127447e-09,14
2006,5.24076642400522e-09,16
2007,4.27031178672012e-09,15
2008,4.66918313536878e-09,19
2009,4.61037294055952e-09,22
2010,4.90456459572337e-09,24
2011,4.60701616538423e-09,28
2012,4.40135902327451e-09,34
2013,3.44195296074292e-09,27
2014,2.6493020000018e-09,24
2015,2.14666563889766e-09,16
2016,2.00388429659272e-09,13
2017,1.56993129607486e-09,13
2018,1.62273123827106e-09,12
2019,1.49271733862477e-09,11
