"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,6.06054611258194e-11,0
1848,6.06054611258194e-11,0
1849,6.06054611258194e-11,0
1850,6.06054611258194e-11,0
1851,6.06054611258194e-11,0
1852,6.06054611258194e-11,0
1853,6.06054611258194e-11,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,3.95858861563474e-11,0
1870,3.95858861563474e-11,0
1871,3.95858861563474e-11,0
1872,3.95858861563474e-11,0
1873,3.95858861563474e-11,0
1874,3.95858861563474e-11,0
1875,3.95858861563474e-11,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,1.30854485976987e-10,1
1890,2.32037246559815e-10,1
1891,3.08852396039124e-10,2
1892,3.08852396039124e-10,2
1893,3.08852396039124e-10,2
1894,3.97219487461139e-10,2
1895,3.97219487461139e-10,2
1896,3.05125853155326e-10,2
1897,2.96826872604937e-10,2
1898,2.20011723125627e-10,1
1899,2.20011723125627e-10,2
1900,3.10364749773433e-10,2
1901,3.59091153637589e-10,3
1902,6.00147217636301e-10,5
1903,6.88899524727203e-10,5
1904,7.8626062803368e-10,6
1905,8.01507490338122e-10,7
1906,9.25627379308061e-10,8
1907,8.35274352660255e-10,7
1908,7.2562976758236e-10,7
1909,4.84573703583648e-10,4
1910,9.49337803804858e-10,9
1911,7.59092920465942e-10,8
1912,7.438460581615e-10,8
1913,7.77003281160482e-10,8
1914,8.35469239425711e-10,8
1915,1.07897860091022e-09,11
1916,1.12413419049519e-09,11
1917,5.59788400157833e-10,5
1918,5.88548878283872e-10,5
1919,7.73223582384297e-10,7
1920,7.7835804666661e-10,8
1921,1.02911977947365e-09,10
1922,1.53100298113821e-09,15
1923,1.58406116993312e-09,10
1924,3.38774437074514e-09,17
1925,3.81908740346556e-09,22
1926,5.26194315897399e-09,30
1927,6.35014237225308e-09,37
1928,6.33743799502032e-09,39
1929,8.32074835223549e-09,51
1930,9.692813837273e-09,60
1931,1.27143061634527e-08,79
1932,1.27034243283372e-08,71
1933,1.21647503181777e-08,63
