"Year","Freq","Count"
1800,4.17967633836724e-08,0
1801,3.3437410706938e-08,0
1802,2.78645089224483e-08,0
1803,2.388386479067e-08,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,1.18315120240758e-08,0
1812,1.18315120240758e-08,0
1813,1.18315120240758e-08,0
1814,1.18315120240758e-08,0
1815,1.18315120240758e-08,0
1816,1.18315120240758e-08,0
1817,1.18315120240758e-08,0
1818,0,0
1819,3.41944783599502e-09,0
1820,3.41944783599502e-09,0
1821,1.77510938012152e-08,0
1822,1.77510938012152e-08,1
1823,2.58643823818667e-08,1
1824,2.58643823818667e-08,1
1825,2.58643823818667e-08,1
1826,2.24449345458717e-08,1
1827,2.85554487991898e-08,1
1828,2.09636793004263e-08,1
1829,3.38740662186865e-08,1
1830,2.81271247562894e-08,1
1831,4.0270149881394e-08,2
1832,4.90099788054619e-08,3
1833,4.90099788054619e-08,3
1834,6.69837612678391e-08,4
1835,6.76937594233453e-08,4
1836,5.66871333366034e-08,4
1837,5.43207862183489e-08,4
1838,4.21777610932444e-08,2
1839,3.92987804837779e-08,3
1840,4.90010669500813e-08,4
1841,2.4916770234386e-08,2
1842,1.74668956124232e-08,2
1843,1.88197231766805e-08,1
1844,2.20253283548085e-08,2
1845,2.20253283548085e-08,2
1846,1.79058968287547e-08,2
1847,9.68081132717608e-09,1
1848,3.30461443606315e-08,3
1849,7.10298303983693e-08,6
1850,7.58702621997795e-08,7
1851,7.26646570216514e-08,5
1852,8.05105460394933e-08,8
1853,8.00491374773417e-08,7
1854,8.26587009632768e-08,8
1855,7.2358088790533e-08,7
1856,3.8637764733705e-08,4
1857,3.18360723180636e-08,3
1858,3.36628525689418e-08,3
1859,2.58169635511e-08,3
1860,2.62351563965321e-08,3
1861,2.63265887820044e-08,2
1862,1.69893007598684e-08,1
1863,2.62310936146751e-08,2
1864,2.59240677179053e-08,3
1865,3.3929353548956e-08,4
1866,3.50267687870038e-08,5
1867,4.02565145662948e-08,6
1868,3.7951387937036e-08,6
1869,3.53823147288982e-08,5
1870,3.66851861904089e-08,5
1871,3.81341128833209e-08,6
1872,3.14148946856108e-08,4
1873,5.1560303582221e-08,6
1874,4.68512416164556e-08,5
1875,1.95881954593144e-07,27
1876,1.94723594962706e-07,26
1877,1.81805432423029e-07,23
1878,1.87630095333751e-07,21
1879,1.95962861683695e-07,26
1880,1.78089697909302e-07,27
1881,1.7673357387084e-07,30
1882,2.58297906872786e-08,4
1883,3.69218622025309e-08,8
1884,3.50319984449803e-08,6
1885,2.82225278702697e-08,5
1886,1.81830251807672e-08,3
1887,2.50398196780363e-08,5
1888,3.23221878468465e-08,6
1889,3.50397671512935e-08,7
1890,2.65336121328476e-08,6
1891,3.5178095357326e-08,8
1892,3.49850473670342e-08,9
1893,3.40070415319868e-08,9
1894,2.55280783496253e-08,6
1895,1.99912091008209e-08,7
1896,1.95430383304845e-08,6
1897,2.09176555759123e-08,7
1898,1.72060604811516e-08,6
1899,1.67748319679362e-08,9
1900,2.7530196915799e-08,14
1901,5.50784837421198e-08,24
1902,6.49175339516108e-08,22
1903,6.72407082394752e-08,24
1904,7.93090654736618e-08,27
1905,1.00913241191896e-07,31
1906,1.21098699829807e-07,45
1907,1.14500753259758e-07,38
1908,9.53162699244915e-08,32
1909,8.91690124912462e-08,32
1910,9.37774597023885e-08,38
1911,8.37558482252072e-08,28
1912,6.54804500145799e-08,22
1913,4.6138269205187e-08,14
1914,4.83014140430425e-08,14
1915,4.76564980494183e-08,15
1916,6.91077761365883e-08,18
1917,8.33962434348174e-08,28
1918,8.25618008245702e-08,17
1919,8.89784752544642e-08,24
1920,9.27697299297441e-08,29
1921,1.15690615436798e-07,32
1922,1.18613072633674e-07,42
1923,9.86992740235694e-08,23
1924,9.37333781385925e-08,18
1925,1.12176312175702e-07,26
1926,1.13300637126303e-07,25
1927,1.497431397292e-07,37
1928,1.36194662087823e-07,31
1929,1.40965921094757e-07,34
1930,1.78905937302838e-07,43
1931,1.64767116902656e-07,42
1932,1.56215849779682e-07,31
1933,1.47796571869918e-07,25
1934,1.39456710496993e-07,27
1935,1.49369676437163e-07,31
1936,1.46980249051053e-07,28
1937,2.21307201136207e-07,45
1938,2.34394324901846e-07,42
1939,2.30916282159147e-07,40
1940,2.26774334675741e-07,40
1941,2.01038759481012e-07,34
1942,1.79492549331631e-07,26
1943,1.82763898745212e-07,24
1944,8.24538766153182e-08,12
1945,7.2657122984765e-08,12
1946,8.79543535146711e-08,20
1947,1.0359753677136e-07,25
1948,1.00578144796819e-07,24
1949,1.22803235390125e-07,29
1950,1.27817450718786e-07,36
1951,1.28258517330591e-07,34
1952,1.33377075733116e-07,66
1953,1.28857084875327e-07,34
1954,1.18261354709048e-07,32
1955,1.22240673995831e-07,37
1956,1.25021899150773e-07,33
1957,1.29832953562773e-07,36
1958,1.48032337372277e-07,41
1959,2.11558845077318e-07,62
1960,2.02983799641692e-07,64
1961,2.33592285831768e-07,82
1962,2.37375417544428e-07,83
1963,2.38558273770094e-07,84
1964,2.35568150509989e-07,72
1965,2.07052763918319e-07,75
1966,1.57046275603027e-07,59
1967,1.57325158551507e-07,68
1968,1.60715397625109e-07,74
1969,2.52237628434975e-07,113
1970,2.59745677728367e-07,121
1971,2.65779347102019e-07,107
1972,2.98946775524809e-07,117
1973,2.93131309194093e-07,115
1974,3.1324551739788e-07,124
1975,3.10218446994018e-07,123
1976,2.28016793858897e-07,108
1977,2.06524019060897e-07,94
1978,2.0061371519553e-07,96
1979,1.84702198773629e-07,92
1980,1.90215247553027e-07,102
1981,1.76275647602507e-07,102
1982,1.58607509348485e-07,96
1983,1.73168351927774e-07,111
1984,1.74712527762593e-07,118
1985,2.14436444616923e-07,155
1986,2.18288258389622e-07,174
1987,2.4462000482371e-07,210
1988,2.89373804664349e-07,255
1989,2.91399507880628e-07,276
1990,2.92093038875166e-07,305
1991,2.9782135660009e-07,316
1992,2.64064167429127e-07,286
1993,2.84755158571784e-07,320
1994,3.58228481204101e-07,427
1995,4.04969153869735e-07,481
1996,4.49642471177038e-07,570
1997,4.75034063434394e-07,603
1998,5.0284991115479e-07,680
1999,5.3382329728053e-07,810
2000,5.54798527896416e-07,1204
2001,4.74263021822883e-07,1057
2002,4.16739036129028e-07,1010
2003,4.45281516603391e-07,1208
2004,4.57012726464066e-07,1354
2005,4.53952567433128e-07,1272
2006,4.55703569522482e-07,1423
2007,4.32589873390819e-07,1523
2008,4.29035858649586e-07,1786
2009,4.27684209182631e-07,2008
2010,3.7248327770602e-07,1851
2011,3.36628872879948e-07,2090
2012,3.31605958406708e-07,2550
2013,2.96893140294685e-07,2308
2014,2.77787598574568e-07,2540
2015,2.78334072718283e-07,2068
2016,2.59786160385276e-07,1746
2017,2.54512045133604e-07,2070
2018,2.51631843439792e-07,1942
2019,2.38069097352467e-07,1803
