"Year","Freq","Count"
1800,2.88636822665111e-07,72
1801,2.45211142946289e-07,60
1802,2.06368544179251e-07,49
1803,1.86715322314512e-07,64
1804,8.95453996666414e-08,27
1805,8.88418905426696e-08,29
1806,6.91529568846201e-08,28
1807,6.95045282915276e-08,32
1808,8.49436280679429e-08,46
1809,9.06250383308256e-08,50
1810,8.755310678042e-08,60
1811,8.45839755538234e-08,51
1812,8.46661467760309e-08,67
1813,7.89156123781609e-08,52
1814,8.09938797776054e-08,49
1815,6.3064919366061e-08,38
1816,6.62966746738698e-08,49
1817,6.84506804254121e-08,47
1818,6.61260187559013e-08,49
1819,6.11484901761169e-08,46
1820,6.78654976342991e-08,56
1821,8.57154228547533e-08,68
1822,8.80960756407692e-08,83
1823,8.9385737859057e-08,86
1824,1.53168711936047e-07,169
1825,1.8831911306551e-07,215
1826,1.90590397146957e-07,193
1827,1.97340485095866e-07,209
1828,1.8816472614956e-07,211
1829,1.89934797952976e-07,228
1830,1.93339494033598e-07,263
1831,1.39039589397427e-07,179
1832,1.06843107440722e-07,216
1833,1.06343968742095e-07,159
1834,9.67750170158662e-08,148
1835,1.09031329425286e-07,182
1836,1.0683786883752e-07,184
1837,1.04658877358205e-07,179
1838,1.06950009340753e-07,182
1839,1.08601656033182e-07,206
1840,1.08846339608171e-07,200
1841,1.07084145320854e-07,200
1842,8.01873828448763e-08,151
1843,7.60783250524406e-08,143
1844,7.63366396681699e-08,155
1845,6.85996862648253e-08,161
1846,6.49533209638532e-08,141
1847,6.47355024387318e-08,138
1848,7.51201680661483e-08,160
1849,8.16731514680884e-08,178
1850,8.33622128429809e-08,196
1851,8.29852940690109e-08,216
1852,7.625704635607e-08,202
1853,7.31351681517088e-08,219
1854,6.6104741169066e-08,203
1855,5.91532036012651e-08,166
1856,5.42507604196972e-08,160
1857,5.7625527948619e-08,162
1858,5.22979637968784e-08,142
1859,5.85694149489248e-08,168
1860,7.43779661947576e-08,220
1861,7.73507741667702e-08,191
1862,6.99492746106653e-08,163
1863,6.88233065299875e-08,161
1864,6.35073917501902e-08,160
1865,6.10957067952762e-08,156
1866,6.07268383674102e-08,181
1867,7.09769546152523e-08,214
1868,7.26581762612786e-08,234
1869,7.48980503688974e-08,241
1870,8.02464612497429e-08,264
1871,9.07899532657083e-08,288
1872,9.74406673602348e-08,350
1873,1.69616927661994e-07,572
1874,1.4885198522187e-07,522
1875,1.63266927683774e-07,567
1876,1.75087499415527e-07,639
1877,1.77003186556192e-07,634
1878,1.71116420089046e-07,607
1879,1.84994742489072e-07,687
1880,1.14805213480681e-07,467
1881,1.12740543708229e-07,442
1882,1.0578649353126e-07,431
1883,1.04342755418073e-07,451
1884,1.061518455656e-07,479
1885,1.09756264372675e-07,482
1886,1.13467449636536e-07,503
1887,1.17873821691467e-07,550
1888,1.2527366263385e-07,614
1889,1.17844951844478e-07,608
1890,1.15027298464021e-07,592
1891,1.21496417902568e-07,640
1892,1.27508744301214e-07,693
1893,1.07439682896425e-07,604
1894,1.25265891278862e-07,696
1895,1.24586991358454e-07,789
1896,1.28474314353699e-07,793
1897,1.25270991274684e-07,807
1898,1.21015416548742e-07,813
1899,1.19269825194739e-07,876
1900,1.45715839343165e-07,1116
1901,2.40333435767649e-07,1896
