"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,4.71752472007227e-09,1
1881,4.71752472007227e-09,1
1882,4.71752472007227e-09,1
1883,4.71752472007227e-09,1
1884,4.71752472007227e-09,1
1885,4.71752472007227e-09,1
1886,4.71752472007227e-09,1
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,5.87047407510763e-09,1
1917,5.87047407510763e-09,2
1918,5.87047407510763e-09,1
1919,5.87047407510763e-09,2
1920,8.29833059410946e-09,3
1921,8.29833059410946e-09,2
1922,8.29833059410946e-09,3
1923,2.42785651900184e-09,1
1924,2.42785651900184e-09,0
1925,2.42785651900184e-09,1
1926,2.42785651900184e-09,1
1927,0,0
1928,0,0
1929,1.43000798504188e-09,0
1930,1.43000798504188e-09,0
1931,1.43000798504188e-09,0
1932,1.43000798504188e-09,0
1933,2.1683467085357e-09,0
1934,2.1683467085357e-09,0
1935,2.1683467085357e-09,0
1936,7.38338723493825e-10,0
1937,7.38338723493825e-10,0
1938,3.2343251251835e-09,1
1939,3.2343251251835e-09,1
1940,2.49598640168967e-09,0
1941,2.49598640168967e-09,0
1942,2.49598640168967e-09,0
1943,2.49598640168967e-09,0
1944,2.49598640168967e-09,0
1945,0,0
1946,3.66595794990384e-09,1
1947,3.66595794990384e-09,1
1948,4.73492483316867e-09,1
1949,4.73492483316867e-09,1
1950,4.73492483316867e-09,1
1951,4.73492483316867e-09,1
1952,1.08948588563505e-08,5
1953,1.65016551534336e-08,4
1954,1.70197109421772e-08,5
1955,1.69848229132035e-08,5
1956,1.69848229132035e-08,4
1957,1.69848229132035e-08,5
1958,1.8198557454647e-08,5
1959,1.32630119268181e-08,4
1960,3.99025767983119e-09,1
1961,3.47220189108758e-09,1
1962,2.43812303679647e-09,1
1963,2.43812303679647e-09,1
1964,2.43812303679647e-09,1
1965,1.22438849535302e-09,0
1966,0,0
1967,0,0
1968,3.52396810145349e-10,0
1969,3.52396810145349e-10,0
1970,3.52396810145349e-10,0
1971,7.11825106794858e-10,0
1972,7.11825106794858e-10,0
1973,1.31471516213415e-09,1
1974,1.93620145313592e-09,1
1975,1.58380464299057e-09,1
1976,1.58380464299057e-09,1
1977,2.11371827977099e-09,1
1978,1.99939320655318e-09,1
1979,2.2336643645815e-09,1
1980,1.6307743092422e-09,1
1981,1.22014371622165e-09,1
1982,1.41643834756471e-09,1
1983,1.77383268391245e-09,1
1984,1.57549095991527e-09,1
1985,1.49179533805364e-09,1
1986,1.85708489855837e-09,1
1987,2.40090886854156e-09,2
1988,2.19005317056034e-09,2
1989,2.1249702711731e-09,2
1990,1.76757593482537e-09,2
1991,1.43600402204212e-09,2
1992,1.27459642047205e-09,1
1993,1.01159702043623e-09,1
1994,4.67773050453043e-10,1
1995,8.88230703274421e-10,1
1996,7.57018971318603e-10,1
1997,7.57018971318603e-10,1
1998,7.57018971318603e-10,1
1999,9.91420643993633e-10,2
2000,8.11977818315768e-10,2
2001,9.07911872667049e-10,2
2002,5.38167629507821e-10,1
2003,5.38167629507821e-10,1
2004,5.78510136620533e-10,2
2005,5.78510136620533e-10,2
2006,7.07196246008124e-10,2
2007,6.07263211938047e-10,2
2008,6.02885626342444e-10,3
2009,7.0003510924518e-10,3
2010,7.91455789794782e-10,4
2011,8.4439410424115e-10,5
2012,9.78318285509745e-10,8
2013,6.36382932461821e-10,5
2014,6.14145010640372e-10,6
2015,6.33010832243716e-10,5
2016,6.35150442161527e-10,4
2017,6.34351388547246e-10,5
2018,6.30628516073983e-10,5
2019,5.53918327872438e-10,4
