"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,8.30601936436486e-11,0
1835,7.5332740046008e-10,1
1836,7.5332740046008e-10,1
1837,7.5332740046008e-10,1
1838,7.5332740046008e-10,1
1839,7.5332740046008e-10,1
1840,7.5332740046008e-10,1
1841,6.70267206816431e-10,1
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,2.68870164228068e-10,1
1869,2.68870164228068e-10,1
1870,3.53343084949894e-10,1
1871,3.93919147301247e-10,1
1872,5.98677722475825e-10,2
1873,6.76695227630475e-10,2
1874,6.76695227630475e-10,2
1875,5.28170146507634e-10,2
1876,1.21814587385392e-09,4
1877,1.86765804805716e-09,7
1878,1.89965270498098e-09,7
1879,3.12636047209277e-09,12
1880,4.52824367685218e-09,18
1881,4.65450605835471e-09,18
1882,4.76102802420592e-09,19
1883,4.71350486419553e-09,20
1884,4.8033142304885e-09,22
1885,4.75976678705946e-09,21
1886,3.32830044477309e-09,15
1887,2.01420354998102e-09,9
1888,2.21197526961703e-09,11
1889,2.37767168453917e-09,12
1890,2.21583721807647e-09,11
1891,2.13458923354575e-09,11
1892,2.39769653139924e-09,13
1893,5.28040534908403e-09,30
1894,5.11460153396204e-09,28
1895,4.7905674328235e-09,30
1896,4.39800396894492e-09,27
1897,3.9359626232852e-09,25
1898,3.51810318575753e-09,24
1899,3.3352560514986e-09,24
1900,6.33253279179259e-10,5
1901,6.50389966090031e-10,5
1902,7.53699707803764e-10,6
1903,9.44969445946877e-10,7
1904,9.73953911568134e-10,8
1905,8.16982354783542e-10,7
1906,8.47333790434033e-10,8
1907,8.86380354035511e-10,8
1908,1.51429306197556e-09,14
1909,1.6176984414727e-09,15
1910,1.49529815117257e-09,15
1911,1.83911901580862e-09,19
1912,1.80113050367105e-09,19
1913,1.74728314059466e-09,18
1914,1.79062733787364e-09,18
1915,1.33684261379084e-09,13
1916,1.43116474921046e-09,14
1917,1.59971279179676e-09,16
1918,1.30899237976712e-09,12
1919,1.50599758259278e-09,14
1920,1.86104152128624e-09,19
1921,2.10395366406768e-09,21
1922,2.7579843666795e-09,28
1923,2.80069534627384e-09,17
1924,3.07612996583043e-09,16
1925,3.36655626986815e-09,20
