"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,8.26189148840837e-10,0
1879,8.26189148840837e-10,0
1880,8.26189148840837e-10,0
1881,8.26189148840837e-10,0
1882,8.26189148840837e-10,0
1883,8.26189148840837e-10,0
1884,1.58710428926107e-09,0
1885,7.60915140420236e-10,0
1886,7.60915140420236e-10,0
1887,1.40006856901615e-09,0
1888,1.40006856901615e-09,0
1889,1.40006856901615e-09,0
1890,1.91725184934504e-09,0
1891,5.76672776197995e-09,1
1892,5.76672776197995e-09,2
1893,6.19483347159238e-09,2
1894,5.55568004299646e-09,1
1895,6.42510000758989e-09,2
1896,6.42510000758989e-09,2
1897,6.75660254729442e-09,2
1898,2.47507071980481e-09,1
1899,3.71728733509055e-09,2
1900,3.68859130541109e-09,2
1901,3.68859130541109e-09,2
1902,2.81917134081766e-09,1
1903,2.81917134081766e-09,1
1904,1.97048552078424e-09,1
1905,1.64162629521871e-09,1
1906,3.99409679932968e-10,0
1907,0,0
1908,0,0
1909,0,0
1910,9.68529447119084e-10,0
1911,9.68529447119084e-10,0
1912,2.80445514430231e-09,1
1913,5.59015874860133e-09,2
1914,7.2773259799216e-09,2
1915,7.2773259799216e-09,2
1916,1.58161971773398e-08,4
1917,1.52993888351866e-08,5
1918,1.52993888351866e-08,3
1919,1.34634631380034e-08,4
1920,1.31056160527062e-08,4
1921,1.29399644333006e-08,4
1922,1.29399644333006e-08,5
1923,3.70574749616484e-08,9
1924,3.66057538566825e-08,7
1925,4.09560273949085e-08,9
1926,4.32971629343066e-08,9
1927,4.08693064153048e-08,10
1928,3.99036900030783e-08,9
1929,4.06186939955993e-08,10
1930,1.22009740088913e-08,3
1931,1.29317708287756e-08,3
1932,1.13204979358881e-08,2
1933,1.04560398434777e-08,2
1934,1.04560398434777e-08,2
1935,9.90014064378946e-09,2
1936,9.18513665126852e-09,2
1937,7.36468632110489e-09,2
1938,9.1298759029103e-09,2
1939,8.32195201638797e-09,1
1940,1.11671938997558e-08,2
1941,1.11671938997558e-08,2
1942,1.20647604287935e-08,2
1943,1.20647604287935e-08,2
1944,9.64654901989905e-09,1
1945,7.15056261820938e-09,1
1946,9.49643646259395e-09,2
1947,5.17451713223847e-09,1
1948,5.70900057387088e-09,1
1949,6.24761271288727e-09,1
1950,6.24761271288727e-09,2
1951,6.78012706296321e-09,2
1952,6.78012706296321e-09,3
1953,3.59408870918644e-09,1
1954,1.24010375301964e-08,3
1955,1.39347117971462e-08,4
1956,1.78171500410583e-08,5
1957,1.78171500410583e-08,5
1958,3.14448723567498e-08,9
1959,4.94025711767725e-08,15
1960,4.83116589273485e-08,15
1961,4.0893902232751e-08,14
1962,4.51121455112359e-08,16
1963,4.01722570447e-08,14
1964,4.04995881592945e-08,12
1965,2.66493371814391e-08,10
1966,1.43982303857371e-08,5
1967,1.43982303857371e-08,6
1968,1.336143506947e-08,6
1969,8.16693994971323e-09,4
1970,8.15187869588182e-09,4
1971,8.90283247123591e-09,4
1972,1.1465311462138e-08,5
1973,7.56738960383530e-09,3
1974,1.03640779450639e-08,4
1975,1.09039663647487e-08,4
1976,1.03807197123932e-08,5
1977,1.10768797943552e-08,5
1978,1.048880135127e-08,5
1979,8.55342130456904e-09,4
1980,6.96707004786491e-09,4
1981,4.17038170663631e-09,2
1982,4.06327500217835e-09,2
1983,3.85201012357125e-09,2
1984,3.12375476279365e-09,2
1985,3.44058630792026e-09,3
1986,6.70042664209701e-09,5
1987,9.33318365449663e-09,8
1988,1.10753430870858e-08,10
1989,1.10774349375881e-08,11
1990,1.10990993221601e-08,12
1991,1.21982600211266e-08,13
1992,1.30651278684724e-08,14
1993,9.87788685767401e-09,11
1994,8.03113458276122e-09,10
1995,2.03743064007357e-08,24
1996,2.40835910262202e-08,31
1997,2.4031963435129e-08,31
1998,2.40041540612777e-08,33
1999,2.27404511411931e-08,35
2000,2.2463986829432e-08,49
2001,2.17434653456853e-08,49
2002,7.96241456895481e-09,19
2003,3.51136422319495e-09,10
2004,3.26461810759174e-09,10
2005,2.06640269181538e-09,6
2006,1.86800096819389e-09,6
2007,7.93985110198696e-09,28
2008,8.61339188069315e-09,36
2009,8.86359726091714e-09,42
2010,9.51288977749495e-09,48
2011,9.72759403187037e-09,61
2012,9.94379075905779e-09,77
2013,1.06415440269205e-08,83
2014,3.90636932325249e-09,36
2015,4.10446045405268e-09,31
2016,4.24373615613506e-09,29
2017,4.14042881461777e-09,34
2018,4.55496960150015e-09,35
2019,4.95712904058365e-09,38
