"Year","Freq","Count"
1800,3.6020592064645e-09,1
1801,2.8816473651716e-09,1
1802,2.40137280430967e-09,1
1803,2.05831954655114e-09,1
1804,2.05831954655114e-09,1
1805,2.05831954655114e-09,1
1806,2.05831954655114e-09,1
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,5.06467249091916e-10,1
1826,5.06467249091916e-10,1
1827,5.06467249091916e-10,1
1828,5.06467249091916e-10,1
1829,5.06467249091916e-10,1
1830,6.01771791127906e-10,1
1831,2.92413824899894e-09,4
1832,2.41767099990702e-09,5
1833,2.41767099990702e-09,4
1834,2.58379138719432e-09,4
1835,2.58379138719432e-09,4
1836,2.58379138719432e-09,4
1837,2.5659282555855e-09,4
1838,7.01516233991839e-10,1
1839,7.01516233991839e-10,1
1840,7.01516233991839e-10,1
1841,6.75351084579643e-10,1
1842,1.70921354054292e-09,3
1843,1.90593711448171e-09,4
1844,1.82849570405454e-09,4
1845,1.43728003308498e-09,3
1846,2.1547055171846e-09,5
1847,2.1547055171846e-09,5
1848,2.0147502793095e-09,4
1849,9.80887823346218e-10,2
1850,9.26573984205703e-10,2
1851,9.26573984205703e-10,2
1852,8.59835218897891e-10,2
1853,1.42409734798272e-10,0
1854,3.44417177317829e-10,1
1855,7.64431137437579e-10,2
1856,1.16202156230649e-09,3
1857,1.5490882901822e-09,4
1858,2.18272695552889e-09,6
1859,2.18272695552889e-09,6
1860,2.54869824055172e-09,8
1861,3.47642443800287e-09,9
1862,3.05641047788312e-09,7
1863,2.70655793015757e-09,6
1864,2.17708146748358e-09,5
1865,1.5434428021369e-09,4
1866,1.5434428021369e-09,5
1867,2.08493305160167e-09,6
1868,1.58256311230279e-09,5
1869,1.62214899845914e-09,5
1870,2.16572155050824e-09,7
1871,2.28744973359721e-09,7
1872,2.49220830877179e-09,9
1873,3.23337461170605e-09,11
1874,2.36565379190574e-09,8
1875,1.81852014399401e-09,6
1876,1.93226219548569e-09,7
1877,1.8652268658175e-09,7
1878,2.46920585962001e-09,9
1879,3.24203405788204e-09,12
1880,5.26334904628532e-09,21
1881,7.02284731162501e-09,28
1882,7.6556279886881e-09,31
1883,7.91989420077601e-09,34
1884,7.48715181916485e-09,34
1885,6.8775377456579e-09,30
1886,6.67243219803255e-09,30
1887,4.37972836172687e-09,20
1888,3.14754905076217e-09,15
1889,2.42087237399348e-08,125
1890,4.32688112561586e-08,223
1891,5.39570044755244e-08,284
1892,6.81103656252624e-08,370
1893,7.425638610749e-08,418
1894,7.99502132632833e-08,444
1895,8.25800058374642e-08,523
1896,6.31314715583896e-08,389
1897,4.6254535531119e-08,298
1898,3.61602599569759e-08,243
1899,2.28743566905403e-08,168
1900,1.86845163111357e-08,143
1901,1.79189680910812e-08,141
1902,1.79935910655476e-08,141
1903,2.11669447009693e-08,167
1904,2.09284062718806e-08,174
1905,2.37039936984429e-08,196
1906,2.83523829275323e-08,253
1907,2.72205905494609e-08,244
1908,2.35929888859581e-08,220
1909,2.15618043955138e-08,198
1910,2.01811926336948e-08,196
1911,2.17747400606459e-08,226
1912,2.01442939838846e-08,208
1913,1.97739881026877e-08,204
1914,2.02672771194647e-08,206
1915,1.96603491116133e-08,194
1916,2.05273193056616e-08,204
1917,2.25119519642722e-08,219
1918,2.22375385912949e-08,199
1919,2.19411674692067e-08,207
1920,2.63546232287922e-08,269
1921,2.76940814715267e-08,274
1922,3.24959247913204e-08,326
1923,4.02837021190991e-08,247
1924,4.52924718672658e-08,229
1925,5.17104023717693e-08,305
1926,5.81992196340459e-08,337
1927,5.34356191041395e-08,311
1928,5.93807005471498e-08,367
1929,5.8826491249648e-08,365
1930,6.16194178043594e-08,386
1931,5.95055445473669e-08,371
1932,5.26926839225109e-08,296
1933,4.94420806994102e-08,258
1934,4.85074046961488e-08,263
1935,4.36660630114589e-08,263
1936,4.96867402222101e-08,305
1937,4.26093798994165e-08,270
1938,3.8701484421961e-08,248
1939,4.96793493247922e-08,338
1940,5.35734512426992e-08,340
1941,5.7952944677269e-08,379
1942,5.49140714785544e-08,314
1943,4.58206462355948e-08,253
1944,4.7210459529807e-08,244
1945,4.63060136286973e-08,265
1946,3.54175508702838e-08,235
1947,3.19830187869455e-08,240
1948,3.54257122505855e-08,269
1949,4.49682299056128e-08,387
1950,4.74012495405811e-08,407
1951,4.74838458572721e-08,395
1952,5.08579278730397e-08,426
1953,5.87940542878013e-08,494
1954,5.99345541093691e-08,515
1955,5.47449319051755e-08,497
1956,5.26372197812946e-08,477
1957,5.7079500142316e-08,559
1958,5.99344957037078e-08,588
1959,6.79152930600185e-08,717
1960,6.39725044326855e-08,714
1961,7.59690884941496e-08,908
1962,8.64068449747085e-08,1088
1963,9.18480527695561e-08,1234
1964,9.67988030475423e-08,1223
1965,9.88845651819781e-08,1379
1966,9.46168226654514e-08,1359
1967,9.89226476239399e-08,1565
1968,9.02337588507789e-08,1456
1969,8.31330138112033e-08,1345
1970,7.6856774488305e-08,1236
1971,7.11419608501185e-08,1143
1972,6.7700593532021e-08,1073
1973,6.79093246358509e-08,1102
1974,6.78608363748255e-08,1079
1975,6.73605906966111e-08,1102
1976,6.68891534105764e-08,1153
1977,7.23354517911152e-08,1263
1978,7.73252049969729e-08,1357
1979,7.78295703876949e-08,1378
1980,7.78212360227507e-08,1379
1981,7.85397622612586e-08,1369
1982,7.83795979231172e-08,1372
1983,7.66846797014712e-08,1392
1984,7.47580616459028e-08,1394
1985,7.11570009224806e-08,1366
1986,7.22879835316334e-08,1389
1987,7.9446153762795e-08,1538
1988,7.7297242840573e-08,1520
1989,8.80139699256853e-08,1813
1990,9.57924240604527e-08,2038
1991,9.90447416978782e-08,2033
1992,1.01975629012469e-07,2181
1993,1.03751686706241e-07,2218
1994,9.73462860994915e-08,2109
1995,9.7069398118694e-08,2171
1996,9.64469680588196e-08,2130
1997,9.61614337166176e-08,2104
1998,9.40698675503234e-08,2095
1999,9.37361361030842e-08,2116
2000,9.53932211159422e-08,2359
2001,9.49314307084416e-08,2337
2002,9.61412273641533e-08,2522
2003,9.22591203076996e-08,2527
2004,8.66250693596994e-08,2430
2005,8.17802558172875e-08,2167
2006,7.74351697327028e-08,2135
2007,7.14002761399118e-08,2012
2008,6.68373420086814e-08,1913
2009,6.20350664037277e-08,1714
2010,5.62149549672827e-08,1489
2011,5.66500540668892e-08,1522
2012,7.73845335256699e-08,2652
2013,7.60899209369115e-08,2643
2014,7.53894622567657e-08,2309
2015,8.03149917227059e-08,2138
2016,8.21117697100138e-08,2182
2017,8.48165518894939e-08,2320
2018,8.76762592819102e-08,2294
2019,5.94327037532066e-08,1349
