"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,1.66675587617452e-09,0
1847,1.66675587617452e-09,0
1848,5.39447978350641e-09,0
1849,5.39447978350641e-09,0
1850,5.39447978350641e-09,1
1851,5.39447978350641e-09,0
1852,5.39447978350641e-09,1
1853,3.72772390733189e-09,0
1854,3.72772390733189e-09,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,1.28005534743331e-10,0
1988,1.28005534743331e-10,0
1989,1.28005534743331e-10,0
1990,1.28005534743331e-10,0
1991,5.76680568377595e-10,1
1992,1.70124742071565e-09,2
1993,3.17881659883668e-09,4
1994,5.26097962020141e-09,6
1995,6.05178152035535e-09,7
1996,8.07637839146074e-09,10
1997,1.05354723992487e-08,13
1998,1.18826339878808e-08,16
1999,1.36180117975877e-08,21
2000,1.45993270171475e-08,32
2001,1.54552506031231e-08,34
2002,1.56166334467197e-08,38
2003,1.65423703941363e-08,45
2004,1.52947362711383e-08,45
2005,1.44280840608246e-08,40
2006,1.25896747630147e-08,39
2007,1.09077202508396e-08,38
2008,8.95602024288321e-09,37
2009,8.66144857423836e-09,41
2010,6.2078863636929e-09,31
2011,5.5198939387578e-09,34
2012,5.32491365287261e-09,41
2013,5.13519138323204e-09,40
2014,4.83321696950359e-09,44
2015,4.49702868594264e-09,33
2016,4.73834504965964e-09,32
2017,4.94850234863028e-09,40
2018,5.20534837455955e-09,40
2019,5.22182824758133e-09,40
