"Year","Freq","Count"
1800,1.95039173700451e-09,0
1801,1.56031338960361e-09,0
1802,1.30026115800301e-09,0
1803,8.14893486023038e-09,3
1804,1.92441539529195e-08,6
1805,1.92441539529195e-08,6
1806,1.86704213359487e-08,8
1807,1.86704213359487e-08,9
1808,1.88951014517309e-08,10
1809,1.88951014517309e-08,10
1810,1.22764237188631e-08,8
1811,1.76074941928204e-09,1
1812,1.76074941928204e-09,1
1813,2.13146021467635e-09,1
1814,2.33119503066449e-09,1
1815,2.29066892438417e-09,1
1816,2.47221839825126e-09,2
1817,2.22007421969904e-09,2
1818,1.61231009495769e-09,1
1819,1.75583317726539e-09,1
1820,1.52590689290426e-09,1
1821,1.57145387179116e-09,1
1822,1.74448868049483e-09,2
1823,1.56293920662774e-09,2
1824,1.52739965120219e-09,2
1825,1.37768131823281e-09,2
1826,1.57394662382769e-09,2
1827,1.53312647497929e-09,2
1828,1.70993250511334e-09,2
1829,1.68898982894865e-09,2
1830,1.78011657002232e-09,2
1831,1.65205274064003e-09,2
1832,1.37062118004445e-09,3
1833,1.03083279214187e-09,2
1834,1.08958039416304e-09,2
1835,6.67492569153946e-10,1
1836,4.03023281414505e-10,1
1837,3.11896540340838e-10,1
1838,7.49818524730423e-10,1
1839,8.85764493498341e-10,2
1840,9.58032375653062e-10,2
1841,7.99320411447115e-10,1
1842,8.57407946229318e-10,2
1843,7.85631091927895e-10,1
1844,7.85631091927895e-10,2
1845,7.94341457689894e-10,2
1846,7.01702124976984e-10,2
1847,6.87312357821363e-10,1
1848,8.96237758610649e-10,2
1849,9.40830762503302e-10,2
1850,9.40830762503302e-10,2
1851,1.25108661525835e-09,3
1852,1.09425869952519e-09,3
1853,9.69544341636716e-10,3
1854,1.10437796209593e-09,3
1855,1.44640804095835e-09,4
1856,1.39110727699026e-09,4
1857,1.43698225937453e-09,4
1858,1.40147006301637e-09,4
1859,1.11166562859794e-09,3
1860,1.28625581217813e-09,4
1861,1.20126777969354e-09,3
1862,8.09737138451894e-10,2
1863,8.53408728605589e-10,2
1864,8.52427596763152e-10,2
1865,7.4632087018348e-10,2
1866,1.08361214445907e-09,3
1867,9.50209914720089e-10,3
1868,1.09871867556447e-09,4
1869,1.09004399554255e-09,3
1870,1.28068152511445e-09,4
1871,1.39036952982531e-09,4
1872,1.45586340998578e-09,5
1873,1.23004510941906e-09,4
1874,1.26455792662635e-09,4
1875,1.19928445745694e-09,4
1876,1.0485342990688e-09,4
1877,7.66845404636436e-10,3
1878,7.15882400978022e-10,3
1879,5.8140974772731e-10,2
1880,5.63817819812914e-10,2
1881,5.48183500576853e-10,2
1882,4.80597532009115e-10,2
1883,4.80597532009115e-10,2
1884,5.09616981550895e-10,2
1885,5.99219267459285e-10,3
1886,5.25793513886771e-10,2
1887,5.10803885300781e-10,2
1888,5.79106903304221e-10,3
1889,5.30391966457877e-10,3
1890,6.26629579574584e-10,3
1891,6.21957273381847e-10,3
1892,4.28736135879174e-10,2
1893,6.43630964001853e-10,4
1894,6.48704104322384e-10,4
1895,7.01425754780414e-10,4
1896,6.45193932010838e-10,4
1897,5.66603950266246e-10,4
1898,6.27907785290459e-10,4
1899,6.27907785290459e-10,5
1900,4.2110689736839e-10,3
1901,3.53420228598506e-10,3
1902,2.21380537909369e-10,2
1903,2.63470049348997e-10,2
1904,2.60874738478023e-10,2
1905,1.89695227779753e-10,2
1906,2.19159847016291e-10,2
1907,1.98746023606842e-10,2
1908,3.90979235098676e-10,4
1909,3.81172085958273e-10,3
1910,3.20656308053621e-10,3
1911,3.0560398755248e-10,3
1912,3.73262751064894e-10,4
1913,3.98103977363094e-10,4
1914,4.39739035859191e-10,4
1915,2.61517521923541e-10,3
1916,2.93797623134624e-10,3
1917,5.32696397905129e-10,5
1918,5.46357424580091e-10,5
1919,5.45217588338825e-10,5
1920,5.12936220283969e-10,5
1921,4.57388641842257e-10,5
1922,5.18798739087714e-10,5
1923,4.47274357432256e-10,3
1924,2.31567247520127e-10,1
1925,2.39749630862437e-10,1
1926,1.80520723369604e-10,1
1927,1.80086546865331e-10,1
1928,3.09958792759397e-10,2
1929,2.18259109198625e-10,1
1930,2.18259109198625e-10,1
1931,2.1998890605993e-10,1
1932,1.98145496042658e-10,1
1933,1.0126753681648e-09,5
1934,9.91085067189193e-10,5
1935,8.82327252926807e-10,5
1936,9.02221214404975e-10,6
1937,9.23535896567097e-10,6
1938,8.98614434847416e-10,6
1939,1.3718407263338e-09,9
1940,5.84589210372854e-10,4
1941,5.84589210372854e-10,4
1942,5.63474778741175e-10,3
1943,5.63983102283164e-10,3
1944,5.96821144092731e-10,3
1945,1.0250287999344e-09,6
1946,5.51802508448012e-10,4
1947,5.02762664833512e-10,4
1948,5.19014820208964e-10,4
1949,5.35183800054462e-10,5
1950,5.30864560643884e-10,5
1951,5.08184250632862e-10,4
1952,1.39621094447889e-10,1
1953,1.84367750233339e-10,2
1954,2.11973489356548e-10,2
1955,2.37072643262591e-10,2
1956,2.84978123440574e-10,3
1957,3.05262870536893e-10,3
1958,3.19079332400385e-10,3
1959,3.23922973761397e-10,3
1960,3.59752752389562e-10,4
1961,4.60622695739956e-10,5
1962,1.09868619658464e-09,14
1963,1.20427138003817e-09,16
1964,1.2107099866305e-09,15
1965,1.33319182875941e-09,19
1966,1.42775451679654e-09,20
1967,1.56604292232489e-09,25
1968,1.58090326940474e-09,25
1969,1.10660178837778e-09,18
1970,1.15393511214622e-09,18
1971,1.1963433656424e-09,19
1972,1.16103523769324e-09,18
1973,1.31628149550668e-09,21
1974,1.17495626819223e-09,19
1975,1.08559760784007e-09,18
1976,1.07923300950758e-09,19
1977,9.76781290771913e-10,17
1978,9.45899016851254e-10,17
1979,8.98471259197509e-10,16
1980,7.03447793071188e-10,12
1981,6.76711018074824e-10,12
1982,1.05975345612059e-09,18
1983,1.04403457952342e-09,19
1984,1.02737945680593e-09,19
1985,1.1864051948204e-09,23
1986,1.18021387652902e-09,23
1987,1.21999867202674e-09,24
1988,1.34724094529224e-09,26
1989,1.21405207167175e-09,25
1990,1.30977638705081e-09,28
1991,2.26248696910284e-09,46
1992,3.49656825864218e-09,74
1993,6.01736948760819e-09,128
1994,1.44715001331492e-08,312
1995,1.86435765238611e-08,415
1996,2.43419972650871e-08,536
1997,2.95455283443245e-08,644
1998,3.48206128613399e-08,772
1999,3.99710682251277e-08,899
