"Year","Freq","Count"
1800,9.46359657305607e-10,0
1801,7.57087725844485e-10,0
1802,6.30906438203738e-10,0
1803,8.7574956810142e-10,0
1804,3.34972621069645e-10,0
1805,5.82702917663523e-10,0
1806,5.82702917663523e-10,0
1807,5.82702917663523e-10,0
1808,1.03206314922793e-09,1
1809,1.03206314922793e-09,1
1810,6.97090528158282e-10,0
1811,6.97090528158282e-10,0
1812,4.49360231564404e-10,0
1813,4.49360231564404e-10,0
1814,6.49095047552553e-10,0
1815,1.99734815988149e-10,0
1816,3.81284289855241e-10,0
1817,3.81284289855241e-10,0
1818,5.52136828321384e-10,0
1819,6.95659910629079e-10,1
1820,8.3644442166226e-10,1
1821,8.81991400549152e-10,1
1822,1.35824316079994e-09,1
1823,1.71350929477145e-09,2
1824,1.96963695353602e-09,2
1825,2.16162369749893e-09,2
1826,2.01810061519124e-09,2
1827,1.87731610415806e-09,2
1828,1.84307822178756e-09,2
1829,1.50132492152518e-09,2
1830,9.64509313686587e-10,1
1831,1.24150732551596e-09,2
1832,8.7866804308691e-10,2
1833,9.57569119235708e-10,1
1834,9.57569119235708e-10,1
1835,8.26638797095975e-10,1
1836,1.19457831721752e-09,2
1837,1.26858062150197e-09,2
1838,8.81428945704548e-10,1
1839,8.81428945704548e-10,2
1840,1.01933151601991e-09,2
1841,1.01933151601991e-09,2
1842,1.17156806478391e-09,2
1843,6.69130084673952e-10,1
1844,6.58974323521276e-10,1
1845,5.13000328724747e-10,1
1846,6.37714686613222e-10,1
1847,4.20911040149059e-10,1
1848,5.77605090741023e-10,1
1849,4.99275759624496e-10,1
1850,6.80614322837566e-10,2
1851,1.14863493716477e-09,3
1852,1.48674011197463e-09,4
1853,1.68441960776303e-09,5
1854,1.82895340539169e-09,6
1855,2.17312797915322e-09,6
1856,2.54028470084552e-09,7
1857,2.77182098305597e-09,8
1858,2.6245949382085e-09,7
1859,2.75110434036893e-09,8
1860,2.95248104932787e-09,9
1861,3.02339465764666e-09,7
1862,2.89451732423832e-09,7
1863,2.69201957947551e-09,6
1864,2.36893243513566e-09,6
1865,2.19508748083059e-09,6
1866,1.8147957224292e-09,5
1867,1.70290470613566e-09,5
1868,1.53016271082456e-09,5
1869,1.27123404263558e-09,4
1870,1.11351934022658e-09,4
1871,1.21695895820879e-09,4
1872,1.16225000655414e-09,4
1873,1.22655781959707e-09,4
1874,9.28229425862475e-10,3
1875,1.11467480880455e-09,4
1876,1.2570949003976e-09,5
1877,1.19592148485813e-09,4
1878,1.20993186898082e-09,4
1879,1.18672220264912e-09,4
1880,1.13197261683177e-09,5
1881,1.25868726354371e-09,5
1882,1.2145960090867e-09,5
1883,1.20359945621207e-09,5
1884,1.27792449043453e-09,6
1885,1.15349584447636e-09,5
1886,1.17801272506554e-09,5
1887,1.18932023554904e-09,6
1888,1.02607611891197e-09,5
1889,9.15674669025154e-10,5
1890,7.67426120667254e-10,4
1891,6.42003706149577e-10,3
1892,7.30073868423656e-10,4
1893,6.60362080494105e-10,4
1894,8.07067188873007e-10,4
1895,8.30651686323236e-10,5
1896,8.48124931396299e-10,5
1897,8.22477843768052e-10,5
1898,9.45085519764101e-10,6
1899,8.95272857832323e-10,7
1900,8.93406083240273e-10,7
1901,7.39179751138178e-10,6
1902,7.0397547711844e-10,5
1903,6.87488866430679e-10,5
1904,7.07212267914148e-10,6
1905,6.95096453609942e-10,6
1906,6.47691444128589e-10,6
1907,6.45350701449538e-10,6
1908,6.25875030373686e-10,6
1909,6.38961685149399e-10,6
1910,7.07168190077529e-10,7
1911,6.96465504316076e-10,7
1912,8.65800276710666e-10,9
1913,1.00936210282811e-09,10
1914,1.02309525236631e-09,10
1915,1.17207548329588e-09,12
1916,1.25094056145438e-09,12
1917,1.17345010395128e-09,11
1918,1.28509323222519e-09,11
1919,1.03756270242172e-09,10
1920,9.08437238132466e-10,9
1921,8.91278945488619e-10,9
1922,6.87031972979035e-10,7
1923,5.99646904551689e-10,4
1924,6.49244457798633e-10,3
1925,5.23520320348604e-10,3
1926,4.86052904274154e-10,3
1927,4.41135596305843e-10,3
1928,4.26021743676103e-10,3
1929,4.03096823777181e-10,2
1930,3.5898952263239e-10,2
1931,3.42717045219233e-10,2
1932,3.22117110762576e-10,2
1933,3.4461714037981e-10,2
1934,3.86799699412878e-10,2
1935,3.64092442703016e-10,2
1936,4.2377432912006e-10,3
1937,5.04486468473025e-10,3
1938,4.6678710896586e-10,3
1939,4.45518126358989e-10,3
1940,4.53054887256903e-10,3
1941,4.46359548529023e-10,3
1942,4.27828270826198e-10,2
1943,4.90560096512636e-10,3
1944,4.2008850366569e-10,2
1945,4.65153931245814e-10,3
1946,5.35896357051995e-10,4
1947,5.41048009965779e-10,4
1948,4.94884498460278e-10,4
1949,6.16707734483032e-10,5
1950,6.55124474510263e-10,6
1951,7.13439900411141e-10,6
1952,6.95854733953219e-10,6
1953,6.90944304747111e-10,6
1954,6.81247232237059e-10,6
1955,7.03878000528148e-10,6
1956,7.24950775005911e-10,7
1957,7.45959287395959e-10,7
1958,6.96830919355573e-10,7
1959,6.71852311879511e-10,7
1960,6.73007489023928e-10,7
1961,7.32468823689507e-10,9
1962,7.64687073582872e-10,10
1963,6.6407222776288e-10,9
1964,5.76407339517423e-10,7
1965,6.73723575935917e-10,9
1966,6.76204206716071e-10,10
1967,7.87584807886749e-10,12
1968,7.77150565131216e-10,12
1969,8.60725007140977e-10,14
1970,9.44972160045663e-10,15
1971,9.53055667123654e-10,15
1972,9.09797497260025e-10,14
1973,9.29260427039764e-10,15
1974,9.13326406072017e-10,14
1975,9.10950764721712e-10,15
1976,8.01176449092119e-10,14
1977,7.73127875707586e-10,13
1978,7.87296819503609e-10,14
1979,8.65749987077098e-10,15
1980,9.5822872454259e-10,17
1981,9.46314807764859e-10,16
1982,9.15233486220579e-10,16
1983,3.94446888941318e-09,71
1984,4.1159499509066e-09,76
1985,4.15093885851116e-09,79
1986,4.41334836929843e-09,84
1987,4.40622102494879e-09,85
1988,4.37711366606451e-09,86
1989,4.43178503766105e-09,91
1990,1.68983890422303e-09,36
1991,1.56502641054934e-09,32
1992,1.52867938297909e-09,33
1993,1.18656956928682e-09,25
1994,1.16339649322958e-09,25
1995,1.29819065963369e-09,29
1996,4.23808985276973e-09,93
1997,6.7759250893727e-09,148
1998,9.269365874567e-09,206
1999,1.31553682515947e-08,296
2000,1.56878733362033e-08,386
2001,1.87804022383101e-08,460
2002,2.27406698457119e-08,594
2003,2.5937957255243e-08,707
2004,3.53801783326795e-08,988
2005,4.77605777863107e-08,1260
2006,7.34323891257319e-08,2016
2007,8.96793807617091e-08,2516
2008,9.93339601912787e-08,2829
2009,1.06014906460704e-07,2914
2010,1.14073390558974e-07,3007
2011,1.32796388829792e-07,3551
2012,1.28000258490682e-07,4365
2013,1.09435315760742e-07,3782
2014,9.98931998894797e-08,3044
2015,9.32172218670987e-08,2469
2016,8.97980367931381e-08,2374
2017,8.80402952867232e-08,2397
2018,6.21762581101692e-08,1619
2019,5.97888499924426e-08,1350
