"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,1.99842713805814e-10,0
1808,1.99842713805814e-10,0
1809,1.99842713805814e-10,0
1810,1.99842713805814e-10,0
1811,1.99842713805814e-10,0
1812,1.99842713805814e-10,0
1813,1.99842713805814e-10,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,1.19062942045239e-10,0
1823,1.19062942045239e-10,0
1824,1.19062942045239e-10,0
1825,1.19062942045239e-10,0
1826,1.19062942045239e-10,0
1827,1.19062942045239e-10,0
1828,1.19062942045239e-10,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,6.38046203173457e-11,0
1846,6.38046203173457e-11,0
1847,6.38046203173457e-11,0
1848,6.38046203173457e-11,0
1849,6.38046203173457e-11,0
1850,6.38046203173457e-11,0
1851,6.38046203173457e-11,0
1852,0,0
1853,4.60562659438628e-11,0
1854,4.60562659438628e-11,0
1855,4.60562659438628e-11,0
1856,4.60562659438628e-11,0
1857,4.60562659438628e-11,0
1858,4.60562659438628e-11,0
1859,4.60562659438628e-11,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,7.70216807000068e-11,0
1889,7.70216807000068e-11,0
1890,7.70216807000068e-11,0
1891,1.0136882404905e-10,1
1892,1.22728725991474e-10,1
1893,1.22728725991474e-10,1
1894,1.22728725991474e-10,1
1895,4.5707045291467e-11,0
1896,4.5707045291467e-11,0
1897,4.5707045291467e-11,0
1898,2.13599019424241e-11,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,2.89429353499721e-11,0
1906,2.89429353499721e-11,0
1907,2.89429353499721e-11,0
1908,2.89429353499721e-11,0
1909,6.81872177768891e-11,1
1910,8.12646021903467e-11,1
1911,8.12646021903467e-11,1
1912,5.23216668403746e-11,1
1913,5.23216668403746e-11,1
1914,5.23216668403746e-11,1
1915,5.23216668403746e-11,1
1916,1.30773844134576e-11,0
1917,0,0
1918,0,0
1919,1.34983988272655e-11,0
1920,1.34983988272655e-11,0
1921,1.34983988272655e-11,0
1922,3.6423318726188e-11,0
1923,3.6423318726188e-11,0
1924,3.6423318726188e-11,0
1925,3.6423318726188e-11,0
1926,2.29249198989225e-11,0
1927,2.29249198989225e-11,0
1928,2.29249198989225e-11,0
1929,7.20432443860172e-11,0
