"Year","Freq","Count"
1800,9.50079279782301e-06,113
1801,1.00975066729347e-05,43
1802,1.20491319333856e-05,45
1803,1.32180901530887e-05,88
1804,1.37784495888939e-05,58
1805,1.78488041910896e-05,103
1806,1.81368301923612e-05,193
1807,1.75288951465648e-05,126
1808,1.69452810203958e-05,146
1809,1.5521090986681e-05,200
1810,1.40256578232213e-05,304
1811,1.39526153292633e-05,155
1812,9.9083052579171e-06,326
1813,1.0742609397596e-05,198
1814,1.09971459443565e-05,132
1815,1.10703873902805e-05,179
1816,1.01666239013452e-05,131
1817,9.57822436780426e-06,141
1818,9.10269041806292e-06,199
1819,8.58374467936431e-06,186
1820,7.57611178160898e-06,232
1821,7.28681498480504e-06,196
1822,9.07875139130202e-06,377
1823,9.42724267665491e-06,294
1824,1.01733872206466e-05,505
1825,1.06548605514385e-05,412
1826,1.04234417582307e-05,365
1827,1.02101561628233e-05,362
1828,1.00311826735882e-05,377
1829,7.61940420344688e-06,312
1830,7.30939900123977e-06,340
1831,6.62626497747811e-06,279
1832,6.01174259351467e-06,331
1833,6.27227763023391e-06,377
1834,5.93913296460207e-06,348
1835,5.75383745081228e-06,375
1836,7.6116324063997e-06,547
1837,7.6566296013222e-06,543
1838,7.64156732608561e-06,438
1839,8.52316573635952e-06,637
1840,8.575493931343e-06,715
1841,8.86278075805182e-06,794
1842,9.96648982124323e-06,968
1843,8.02858884453782e-06,589
1844,7.76039024482803e-06,681
1845,7.7947613311226e-06,823
1846,7.16571296610624e-06,626
1847,7.049280430874e-06,626
1848,7.41088974251117e-06,637
1849,6.64691576636654e-06,543
1850,6.86078660029819e-06,661
1851,8.0393604331113e-06,587
1852,8.0811334394986e-06,787
1853,7.55986552596661e-06,664
1854,7.83702550981908e-06,731
1855,7.24562210661718e-06,657
1856,7.04087355123712e-06,782
1857,7.12430343696724e-06,744
1858,7.2630218791606e-06,633
1859,7.10064060679575e-06,711
1860,7.56909274965015e-06,831
1861,7.23576511774127e-06,563
1862,7.25064535751179e-06,553
1863,7.22030775384448e-06,605
1864,7.27885128323383e-06,743
1865,6.28580095402802e-06,719
1866,6.77090803488259e-06,927
1867,6.68773528035769e-06,963
1868,6.66073358043409e-06,1060
1869,6.35516589397866e-06,824
1870,6.26951123296391e-06,901
1871,6.38973430560392e-06,970
1872,6.68826302785419e-06,821
1873,6.21037790844119e-06,775
1874,6.16908531217827e-06,720
1875,6.3193626179522e-06,866
1876,6.78369474574733e-06,908
1877,6.90551121148734e-06,885
1878,7.01542770035043e-06,793
1879,6.80241989568588e-06,890
1880,6.80207867682319e-06,1024
1881,6.76247847357964e-06,1164
1882,6.78903030656589e-06,927
1883,6.63056184281783e-06,1399
1884,7.22851266894103e-06,1191
1885,6.80719912184356e-06,1214
1886,6.57939273094956e-06,1096
1887,6.64102269861847e-06,1241
1888,7.47270836447862e-06,1463
1889,7.41709506968391e-06,1500
1890,7.2479180742237e-06,1612
1891,6.65664596206333e-06,1510
1892,6.91917802494605e-06,1809
1893,6.94454379157605e-06,1908
1894,7.15813446002958e-06,1765
1895,5.95821765766605e-06,2017
1896,5.64226853074144e-06,1872
1897,5.65414601082028e-06,1839
1898,5.48820740117354e-06,1794
1899,5.31971658190855e-06,2998
1900,5.3405127238599e-06,2682
1901,4.93601516840921e-06,2133
1902,5.43242848952527e-06,1864
1903,5.70037476218691e-06,2028
1904,5.82572216042568e-06,2005
1905,5.93554123743242e-06,1829
1906,5.65953943519405e-06,2101
1907,5.42206358338555e-06,1778
1908,5.63030174127732e-06,1869
1909,5.42909612758332e-06,1945
1910,5.5735863855639e-06,2245
1911,5.87738560321936e-06,1982
1912,5.82412239857888e-06,1970
1913,5.80700823579353e-06,1703
1914,5.89195316358371e-06,1672
1915,5.81488926495614e-06,1801
1916,5.57497728743377e-06,1422
1917,5.37050489628805e-06,1809
1918,4.80909631977206e-06,1011
1919,4.92213277742642e-06,1310
1920,5.56088808537477e-06,1749
1921,5.39767988997194e-06,1483
1922,5.56540943171971e-06,1994
1923,5.58987804069996e-06,1308
1924,5.55527986075991e-06,1037
1925,5.48256240660651e-06,1258
1926,5.29383121770723e-06,1151
1927,4.91665069292578e-06,1207
1928,5.35498478981822e-06,1224
1929,5.15179516926066e-06,1251
1930,5.05573960144342e-06,1217
1931,4.84983919233985e-06,1240
1932,5.07340679994124e-06,1008
1933,4.96956252758553e-06,833
1934,4.81676357872678e-06,937
1935,4.3611989209832e-06,905
1936,4.60034802988015e-06,885
1937,5.00041631872656e-06,1016
1938,5.27797334776941e-06,951
1939,5.34443599826367e-06,926
1940,5.79918363082957e-06,1023
1941,6.24585925810907e-06,1067
1942,6.64741844071313e-06,979
1943,6.41835354870628e-06,845
1944,5.99830377545629e-06,871
1945,5.58146249142664e-06,884
1946,5.26459002436752e-06,1203
1947,4.8197727924304e-06,1143
1948,4.51767069874011e-06,1088
1949,5.04673234580366e-06,1175
1950,4.93701016703239e-06,1375
1951,5.01333510502125e-06,1334
1952,5.54532275818888e-06,2748
1953,5.75195964889831e-06,1525
1954,6.22012392805159e-06,1661
1955,5.98435389725133e-06,1796
1956,5.40449177042847e-06,1409
1957,5.56003454730915e-06,1526
1958,5.63316462352605e-06,1549
1959,5.49537408594298e-06,1616
1960,5.55212347538462e-06,1756
1961,5.13980540185953e-06,1807
1962,5.26790287176076e-06,1835
1963,6.07097644790753e-06,2128
1964,6.1741003824421e-06,1896
1965,6.32949902877401e-06,2291
1966,6.33556150805451e-06,2379
1967,6.76294015176739e-06,2938
1968,7.37446609936196e-06,3382
1969,7.88203147651854e-06,3534
1970,7.36431103171802e-06,3423
1971,8.49746844317727e-06,3428
1972,8.91914223315788e-06,3484
1973,9.42308084742446e-06,3683
1974,1.06857818900709e-05,4226
1975,1.14408923767176e-05,4529
1976,1.21158032980264e-05,5714
1977,1.23270747494075e-05,5639
1978,1.16343891521455e-05,5561
1979,1.13647408784041e-05,5682
1980,1.11992644803597e-05,6009
1981,1.02904094778961e-05,5969
1982,9.96392462236452e-06,6047
1983,9.64864394457722e-06,6170
1984,9.6332273626614e-06,6494
1985,9.75058533539804e-06,7061
1986,1.01749614802899e-05,8094
1987,1.03102379043842e-05,8840
1988,9.96719808767286e-06,8777
1989,9.49542023761677e-06,9004
1990,9.05443474907841e-06,9466
1991,8.85375213226831e-06,9390
1992,8.46721238120399e-06,9171
1993,8.38773073619237e-06,9434
