"Year","Freq","Count"
1800,2.18247178764841e-05,5470
1801,2.17450793570606e-05,5337
1802,2.47426352946907e-05,5852
1803,2.45157968135702e-05,8465
1804,2.55281946043137e-05,7811
1805,2.43940301548459e-05,7983
1806,2.36966637804211e-05,9593
1807,2.4040335290465e-05,11201
1808,2.32407728292726e-05,12721
1809,1.96649935852682e-05,10815
1810,1.84955741571814e-05,12573
1811,1.70559964171194e-05,10303
1812,1.55452377238622e-05,12224
1813,1.63574306871591e-05,10676
1814,1.66881554183159e-05,10124
1815,1.70052141957707e-05,10129
1816,1.75590803418605e-05,12877
1817,1.76163236460525e-05,11988
1818,1.73401473781658e-05,12766
1819,2.02149447708117e-05,15118
1820,1.95614138241191e-05,16231
1821,1.95338213221216e-05,15513
1822,2.01693149831174e-05,19078
1823,2.02041928218932e-05,19492
1824,2.06218737892933e-05,22812
1825,2.07510120243829e-05,23650
1826,2.33058605983518e-05,23598
1827,2.31965964059912e-05,24596
1828,2.37413506413629e-05,26672
1829,2.35865381910116e-05,28315
1830,2.30967614892766e-05,31421
1831,2.33514627276626e-05,30113
1832,2.37182617053934e-05,48003
1833,1.9825557339053e-05,29600
1834,2.343913346944e-05,35906
1835,2.27342098193211e-05,37992
1836,2.43842884840108e-05,42070
1837,2.58524874376625e-05,44295
1838,2.65677221672637e-05,45127
1839,2.78793518110173e-05,52855
1840,2.80311031052146e-05,51508
1841,2.55321403983544e-05,47612
1842,3.02769960122922e-05,56867
1843,2.87698773360846e-05,54178
1844,2.81326550667213e-05,57223
1845,2.71175649686484e-05,63476
1846,2.58596750443628e-05,56128
1847,2.50081140669473e-05,53296
1848,2.48315009067872e-05,52953
1849,1.99539736708435e-05,43543
1850,1.93927498993876e-05,45541
1851,1.89740950580537e-05,49379
1852,1.9249756251481e-05,50980
1853,1.91585991566561e-05,57438
1854,1.94556303654281e-05,59636
1855,1.89776337557695e-05,53416
1856,1.98844423299046e-05,58636
1857,2.06471673322994e-05,58179
