"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,1.4567139114011e-08,5
1921,1.4567139114011e-08,4
1922,1.4567139114011e-08,5
1923,1.4567139114011e-08,3
1924,1.4567139114011e-08,3
1925,1.4567139114011e-08,3
1926,1.4567139114011e-08,3
1927,1.18042756521878e-09,0
1928,1.18042756521878e-09,0
1929,1.18042756521878e-09,0
1930,1.18042756521878e-09,0
1931,1.18042756521878e-09,0
1932,1.18042756521878e-09,0
1933,1.18042756521878e-09,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,3.59428296649509e-10,0
1972,3.59428296649509e-10,0
1973,3.59428296649509e-10,0
1974,1.60240087865304e-09,1
1975,4.27925644126097e-09,2
1976,4.27925644126097e-09,2
1977,4.27925644126097e-09,2
1978,3.91982814461146e-09,2
1979,3.91982814461146e-09,2
1980,3.91982814461146e-09,2
1981,4.36370114645765e-09,3
1982,3.06090797153047e-09,2
1983,3.06090797153047e-09,2
1984,3.22669392792209e-09,2
1985,3.22669392792209e-09,2
1986,3.97614484194873e-09,3
1987,5.47166080698349e-09,5
1988,5.79499911549216e-09,5
1989,9.01334749693815e-09,9
1990,1.02768765878177e-08,11
1991,1.01110906314261e-08,11
1992,1.0948043551094e-08,12
1993,1.03107797458765e-08,12
1994,9.82358742764232e-09,12
1995,1.05463782706927e-08,13
1996,7.64017562707561e-09,10
1997,6.90053632488942e-09,9
1998,8.11215176778544e-09,11
1999,7.9198034717644e-09,12
2000,8.12185334859399e-09,18
2001,7.30539781049596e-09,16
2002,4.77527671373577e-09,12
2003,3.45310583301942e-09,9
2004,3.2519561012277e-09,10
2005,2.14269456939269e-09,6
2006,1.98220697792248e-09,6
2007,1.81093363320934e-09,6
2008,1.93951316118657e-09,8
2009,2.08783391369189e-09,10
2010,2.0711952549871e-09,10
2011,1.81064241377982e-09,11
2012,1.7848166040351e-09,14
2013,1.57568113318922e-09,12
2014,1.81714039846982e-09,17
2015,1.88317078597677e-09,14
2016,2.86326863012982e-09,19
2017,2.93518171804822e-09,24
2018,3.43515595968569e-09,27
2019,4.1600207723036e-09,32
