"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,5.96641339508811e-10,6
1920,1.15348105670218e-09,12
1921,1.15348105670218e-09,11
1922,1.15348105670218e-09,12
1923,1.17803450129715e-09,7
1924,1.17803450129715e-09,6
1925,1.17803450129715e-09,7
1926,5.81393161788338e-10,3
1927,7.00302018755547e-11,0
1928,9.28396863354917e-11,1
1929,1.18125483601033e-10,1
1930,9.35720390060624e-11,1
1931,9.35720390060624e-11,1
1932,9.35720390060624e-11,1
1933,9.35720390060624e-11,0
1934,4.80952817254782e-11,0
1935,2.52857972655412e-11,0
1936,0,0
1937,2.24424169724204e-11,0
1938,2.24424169724204e-11,0
1939,2.24424169724204e-11,0
1940,2.24424169724204e-11,0
1941,2.24424169724204e-11,0
1942,2.24424169724204e-11,0
1943,2.24424169724204e-11,0
1944,0,0
1945,3.75388410832146e-11,0
1946,5.4086945240022e-11,0
1947,5.4086945240022e-11,0
1948,1.22486945189745e-10,1
1949,1.22486945189745e-10,1
1950,1.22486945189745e-10,1
1951,3.54174328753842e-10,3
1952,3.16635487670628e-10,3
1953,6.29561355428418e-10,5
1954,6.58593265241108e-10,6
1955,5.90193265291385e-10,5
1956,6.03661271763351e-10,5
1957,6.03661271763351e-10,6
1958,4.67188351497124e-10,5
1959,5.12364107490321e-10,5
1960,1.82890135575724e-10,2
1961,1.76369363558138e-10,2
1962,2.06974631877799e-10,3
1963,3.42064473968229e-10,5
1964,6.11863767985277e-10,8
1965,5.69539796276989e-10,8
1966,5.85915542274305e-10,8
1967,6.74362331849159e-10,11
1968,9.61830145291514e-10,16
1969,1.0479243921026e-09,17
1970,1.08352623103983e-09,17
1971,1.25232101871082e-09,20
1972,1.49507565058319e-09,24
1973,2.00305682754706e-09,32
1974,3.34857071832800e-09,53
1975,3.82521326122312e-09,63
1976,4.68092199525292e-09,81
1977,7.58693050844401e-09,132
1978,8.47840476397061e-09,149
1979,1.01821741157629e-08,180
1980,1.11173121502312e-08,197
1981,1.07515232550259e-08,187
1982,1.17362490995429e-08,205
1983,1.36952332292178e-08,249
1984,1.39642862313177e-08,260
1985,1.48840151037444e-08,286
1986,1.43353971352297e-08,276
1987,1.50309031729127e-08,291
1988,1.70194828349616e-08,335
1989,1.94056426523164e-08,400
1990,1.88642790832638e-08,401
1991,2.4761156910572e-08,508
1992,2.69904514789619e-08,577
1993,3.03964394706067e-08,650
1994,3.56943712424642e-08,773
1995,3.93824306479543e-08,881
1996,4.85663420729532e-08,1073
1997,5.44484442671633e-08,1191
1998,5.24492461030051e-08,1168
1999,5.30463102174242e-08,1198
2000,5.94363262099559e-08,1470
2001,6.16841612391791e-08,1519
2002,6.27667017478025e-08,1646
2003,5.77659911006413e-08,1582
2004,6.09343797433604e-08,1709
2005,6.19949041973298e-08,1642
2006,6.36041455605109e-08,1754
2007,6.28555125358913e-08,1771
2008,5.85276344720292e-08,1675
2009,5.74667790139863e-08,1587
2010,5.68389720567719e-08,1506
2011,5.00129948645599e-08,1344
2012,4.76228116168066e-08,1632
2013,4.77011071733527e-08,1657
2014,4.14114969042391e-08,1268
2015,4.04845965025689e-08,1078
2016,4.35939907922345e-08,1158
2017,4.18612714515413e-08,1145
2018,4.37731663055496e-08,1145
2019,4.43437842556627e-08,1007
