"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,2.11712076441423e-11,0
1896,2.11712076441423e-11,0
1897,2.11712076441423e-11,0
1898,2.11712076441423e-11,0
1899,2.11712076441423e-11,0
1900,2.11712076441423e-11,0
1901,2.11712076441423e-11,0
1902,0,0
1903,3.18782896905187e-11,0
1904,3.18782896905187e-11,0
1905,3.18782896905187e-11,0
1906,3.18782896905187e-11,0
1907,3.18782896905187e-11,0
1908,3.18782896905187e-11,0
1909,3.18782896905187e-11,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,8.31529511913232e-10,7
1954,8.89593331538612e-10,8
1955,9.04087582576096e-10,8
1956,9.31023595520029e-10,8
1957,9.81998494425135e-10,10
1958,1.07721295772301e-09,11
1959,1.21274022966768e-09,13
1960,4.0238643964471e-10,5
1961,4.79389450755033e-10,6
1962,5.97518033067829e-10,8
1963,6.99332157659351e-10,9
1964,7.20303739273501e-10,9
1965,6.69164685964039e-10,9
1966,6.30361201728721e-10,9
1967,6.62253553583371e-10,11
1968,7.75169880665568e-10,13
1969,7.41292789057419e-10,12
1970,7.26546267593164e-10,12
1971,8.42568681491684e-10,14
1972,8.59361387606228e-10,14
1973,9.60735931286396e-10,16
1974,1.16024047115891e-09,19
1975,1.24474680959378e-09,20
1976,1.37905757844971e-09,24
1977,1.62624243833192e-09,29
1978,1.60963204273327e-09,28
1979,2.36966168909447e-09,42
1980,2.7749990083592e-09,49
1981,3.39985322434749e-09,60
1982,3.3490005372069e-09,59
1983,4.00424476116561e-09,73
1984,4.3560638429696e-09,82
1985,5.40726403335563e-09,104
1986,5.35321590230556e-09,103
1987,5.36502727957863e-09,104
1988,5.3540266188788e-09,106
1989,5.9637593276461e-09,123
1990,5.77449205912168e-09,123
1991,6.06001331655242e-09,125
1992,6.31988125324564e-09,136
1993,6.97657189162117e-09,150
1994,7.03765039895237e-09,153
1995,7.07180974097404e-09,159
1996,9.35036625904218e-09,207
1997,1.03368226359432e-08,227
1998,1.06036293396577e-08,237
1999,1.07156363782224e-08,243
2000,1.11250234421537e-08,276
2001,1.31818213487479e-08,326
2002,1.445550016196e-08,381
2003,1.22965690328515e-08,338
2004,1.20190655523394e-08,339
2005,1.19859411919419e-08,319
2006,1.09113113147937e-08,302
2007,9.87272381307897e-09,279
2008,7.7745299404646e-09,224
2009,6.04002562251285e-09,168
2010,5.53257998145032e-09,147
2011,4.62597249395458e-09,125
2012,4.22677911718746e-09,146
2013,4.1992694083908e-09,147
2014,3.76343629276172e-09,116
2015,3.30228820479204e-09,88
2016,3.35694854453854e-09,90
2017,3.32896582522224e-09,92
2018,3.29282856537105e-09,87
2019,2.65825458867219e-09,61
