"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,2.00702476860215e-09,0
1835,4.49031630925642e-09,0
1836,4.49031630925642e-09,0
1837,1.81507446533098e-08,1
1838,1.81507446533098e-08,1
1839,2.25463808892609e-08,2
1840,2.25463808892609e-08,2
1841,2.05393561206587e-08,2
1842,1.80560645800045e-08,2
1843,1.80560645800045e-08,1
1844,5.99843882501513e-09,1
1845,5.99843882501513e-09,1
1846,1.60280258906401e-09,0
1847,8.98880753957038e-09,1
1848,1.87243626318231e-08,2
1849,2.74898289528583e-08,2
1850,2.74898289528583e-08,3
1851,2.58870263637943e-08,2
1852,3.53020931852045e-08,3
1853,5.45022165811458e-08,5
1854,4.71162116306394e-08,4
1855,3.73806565383867e-08,3
1856,3.57207941955754e-08,4
1857,4.4788088920151e-08,5
1858,1.05071837960427e-07,9
1859,9.56567711390172e-08,10
1860,7.6456647743076e-08,8
1861,7.92421123004975e-08,6
1862,9.04244108162239e-08,7
1863,1.26950844630309e-07,11
1864,1.18871851790508e-07,12
1865,1.05066958561955e-07,12
1866,1.08359204276098e-07,15
1867,1.55865125250898e-07,22
1868,2.06462159876456e-07,33
1869,2.02230019270238e-07,26
1870,1.74545085940281e-07,25
1871,1.83305698366252e-07,28
1872,1.39939690438747e-07,17
1873,1.43020292371026e-07,18
1874,9.55143713962262e-08,11
1875,4.33894036890235e-08,6
1876,3.75262935646349e-08,5
1877,2.53589166173843e-08,3
1878,2.38718937950466e-08,3
1879,2.49210875428015e-08,3
1880,9.33547034596773e-08,14
1881,1.03707833622378e-07,18
1882,1.08028089013905e-07,15
1883,1.10353986329922e-07,23
1884,1.10378834516922e-07,18
1885,1.03569363942211e-07,18
1886,1.16983716618486e-07,19
1887,7.03000046747044e-08,13
1888,6.49592616522706e-08,13
1889,6.20990540894135e-08,13
1890,6.07548421413132e-08,14
1891,5.98317608473715e-08,14
1892,6.21574585770089e-08,16
1893,4.84340155601107e-08,13
1894,3.38543247721138e-08,8
1895,3.49278772571182e-08,12
1896,3.39753935778881e-08,11
1897,3.61500894615777e-08,12
1898,3.5570609632377e-08,12
1899,3.67613574501848e-08,21
1900,6.92546868106904e-08,35
1901,6.06630252697471e-08,26
1902,6.1492257952267e-08,21
1903,6.393702973411e-08,23
1904,8.52531839726619e-08,29
1905,8.4235220862031e-08,26
1906,9.98834746024357e-08,37
1907,7.20027771056968e-08,24
1908,8.01118005901356e-08,27
1909,1.01336861917695e-07,36
1910,1.29088465948359e-07,52
