"Year","Freq","Count"
1800,1.64505390420899e-08,4
1801,1.31604312336719e-08,3
1802,1.096702602806e-08,3
1803,1.22083076981028e-08,4
1804,1.16846156242697e-08,4
1805,1.13656364478639e-08,4
1806,8.8864305279403e-09,4
1807,7.46933183558087e-09,3
1808,9.82296379157889e-09,5
1809,1.3079610553365e-08,7
1810,3.72958796703214e-08,25
1811,3.9498332112967e-08,24
1812,7.71932676827244e-08,61
1813,7.58362139117809e-08,49
1814,1.14073709192982e-07,69
1815,1.44747137910604e-07,86
1816,1.43772564092132e-07,105
1817,1.57357664121172e-07,107
1818,1.55977335476137e-07,115
1819,1.55446787838568e-07,116
1820,1.62436325549084e-07,135
1821,1.34432719051907e-07,107
1822,1.37339103803821e-07,130
1823,1.38428137429005e-07,134
1824,1.01440009059317e-07,112
1825,1.04186084965668e-07,119
1826,1.36675981770346e-07,138
1827,1.31749094681563e-07,140
1828,1.22146914043648e-07,137
1829,9.59815930226934e-08,115
1830,1.12243221384034e-07,153
1831,1.15774870008372e-07,149
1832,1.15598539756385e-07,234
1833,4.84888384523684e-08,72
1834,5.41776112068198e-08,83
1835,6.13813119855676e-08,103
1836,5.70926538268068e-08,99
1837,4.16417550758957e-08,71
1838,9.82208566067756e-08,167
1839,1.56511174829811e-07,297
1840,1.81900478203799e-07,334
1841,1.86894770865769e-07,349
1842,1.84831850586724e-07,347
1843,1.83942601115047e-07,346
1844,1.84569130800322e-07,375
1845,1.26176241197326e-07,295
1846,6.57752928750239e-08,143
1847,6.64299285857428e-08,142
1848,1.46339616278032e-07,312
1849,1.55170701093832e-07,339
1850,1.61023864258298e-07,378
1851,1.65547646147068e-07,431
1852,2.10163377034611e-07,557
1853,2.47120753130555e-07,741
1854,2.27514393737392e-07,697
1855,1.41396842488563e-07,398
1856,2.3128657002301e-07,682
1857,2.34561443411353e-07,661
1858,3.00286677872614e-07,814
1859,2.6239586459198e-07,751
1860,2.31232490615391e-07,684
1861,2.31762846628466e-07,573
1862,2.38073228242541e-07,556
1863,1.44574964317761e-07,337
1864,1.45314913372171e-07,366
1865,8.07834500246177e-08,206
1866,8.04871705791957e-08,240
1867,1.16273502191534e-07,351
1868,1.20930670556772e-07,389
1869,2.03820856573397e-07,656
1870,2.76847869010563e-07,912
1871,3.32464528478888e-07,1056
1872,3.35247916792371e-07,1205
1873,3.33583444454634e-07,1124
1874,3.0561059502102e-07,1072
1875,3.0935333662972e-07,1075
1876,2.3380427425858e-07,853
1877,1.71036262771754e-07,613
1878,1.53248604822005e-07,544
1879,1.5599965233878e-07,579
1880,1.69114384718227e-07,689
1881,1.72775823362567e-07,678
1882,2.49596188796529e-07,1017
1883,2.59852864812972e-07,1124
1884,2.75394955348166e-07,1242
1885,2.48996513312656e-07,1093
1886,2.75670926467139e-07,1221
1887,2.75831264368825e-07,1287
1888,2.77004087477297e-07,1358
1889,2.07868461745063e-07,1072
1890,2.19151653903436e-07,1129
1891,2.08851692004178e-07,1101
1892,2.12782718682953e-07,1157
1893,2.03994731963673e-07,1148
1894,2.1852587688593e-07,1214
1895,2.39180195141638e-07,1515
1896,2.38614804867357e-07,1472
1897,2.21700217295506e-07,1428
1898,2.20886944671658e-07,1485
1899,2.21265813925088e-07,1624
1900,2.17207813005668e-07,1663
1901,2.02210081885162e-07,1595
1902,1.91578469215565e-07,1496
1903,1.96236665710765e-07,1545
1904,2.07755979975133e-07,1725
1905,2.03585558252887e-07,1682
1906,2.36113987472919e-07,2108
1907,2.38572791427012e-07,2141
1908,2.4972513834598e-07,2330
1909,2.59554713468089e-07,2380
1910,2.63295995926528e-07,2557
1911,2.73964408111941e-07,2841
1912,2.94460335733707e-07,3040
1913,2.72582401856474e-07,2816
1914,2.74437403342225e-07,2794
1915,2.7400400932314e-07,2705
1916,2.97909423098629e-07,2965
1917,2.98420571047992e-07,2905
1918,3.01124269900096e-07,2689
1919,2.98393402177664e-07,2821
1920,3.10444023757636e-07,3163
1921,3.39183327519826e-07,3357
1922,3.54434847947362e-07,3551
1923,3.18285833245113e-07,1952
1924,3.11435862241995e-07,1576
1925,2.92852121981062e-07,1725
1926,2.91812616737275e-07,1691
1927,2.76817718715604e-07,1612
1928,2.84676467541902e-07,1760
1929,2.77920380296694e-07,1725
1930,3.02227926241017e-07,1891
1931,3.44288357061779e-07,2147
1932,3.4640791416304e-07,1949
1933,3.59711799267716e-07,1879
1934,3.45757675316146e-07,1875
1935,2.96601589891817e-07,1785
1936,2.90152838517648e-07,1782
1937,2.73070739734546e-07,1729
1938,2.68175371306459e-07,1717
1939,2.68118196977696e-07,1822
1940,2.8581106878026e-07,1812
1941,3.12384255605837e-07,2043
1942,3.27329622708459e-07,1871
1943,3.15701416754775e-07,1742
1944,3.17566171454635e-07,1639
1945,2.86439795311415e-07,1636
1946,2.89584618380039e-07,1921
1947,2.7767910891287e-07,2083
1948,2.57045968510283e-07,1949
1949,2.54349333975564e-07,2187
1950,2.78843558021435e-07,2396
1951,2.73652000361478e-07,2277
1952,2.71346787578912e-07,2270
1953,2.68077316535807e-07,2254
1954,2.69205356927062e-07,2315
1955,2.88145690672893e-07,2614
1956,2.82656431847629e-07,2563
1957,2.55458767536457e-07,2504
1958,2.426492943083e-07,2382
1959,2.31565275779896e-07,2446
1960,2.17376972676066e-07,2427
1961,1.78277912432634e-07,2131
1962,1.46871378931784e-07,1850
1963,1.40414297459098e-07,1887
1964,1.38359208154018e-07,1749
1965,1.38977032929485e-07,1938
1966,1.37687121894357e-07,1978
1967,1.35472914410327e-07,2143
1968,1.3145096985515e-07,2122
1969,1.31100406974838e-07,2121
1970,1.32094497625904e-07,2125
1971,1.33766853467015e-07,2149
1972,1.37126184692907e-07,2173
1973,1.37093550226349e-07,2224
1974,1.39557849720973e-07,2218
1975,1.43201039724618e-07,2343
1976,1.41589097272085e-07,2441
1977,1.42277814736096e-07,2484
1978,1.40727278909379e-07,2469
1979,1.35461902964603e-07,2398
1980,1.34407905821072e-07,2383
1981,1.36175534404259e-07,2374
1982,1.40263534437984e-07,2456
1983,1.42256549714607e-07,2583
1984,1.35621368357874e-07,2529
1985,1.33339188008413e-07,2560
1986,1.32508559934154e-07,2547
1987,1.42382401868701e-07,2756
1988,1.38059494693619e-07,2715
1989,1.43694316635999e-07,2960
1990,1.53394993215475e-07,3264
1991,1.59773879269766e-07,3280
1992,1.65121757600417e-07,3532
1993,1.69794608722335e-07,3629
1994,1.61837648393615e-07,3505
1995,1.63264576873751e-07,3652
1996,1.56415254113997e-07,3455
1997,1.46683866291448e-07,3209
1998,1.41741549576833e-07,3157
1999,1.33732595822674e-07,3019
2000,1.2962531736882e-07,3206
2001,1.248848728557e-07,3075
2002,1.22923688434489e-07,3224
2003,1.11944404730074e-07,3067
2004,1.11582379019077e-07,3130
2005,1.07008644723017e-07,2835
2006,1.0860188207459e-07,2994
2007,1.09699910599836e-07,3091
2008,1.11681753971788e-07,3196
2009,1.12867354367425e-07,3118
2010,1.17248562628688e-07,3106
2011,1.12813510541202e-07,3031
2012,1.0928338785497e-07,3745
2013,1.07513517533242e-07,3734
2014,9.82381652850758e-08,3008
2015,9.41517696901555e-08,2506
2016,8.61339982077031e-08,2288
