"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,4.64473316950733e-10,1
1832,4.64473316950733e-10,1
1833,4.64473316950733e-10,1
1834,5.47533510594381e-10,1
1835,5.47533510594381e-10,1
1836,5.47533510594381e-10,1
1837,5.47533510594381e-10,1
1838,8.30601936436486e-11,0
1839,8.30601936436486e-11,0
1840,8.30601936436486e-11,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,1.89879635824143e-10,0
1851,1.89879635824143e-10,0
1852,1.89879635824143e-10,1
1853,4.79435697491632e-10,1
1854,4.79435697491632e-10,1
1855,4.79435697491632e-10,1
1856,4.79435697491632e-10,1
1857,2.89556061667489e-10,1
1858,2.89556061667489e-10,1
1859,3.50485450186154e-10,1
1860,1.82919814216222e-10,1
1861,1.82919814216222e-10,0
1862,1.82919814216222e-10,0
1863,2.78395568502938e-10,1
1864,2.78395568502938e-10,1
1865,2.78395568502938e-10,1
1866,2.17466179984273e-10,1
1867,2.25113114657053e-10,1
1868,4.93983278885121e-10,2
1869,4.93983278885121e-10,2
1870,4.40743984959318e-10,1
1871,4.81320047310671e-10,2
1872,5.2227176155257e-10,2
1873,5.61280514129895e-10,2
1874,1.02775388596424e-09,4
1875,1.8419894062419e-09,6
1876,4.67855619721926e-09,17
1877,6.03438663720241e-09,22
1878,9.51349036057029e-09,34
1879,1.3138489062576e-08,49
1880,1.39874207613236e-08,57
1881,1.3738531582216e-08,54
1882,1.54426496986762e-08,63
1883,1.30879223332008e-08,57
1884,1.26051826119879e-08,57
1885,9.25964248134546e-09,41
1886,7.19383183181829e-09,32
1887,6.94147265064718e-09,32
1888,6.70226246723971e-09,33
1889,4.67399467542405e-09,24
1890,4.67277336269056e-09,24
1891,4.49999263645624e-09,24
1892,4.6179835471489e-09,25
1893,3.84806394288744e-09,22
1894,4.16242888965991e-09,23
1895,4.75306738808737e-09,30
1896,4.9243718190452e-09,30
1897,5.81843359207365e-09,37
1898,5.47272684313173e-09,37
1899,5.453804875964e-09,40
1900,4.91271437815958e-09,38
1901,4.09986165651942e-09,32
1902,4.02107023868479e-09,31
1903,3.60086243362494e-09,28
1904,2.49569612594972e-09,21
1905,3.37959285953307e-09,28
1906,3.50977390008365e-09,31
1907,3.92385258412326e-09,35
1908,4.19849273006597e-09,39
1909,4.01962653836677e-09,37
1910,3.9227906022716e-09,38
1911,4.21239431629734e-09,44
1912,3.09021306658743e-09,32
1913,3.07286724339693e-09,32
