"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,3.05811052671499e-09,1
1895,3.05811052671499e-09,1
1896,4.31889311615562e-09,1
1897,4.60178837892654e-09,1
1898,4.60178837892654e-09,2
1899,4.60178837892654e-09,3
1900,4.60178837892654e-09,2
1901,1.54367785221154e-09,1
1902,1.54367785221154e-09,1
1903,2.82895262770921e-10,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,2.22856298494532e-09,1
1914,2.22856298494532e-09,1
1915,2.22856298494532e-09,1
1916,2.22856298494532e-09,1
1917,2.22856298494532e-09,1
1918,2.22856298494532e-09,0
1919,2.22856298494532e-09,1
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,1.43000798504188e-09,0
1930,1.43000798504188e-09,0
1931,1.43000798504188e-09,0
1932,1.43000798504188e-09,0
1933,1.43000798504188e-09,0
1934,1.43000798504188e-09,0
1935,1.43000798504188e-09,0
1936,0,0
1937,0,0
1938,2.49598640168967e-09,0
1939,2.49598640168967e-09,0
1940,2.49598640168967e-09,0
1941,2.49598640168967e-09,0
1942,2.49598640168967e-09,0
1943,2.49598640168967e-09,0
1944,2.49598640168967e-09,0
1945,0,0
1946,1.22198594100707e-09,0
1947,1.22198594100707e-09,0
1948,1.22198594100707e-09,0
1949,1.22198594100707e-09,0
1950,1.22198594100707e-09,0
1951,1.22198594100707e-09,0
1952,1.22198594100707e-09,1
1953,2.72728062356009e-09,1
1954,3.2453364123037e-09,1
1955,3.2453364123037e-09,1
1956,1.43660808645965e-08,4
1957,1.43660808645965e-08,4
1958,2.24576442204543e-08,6
1959,2.24576442204543e-08,7
1960,1.97303635968942e-08,6
1961,1.92123078081506e-08,7
1962,1.92123078081506e-08,7
1963,1.03639340918806e-08,4
1964,1.10185963210694e-08,3
1965,2.9270329652117e-09,1
1966,3.24406584135366e-09,1
1967,3.24406584135366e-09,1
1968,3.24406584135366e-09,1
1969,3.60803447436402e-09,2
1970,1.69933092994004e-09,1
1971,1.76352529405018e-09,1
1972,2.48164146375375e-09,1
1973,3.06894367062073e-09,1
1974,3.37968681612162e-09,1
1975,4.56940041360099e-09,2
1976,4.48976138806805e-09,2
1977,4.39105101485942e-09,2
1978,4.65260731528718e-09,2
1979,3.93449114558361e-09,2
1980,3.69711277465561e-09,2
1981,3.38636962915473e-09,2
1982,2.58924529436147e-09,2
1983,2.30491568688405e-09,1
1984,2.86888865045195e-09,2
1985,3.1797365692857e-09,2
1986,3.62940709232516e-09,3
1987,8.40069014351741e-09,7
1988,8.40069014351741e-09,7
1989,8.40173607669874e-09,8
1990,8.78079479761849e-09,9
1991,8.19032046152555e-09,9
1992,7.25775373926802e-09,8
1993,1.00615093796235e-08,11
1994,6.41584497434217e-09,8
1995,1.2407366538942e-08,15
1996,1.37936177242131e-08,17
1997,1.35455314504667e-08,17
1998,1.3370845240525e-08,18
1999,1.30707515683908e-08,20
2000,1.01839352268611e-08,22
2001,8.72712905909876e-09,19
2002,2.88774772348534e-09,7
2003,1.60841256186777e-09,4
2004,1.71949515737069e-09,5
2005,1.79219780286185e-09,5
2006,2.18745709641104e-09,7
2007,2.13536729964936e-09,8
2008,1.86826546098663e-09,8
2009,1.84550526646391e-09,9
2010,1.52779540804219e-09,8
2011,1.48784881439022e-09,9
2012,1.56182921556043e-09,12
2013,1.21373164891596e-09,9
2014,9.16685392276279e-10,8
2015,1.03205519130789e-09,8
2016,1.42768393139394e-09,10
2017,1.45231633201052e-09,12
2018,1.4598277697786e-09,11
2019,1.45649321769969e-09,11
