"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,7.43157281744646e-10,1
1832,7.43157281744646e-10,2
1833,8.25635544059773e-10,1
1834,8.25635544059773e-10,1
1835,8.25635544059773e-10,1
1836,1.12588026203651e-09,2
1837,1.28076308289086e-09,2
1838,5.37605801146209e-10,1
1839,5.37605801146209e-10,1
1840,4.55127538831083e-10,1
1841,5.25105157768633e-10,1
1842,5.25105157768633e-10,1
1843,2.24860439791895e-10,0
1844,6.99776189375509e-11,0
1845,6.70626482917364e-10,2
1846,6.70626482917364e-10,1
1847,6.70626482917364e-10,1
1848,6.00648863979814e-10,1
1849,6.00648863979814e-10,1
1850,6.00648863979814e-10,1
1851,6.00648863979814e-10,2
1852,0,0
1853,4.34334060780576e-10,1
1854,4.34334060780576e-10,1
1855,5.918392918604e-10,2
1856,7.40935709612042e-10,2
1857,7.40935709612042e-10,2
1858,7.40935709612042e-10,2
1859,8.62794486649372e-10,2
1860,1.03841257814707e-09,3
1861,1.03841257814707e-09,3
1862,8.8090734706725e-10,2
1863,7.31810929315608e-10,2
1864,7.31810929315608e-10,2
1865,7.31810929315608e-10,2
1866,8.3115025972802e-10,2
1867,3.5083547178516e-10,1
1868,1.02301089821566e-09,3
1869,1.02301089821566e-09,3
1870,1.19195673965931e-09,4
1871,1.19195673965931e-09,4
1872,1.64242560425037e-09,6
1873,1.7723062818918e-09,6
1874,3.07333458285771e-09,11
1875,2.80230941229753e-09,10
1876,2.99396933832265e-09,11
1877,3.31434690406926e-09,12
1878,4.2577662784371e-09,15
1879,4.81979803687186e-09,18
1880,4.69892603795406e-09,19
1881,4.1205314517599e-09,16
1882,3.91383866189215e-09,16
1883,4.13977289155059e-09,18
1884,4.13862400104405e-09,19
1885,3.42739083344526e-09,15
1886,3.0770169804985e-09,14
1887,3.45475749397028e-09,16
1888,2.76450346543238e-09,14
1889,3.14580572504029e-09,16
1890,3.33530815267911e-09,17
1891,3.48725988958647e-09,18
1892,3.45731792004779e-09,19
1893,3.21030123119824e-09,18
1894,3.83949324318194e-09,21
1895,4.2914412142928e-09,27
1896,4.54903982340303e-09,28
1897,4.94508801367794e-09,32
1898,4.44926710553771e-09,30
1899,4.48380365376216e-09,33
1900,4.48431746894304e-09,34
1901,3.43568171729774e-09,27
1902,4.18196162818177e-09,33
1903,3.97022993251347e-09,31
1904,3.42684362037675e-09,28
1905,3.84667218911172e-09,32
1906,3.81158622323305e-09,34
1907,3.61571492389436e-09,32
1908,3.8114961048441e-09,36
1909,2.97492947934749e-09,27
