"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,2.74955677273933e-09,0
1822,2.74955677273933e-09,0
1823,2.74955677273933e-09,0
1824,2.74955677273933e-09,0
1825,6.38070015871303e-09,0
1826,6.38070015871303e-09,0
1827,6.38070015871303e-09,0
1828,6.87192220587869e-09,0
1829,6.87192220587869e-09,0
1830,6.87192220587869e-09,0
1831,6.87192220587869e-09,0
1832,3.24077881990498e-09,0
1833,7.04251412741996e-09,0
1834,8.96582719178696e-09,1
1835,5.72504837188197e-09,0
1836,5.72504837188197e-09,0
1837,5.72504837188197e-09,0
1838,5.72504837188197e-09,0
1839,5.72504837188197e-09,0
1840,1.92331306436699e-09,0
1841,0,0
1842,0,0
1843,1.56257495831369e-09,0
1844,1.56257495831369e-09,0
1845,6.31379507406596e-09,1
1846,6.31379507406596e-09,1
1847,6.31379507406596e-09,1
1848,6.31379507406596e-09,1
1849,6.31379507406596e-09,1
1850,4.75122011575227e-09,0
1851,4.75122011575227e-09,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,1.23845162696463e-09,0
1858,1.23845162696463e-09,0
1859,1.23845162696463e-09,0
1860,1.23845162696463e-09,0
1861,1.23845162696463e-09,0
1862,1.23845162696463e-09,0
1863,1.23845162696463e-09,0
1864,1.88688303077405e-09,0
1865,1.88688303077405e-09,0
1866,1.88688303077405e-09,0
1867,1.88688303077405e-09,0
1868,1.88688303077405e-09,0
1869,1.88688303077405e-09,0
1870,1.88688303077405e-09,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,7.86864414895458e-10,0
1879,7.86864414895458e-10,0
1880,7.86864414895458e-10,0
1881,7.86864414895458e-10,0
1882,7.86864414895458e-10,0
1883,7.86864414895458e-10,0
1884,1.51030572175565e-09,0
1885,7.23441306860195e-10,0
1886,7.23441306860195e-10,0
1887,1.94122375317209e-09,0
1888,1.94122375317209e-09,0
1889,2.45844576442421e-09,0
1890,2.45844576442421e-09,1
1891,1.73500445756401e-09,0
1892,1.73500445756401e-09,0
1893,1.73500445756401e-09,0
1894,1.96104107555836e-08,5
1895,1.96104107555836e-08,7
1896,1.90931887443315e-08,6
1897,1.96321316663679e-08,6
1898,2.02578526651921e-08,7
1899,2.10452100191105e-08,12
1900,2.10452100191105e-08,11
1901,7.04824338575755e-09,3
1902,1.14310750071971e-08,4
1903,1.39760530767522e-08,5
1904,1.42601068731096e-08,5
1905,1.36343858742854e-08,4
1906,1.32240939151477e-08,5
1907,1.32240939151477e-08,4
1908,8.12787180416917e-09,3
1909,4.94037135011029e-09,2
1910,2.85499449478469e-09,1
