"Year","Freq","Count"
1800,3.88336973689007e-09,1
1801,5.58490667046385e-09,1
1802,4.65408889205321e-09,1
1803,4.32419167140097e-09,1
1804,3.78341472436919e-09,1
1805,2.67885586729173e-09,1
1806,2.10512325032093e-09,1
1807,3.30417959659712e-09,2
1808,2.20806934641311e-09,1
1809,2.38092482237765e-09,1
1810,3.08532110970816e-09,2
1811,3.30938546408025e-09,2
1812,4.67903474695877e-09,4
1813,4.67903474695877e-09,3
1814,3.47997840068258e-09,2
1815,3.35840003426061e-09,2
1816,5.72723712899403e-09,4
1817,8.61434945598205e-09,6
1818,8.90284271700839e-09,7
1819,8.96842428892748e-09,7
1820,1.03762694309799e-08,9
1821,1.12347557289029e-08,9
1822,1.11585454844386e-08,11
1823,8.75105681570026e-09,8
1824,6.7455330686274e-09,7
1825,6.83770759061072e-09,8
1826,5.51573953178064e-09,6
1827,4.5077518384673e-09,5
1828,5.3376168405807e-09,6
1829,5.19761121444061e-09,6
1830,5.42791427677563e-09,7
1831,4.04008245905426e-09,5
1832,5.38913564567573e-09,11
1833,6.69609222038657e-09,10
1834,6.93108262847123e-09,11
1835,6.9251167340261e-09,12
1836,8.45506886726355e-09,15
1837,1.00146217985042e-08,17
1838,1.12331840813289e-08,19
1839,1.28295088045302e-08,24
1840,1.17706288366952e-08,22
1841,1.15371969596926e-08,21
1842,1.06680370410522e-08,20
1843,1.02434896279543e-08,19
1844,1.28525342908097e-08,26
1845,1.41634682395063e-08,33
1846,1.21099304552428e-08,26
1847,1.26167627456653e-08,27
1848,1.38867499721584e-08,30
1849,1.47677533693777e-08,32
1850,1.39607874467223e-08,33
1851,1.02254836344327e-08,27
1852,7.83907212158803e-09,21
1853,6.75700625610684e-09,20
1854,6.0815462982993e-09,19
1855,4.81083799781195e-09,13
1856,3.87468550895014e-09,11
1857,4.43275008762559e-09,12
1858,3.90969299792131e-09,11
1859,4.04655812033131e-09,12
1860,3.86483863959849e-09,11
1861,4.21074545072945e-09,10
1862,4.23518345790289e-09,10
1863,3.61368411385042e-09,8
1864,3.04944847151489e-09,8
1865,3.0698194502283e-09,8
1866,3.56374758671483e-09,11
1867,3.61927635877152e-09,11
1868,4.6607580533082e-09,15
1869,5.81850184303409e-09,19
1870,6.04409622747707e-09,20
1871,6.18849164373587e-09,20
1872,6.43968223190683e-09,23
1873,5.50425516276931e-09,18
1874,5.74584486339497e-09,20
1875,4.62404620942587e-09,16
1876,3.88061273591335e-09,14
1877,3.8178163011945e-09,14
1878,6.53340824298608e-09,23
1879,6.98368459886975e-09,26
1880,8.80266575504456e-09,36
1881,1.02549532199347e-08,40
1882,1.2788447523171e-08,52
1883,1.88557383992308e-08,81
1884,1.95720441441085e-08,88
1885,1.62491610246539e-08,71
1886,1.74823337314603e-08,77
1887,1.55547473869509e-08,72
1888,1.48305753312959e-08,72
1889,1.32323971066154e-08,68
1890,8.56318751621795e-09,44
1891,1.08343711383415e-08,57
1892,1.44921753645174e-08,78
1893,1.62300600578139e-08,91
1894,1.88008924936359e-08,104
1895,2.02793596835806e-08,128
1896,2.02124332192101e-08,124
1897,1.95455479420506e-08,125
1898,1.73550161226237e-08,116
1899,1.5676201352883e-08,115
1900,1.25667209654219e-08,96
1901,1.21420446395705e-08,95
1902,1.16455719353529e-08,91
1903,1.39195696239166e-08,109
1904,1.841501579796e-08,152
1905,2.0415577292202e-08,168
1906,1.94495544749072e-08,173
1907,2.28486270855858e-08,204
1908,2.35801980164041e-08,219
1909,2.54085064416947e-08,232
1910,2.62541281096215e-08,254
1911,2.5309699193597e-08,261
1912,2.72501259335201e-08,280
1913,2.85153042131217e-08,293
1914,2.77714573242755e-08,282
1915,2.65844372230159e-08,261
1916,2.77660027351142e-08,275
1917,2.67837245398234e-08,260
1918,2.61428848410564e-08,233
1919,2.40617133519448e-08,227
1920,2.32697861297331e-08,236
1921,2.29050339647533e-08,226
1922,4.16984089796862e-08,416
1923,4.51945906096033e-08,276
1924,5.15406322700228e-08,260
1925,6.40321453003269e-08,376
1926,6.69298360226175e-08,386
1927,7.70878947342624e-08,447
1928,7.7662266966578e-08,478
1929,8.18902033802463e-08,506
1930,8.11094035744832e-08,505
1931,8.348592452277e-08,518
1932,7.16805788693518e-08,402
1933,7.65444726332934e-08,398
1934,7.55330177769155e-08,408
1935,8.07203036158809e-08,484
1936,5.78938616411863e-08,354
1937,5.57688133451251e-08,352
1938,4.69294886443602e-08,299
1939,4.41759584785777e-08,299
1940,3.65722546849919e-08,231
1941,2.83436306171479e-08,185
1942,2.19215869266622e-08,125
1943,2.3955507577611e-08,132
1944,2.06063101502809e-08,106
1945,2.42174144547493e-08,138
1946,3.64994759019918e-08,241
1947,3.80609045074516e-08,284
1948,4.254452426863e-08,321
1949,4.5311195954031e-08,388
1950,4.67738766924646e-08,400
1951,5.86028002156981e-08,486
1952,8.35393218886641e-08,696
1953,8.19545762364982e-08,686
1954,8.91909944947652e-08,764
1955,9.7947543377584e-08,885
1956,1.03264910812838e-07,933
1957,1.16773466674047e-07,1140
1958,1.29558909156557e-07,1267
1959,1.12173844149918e-07,1180
1960,1.13717912959237e-07,1264
1961,1.37447332245902e-07,1636
1962,1.44883040675836e-07,1818
1963,1.45857036290157e-07,1952
1964,1.38860348870245e-07,1748
1965,1.29052118959448e-07,1792
1966,1.31677922534022e-07,1884
1967,1.40433203859353e-07,2212
1968,1.21283982729941e-07,1949
1969,1.18891478059372e-07,1916
1970,1.4974228479403e-07,2399
1971,1.65953225828019e-07,2655
1972,1.69154650857856e-07,2670
1973,1.74876273589015e-07,2826
1974,1.83978513312866e-07,2912
1975,1.91969032416393e-07,3128
1976,1.99070616752855e-07,3417
1977,1.8087991282556e-07,3146
1978,1.83970400944945e-07,3214
1979,1.80246868224694e-07,3178
1980,1.97719006119915e-07,3491
1981,1.8740748724306e-07,3255
1982,1.91796394893069e-07,3344
1983,1.8859993008594e-07,3411
1984,2.04275152983411e-07,3794
1985,2.13017503953543e-07,4073
1986,2.36176692298378e-07,4522
1987,2.36833469661032e-07,4566
1988,2.6112877980568e-07,5115
1989,2.70862798349266e-07,5557
1990,2.91135962702884e-07,6170
1991,3.11588622839817e-07,6371
1992,3.19232055774015e-07,6801
1993,3.31646321452947e-07,7061
1994,3.50791474852079e-07,7568
1995,3.97984165242552e-07,8866
1996,4.2743817729729e-07,9404
1997,4.42038197030164e-07,9632
1998,4.34669136493783e-07,9643
1999,4.53108448539297e-07,10187
2000,4.63632387592838e-07,11418
2001,4.59030320801698e-07,11255
2002,4.1912828763202e-07,10947
2003,4.08195685760607e-07,11134
2004,4.03681819654318e-07,11274
2005,4.03422814392635e-07,10641
2006,3.76696581990846e-07,10340
2007,3.52182185382942e-07,9880
2008,3.49065995410212e-07,9942
2009,3.39231902505129e-07,9324
2010,3.23426038205201e-07,8526
2011,2.97918012291478e-07,7966
2012,2.90613341899107e-07,9910
2013,2.84272944485662e-07,9825
2014,2.7734928461801e-07,8451
2015,2.48146593051501e-07,6573
2016,2.63364271343594e-07,6963
2017,2.59050406015149e-07,7052
2018,2.69407047781556e-07,7013
2019,2.57306130624357e-07,5811
