"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,3.05525712665907e-09,0
1828,3.05525712665907e-09,0
1829,3.05525712665907e-09,0
1830,3.05525712665907e-09,0
1831,3.05525712665907e-09,0
1832,3.05525712665907e-09,0
1833,3.05525712665907e-09,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,6.96566715419067e-09,1
1847,6.96566715419067e-09,1
1848,6.96566715419067e-09,1
1849,2.01138666357435e-08,2
1850,2.01138666357435e-08,2
1851,4.14641979164441e-08,3
1852,4.14641979164441e-08,4
1853,3.70585472150456e-08,3
1854,3.70585472150456e-08,3
1855,3.70585472150456e-08,3
1856,3.52793136926266e-08,4
1857,3.52793136926266e-08,4
1858,1.3928982411926e-08,1
1859,1.76578228864141e-08,2
1860,1.50978064336219e-08,2
1861,1.50978064336219e-08,1
1862,1.50978064336219e-08,1
1863,4.76769855341429e-09,0
1864,4.76769855341429e-09,0
1865,3.69453693669998e-08,4
1866,5.95544946056594e-08,8
1867,6.25236146665843e-08,9
1868,7.56351064953467e-08,12
1869,8.14269047744176e-08,11
1870,8.49443624011721e-08,12
1871,8.98188195565451e-08,14
1872,5.76411487429596e-08,7
1873,3.44896068530228e-08,4
1874,4.03960263335128e-08,5
1875,3.23146604078569e-08,4
1876,2.97840056110285e-08,4
1877,3.3732076941208e-08,4
1878,3.62933221254025e-08,4
1879,6.43871039025206e-08,8
1880,6.59182047359406e-08,10
1881,6.65330343200107e-08,12
1882,7.02680022105337e-08,10
1883,7.04198038294278e-08,15
1884,6.80027379169295e-08,11
1885,7.43650345112558e-08,13
1886,5.25987545582244e-08,9
1887,5.29944573303607e-08,10
1888,4.47571850058028e-08,9
1889,3.87096705166203e-08,8
1890,3.94341916581149e-08,9
1891,4.66017448122865e-08,11
1892,3.4482909733973e-08,9
1893,3.41488876541364e-08,9
1894,3.07831519005422e-08,8
1895,4.3006064487372e-08,15
1896,8.36594047370909e-08,28
1897,8.91403778727603e-08,29
1898,8.31204065576685e-08,27
1899,8.14412427020881e-08,46
1900,7.54477629578381e-08,38
1901,1.03408668041181e-07,45
1902,9.6386819287935e-08,33
1903,6.02874890327192e-08,22
1904,5.24019027535262e-08,18
1905,5.24432913603537e-08,16
1906,5.60116390094631e-08,21
1907,6.65936179850795e-08,22
1908,4.23621729441136e-08,14
1909,3.75880262788136e-08,14
1910,4.00017313241717e-08,16
1911,4.22737310553803e-08,14
1912,3.72923466075901e-08,13
1913,4.15239696595547e-08,12
