"Year","Freq","Count"
1800,2.93731502454264e-08,7
1801,2.34985201963411e-08,6
1802,1.95821001636176e-08,5
1803,1.67846572831008e-08,6
1804,1.11586528588654e-08,3
1805,4.73412766131633e-09,2
1806,1.38806020645786e-09,1
1807,1.24767860804858e-08,6
1808,1.34182389009498e-08,7
1809,1.34182389009498e-08,7
1810,1.38541142050538e-08,9
1811,1.62909505885267e-08,10
1812,1.5771595585079e-08,12
1813,2.07504894854184e-08,14
1814,9.66176361139048e-09,6
1815,1.08448585667276e-08,6
1816,2.70095414922622e-08,20
1817,2.96579220864552e-08,20
1818,2.66109306019351e-08,20
1819,2.66109306019351e-08,20
1820,2.1815677391552e-08,18
1821,2.51580880731136e-08,20
1822,2.40316915097897e-08,23
1823,1.09571893939072e-08,11
1824,1.52495344130088e-08,17
1825,2.47457954603649e-08,28
1826,3.50551422968946e-08,35
1827,4.20374643190462e-08,45
1828,4.39908604781587e-08,49
1829,5.19878169085481e-08,62
1830,5.89046131871385e-08,80
1831,9.96474460406611e-08,128
1832,1.01135464701331e-07,205
1833,9.95688134481603e-08,149
1834,1.00865620903231e-07,155
1835,1.05791388887206e-07,177
1836,1.09631742620639e-07,189
1837,1.14106309353649e-07,196
1838,1.8948192342145e-07,322
1839,1.85090628665055e-07,351
1840,1.82016880361553e-07,334
1841,2.04015735194574e-07,380
1842,2.07720896388303e-07,390
1843,1.97770714075293e-07,372
1844,2.00519147405423e-07,408
1845,1.3408574437276e-07,314
1846,1.53254856638529e-07,333
1847,1.5831307556161e-07,337
1848,1.34592923108277e-07,287
1849,1.32757583228203e-07,290
1850,1.52135692282102e-07,357
1851,1.75577164196472e-07,457
1852,1.26757055352034e-07,336
1853,1.36996428257152e-07,411
1854,1.33137515321925e-07,408
1855,1.53228393338724e-07,431
1856,1.61016519990247e-07,475
1857,1.57573612650072e-07,444
1858,1.39079517902374e-07,377
1859,1.57159477019521e-07,450
1860,1.44519173652023e-07,427
1861,1.48665823592107e-07,367
1862,1.30879874656241e-07,306
1863,1.28854317727705e-07,301
1864,1.21572141579897e-07,306
1865,1.18633337490927e-07,303
1866,1.22129345307499e-07,364
1867,1.19380519830736e-07,361
1868,1.65007599790228e-07,531
1869,1.7181410373403e-07,553
1870,1.92226369944664e-07,633
1871,2.49180459484442e-07,791
1872,2.74702134226265e-07,988
1873,2.87833268810703e-07,970
1874,3.00364683296163e-07,1054
1875,2.77980933632849e-07,966
1876,2.94604993222076e-07,1075
1877,2.9842057458088e-07,1069
1878,2.71003207275815e-07,961
1879,2.67127060261345e-07,992
1880,2.57755727119312e-07,1050
1881,2.53431359025542e-07,994
1882,2.65000268471046e-07,1080
1883,2.60693279804539e-07,1128
1884,2.37070565147133e-07,1069
1885,2.16079644819813e-07,949
1886,1.94590363616116e-07,862
1887,1.78118486236183e-07,831
1888,1.6663492376818e-07,817
1889,1.38185256618303e-07,713
1890,1.31055700319793e-07,675
1891,1.33336690954262e-07,703
1892,1.3345453578736e-07,726
1893,1.28750023808966e-07,724
1894,1.22447474237445e-07,681
1895,1.21604020266096e-07,770
1896,1.25157403671075e-07,772
1897,1.18905605500652e-07,766
1898,1.08591577202555e-07,730
1899,1.00410804520263e-07,737
1900,9.91469786588388e-08,759
1901,1.04658227493123e-07,826
1902,1.06899356283607e-07,835
1903,1.08267361342047e-07,852
1904,1.03794633998788e-07,862
1905,1.04346313923745e-07,862
1906,1.02704661205219e-07,917
1907,1.02009203569294e-07,915
1908,9.41356173081442e-08,878
1909,8.4924794346654e-08,779
1910,6.86864414462371e-08,667
1911,6.71976521440798e-08,697
1912,6.1985554373835e-08,640
1913,5.88693713390082e-08,608
1914,5.14295392592401e-08,524
1915,4.82806552901909e-08,477
1916,4.41465451219068e-08,439
1917,4.52364899874198e-08,440
1918,4.39449238793878e-08,392
1919,4.51258907185892e-08,427
1920,4.73752261200595e-08,483
1921,5.18387849957455e-08,513
1922,5.42513923873896e-08,543
1923,6.22444523939209e-08,382
1924,7.37764655785773e-08,373
1925,7.45633064626922e-08,439
1926,8.16913972876262e-08,473
1927,8.07510876519154e-08,470
1928,9.67938864714674e-08,599
1929,9.7914366795071e-08,608
1930,9.10673141955666e-08,570
1931,8.62621065193604e-08,538
1932,8.46559337313353e-08,476
1933,7.90604129861729e-08,413
1934,8.01267620626727e-08,435
1935,6.00181524122524e-08,361
1936,5.77468249984043e-08,355
1937,5.86182480709947e-08,371
1938,4.93089590012216e-08,316
1939,4.99019854585273e-08,339
1940,4.77421547950036e-08,303
1941,4.16610725699286e-08,273
1942,4.05552356260877e-08,232
1943,3.73270850201335e-08,206
1944,3.40947785460693e-08,176
1945,3.63401056092354e-08,208
1946,3.99422917340171e-08,265
1947,4.20835569784973e-08,316
1948,4.66313212389118e-08,354
1949,4.89187315734694e-08,421
1950,5.09570975058628e-08,438
1951,5.25921400110207e-08,438
1952,5.34482909270558e-08,447
1953,5.22723642178741e-08,440
1954,5.38858222150416e-08,463
1955,5.19984558724643e-08,472
1956,5.26161769273273e-08,477
1957,5.72308821881037e-08,561
1958,6.10388099043077e-08,599
1959,6.58152799967726e-08,695
1960,6.28833399687096e-08,702
1961,6.44587808545927e-08,771
1962,7.13296006090079e-08,899
1963,7.30816874715069e-08,982
1964,7.82660709099302e-08,989
1965,8.24626423812092e-08,1150
1966,8.25556418187252e-08,1186
1967,8.80972055980081e-08,1394
1968,9.05650186868088e-08,1462
1969,9.12467080901472e-08,1476
1970,9.33190764860838e-08,1501
1971,9.31670144564491e-08,1497
1972,8.85970402597635e-08,1404
1973,8.84392652722443e-08,1435
1974,8.57103724938302e-08,1362
1975,8.3392367911899e-08,1364
1976,8.11219587734272e-08,1398
1977,7.85259741398203e-08,1371
1978,7.31685116899567e-08,1284
1979,7.30201508623653e-08,1293
1980,6.9416251968768e-08,1230
1981,7.1161660627642e-08,1241
1982,7.09539166231034e-08,1242
1983,7.57541012934888e-08,1375
1984,9.09341985203379e-08,1696
1985,9.63785173970143e-08,1850
1986,9.77017204996576e-08,1878
1987,1.05315456887047e-07,2039
1988,1.08590872825522e-07,2136
1989,1.09026130901135e-07,2246
1990,1.05568056994544e-07,2246
1991,1.03698034397454e-07,2129
1992,1.07293092299621e-07,2295
1993,1.1741004457555e-07,2510
1994,1.25724452515463e-07,2723
1995,1.28125205254927e-07,2866
1996,1.46833417155204e-07,3243
1997,1.60159408307032e-07,3504
1998,1.58204685843774e-07,3524
1999,1.59393725488296e-07,3598
2000,1.64228879606654e-07,4061
2001,1.60724211233682e-07,3957
2002,1.6706560112307e-07,4382
2003,1.55235127022709e-07,4253
2004,1.49687079366499e-07,4199
2005,1.5311649191409e-07,4057
2006,1.50805276100119e-07,4158
2007,1.44220133446726e-07,4064
2008,1.40554048590401e-07,4022
2009,1.29781361847746e-07,3585
2010,1.29856091189508e-07,3440
2011,1.1938882549245e-07,3208
2012,1.0934381920537e-07,3747
2013,1.04894130175432e-07,3643
2014,9.82879026263055e-08,3010
2015,9.98312144300557e-08,2658
2016,1.06617803609575e-07,2833
2017,1.02244916949656e-07,2797
2018,1.08479809468598e-07,2839
2019,1.12050990541679e-07,2544
