"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,7.92937778929367e-10,2
1861,7.92937778929367e-10,2
1862,7.92937778929367e-10,2
1863,7.92937778929367e-10,2
1864,7.92937778929367e-10,2
1865,7.92937778929367e-10,2
1866,7.92937778929367e-10,2
1867,0,0
1868,0,0
1869,0,0
1870,1.68945841443653e-10,1
1871,1.68945841443653e-10,1
1872,1.68945841443653e-10,1
1873,2.07954594020978e-10,1
1874,2.07954594020978e-10,1
1875,2.07954594020978e-10,1
1876,2.07954594020978e-10,1
1877,7.39604250859267e-11,0
1878,1.70680158895209e-09,6
1879,2.6843883623887e-09,10
1880,2.6782662932672e-09,11
1881,2.6782662932672e-09,11
1882,2.6782662932672e-09,11
1883,2.6782662932672e-09,12
1884,3.92477273498353e-09,18
1885,2.5821643295787e-09,11
1886,1.88046372719329e-09,8
1887,1.90284498078976e-09,9
1888,1.95685066563454e-09,10
1889,1.95685066563454e-09,10
1890,1.95685066563454e-09,10
1891,7.0099760123605e-10,4
1892,4.10764842774723e-10,2
1893,1.34878671723523e-10,1
1894,1.45886053237732e-10,1
1895,2.40078821901944e-10,2
1896,2.5945924773753e-10,2
1897,2.5945924773753e-10,2
1898,2.33854197911094e-10,2
1899,2.33854197911094e-10,2
1900,2.51924802447639e-10,2
1901,2.370595426309e-10,2
1902,1.92170830835638e-10,2
1903,4.43755877282166e-10,4
1904,9.66929286638774e-10,8
1905,9.66929286638774e-10,8
1906,9.66929286638774e-10,9
1907,9.92809203895614e-10,9
1908,9.55123600249979e-10,9
1909,8.51813858536245e-10,8
1910,5.94622276020981e-10,6
1911,1.69294391997151e-10,2
1912,1.69294391997151e-10,2
1913,1.69294391997151e-10,2
1914,1.25343870203766e-10,1
1915,1.11619415099629e-10,1
1916,3.67501096022936e-10,4
1917,3.53727206256086e-10,3
1918,2.70261919986327e-10,2
1919,2.70261919986327e-10,3
1920,3.86270194401612e-10,4
1921,3.86270194401612e-10,4
1922,3.86270194401612e-10,4
1923,1.30388513478305e-10,1
1924,2.28074626645076e-10,1
1925,2.59704737873686e-10,2
1926,3.51396598327217e-10,2
