"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,6.24306244796052e-09,1
1880,6.24306244796052e-09,1
1881,6.24306244796052e-09,1
1882,6.24306244796052e-09,1
1883,6.24306244796052e-09,1
1884,6.24306244796052e-09,1
1885,6.24306244796052e-09,1
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,1.72889664489568e-09,0
1892,1.72889664489568e-09,0
1893,1.72889664489568e-09,0
1894,1.72889664489568e-09,0
1895,1.72889664489568e-09,1
1896,1.72889664489568e-09,1
1897,1.72889664489568e-09,1
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,3.06172179672818e-09,1
1904,3.06172179672818e-09,1
1905,3.06172179672818e-09,1
1906,3.06172179672818e-09,1
1907,3.06172179672818e-09,1
1908,3.06172179672818e-09,1
1909,3.06172179672818e-09,1
1910,0,0
1911,0,0
1912,0,0
1913,1.11428149247266e-09,0
1914,1.11428149247266e-09,0
1915,1.11428149247266e-09,0
1916,1.11428149247266e-09,0
1917,4.27632913207227e-09,1
1918,4.27632913207227e-09,1
1919,4.27632913207227e-09,1
1920,3.16204763959961e-09,1
1921,3.16204763959961e-09,1
1922,3.16204763959961e-09,1
1923,5.12143058121036e-09,1
1924,2.53824548680979e-09,0
1925,2.53824548680979e-09,1
1926,3.12352937165932e-09,1
1927,3.12352937165932e-09,1
1928,3.12352937165932e-09,1
1929,3.12352937165932e-09,1
1930,1.16414643004857e-09,0
1931,5.85283884849527e-10,0
1932,5.85283884849527e-10,0
1933,1.47667744698765e-09,0
1934,3.5745098309852e-09,1
1935,3.5745098309852e-09,1
1936,3.5745098309852e-09,1
1937,3.5745098309852e-09,1
1938,6.07049610579224e-09,1
1939,6.07049610579224e-09,1
1940,9.99621769486631e-09,2
1941,7.89838531086876e-09,1
1942,7.89838531086876e-09,1
1943,7.89838531086876e-09,1
1944,7.89838531086876e-09,1
1945,5.40239903606172e-09,1
1946,5.40239903606172e-09,1
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,6.19971375824337e-10,0
1966,6.19971375824337e-10,0
1967,1.84323550073933e-09,1
1968,1.84323550073933e-09,1
1969,2.93514136804975e-09,1
1970,2.93514136804975e-09,1
1971,2.93514136804975e-09,1
1972,2.67422807707719e-09,1
1973,2.97567310474684e-09,1
1974,2.68463838461384e-09,1
1975,3.57692361444403e-09,1
1976,7.60295049140325e-09,4
1977,7.60295049140325e-09,3
1978,7.84805371483494e-09,4
1979,7.9575379460398e-09,4
1980,8.3230496304511e-09,4
1981,7.39082022566911e-09,4
1982,6.69482962718198e-09,4
1983,1.75559405108621e-09,1
1984,3.74502549606502e-09,3
1985,3.82273747577346e-09,3
1986,3.95375587824986e-09,3
1987,3.28679916616892e-09,3
1988,3.28679916616892e-09,3
1989,3.61535146264913e-09,3
1990,3.68936010313498e-09,4
1991,1.93838410402135e-09,2
1992,2.09382769852543e-09,2
1993,1.49426697999238e-09,2
1994,1.71833889974136e-09,2
1995,1.82345330898162e-09,2
1996,2.2353886836817e-09,3
1997,2.31011399692045e-09,3
1998,2.07165855105527e-09,3
1999,1.59339975341106e-09,2
2000,1.96000957527634e-09,4
2001,1.92780576422992e-09,4
2002,1.97483159190627e-09,5
2003,1.08355394498208e-09,3
2004,2.89427558903504e-09,9
2005,3.40604515227026e-09,10
2006,3.46655978129234e-09,11
2007,3.6432118393532e-09,13
2008,3.63445666816199e-09,15
2009,3.70411077604033e-09,17
2010,6.14524859966968e-09,31
2011,4.30248511024927e-09,27
2012,3.80984757234312e-09,29
2013,4.02431452051211e-09,31
2014,3.48105264058596e-09,32
2015,4.12610690455776e-09,31
2016,4.35432007117598e-09,29
2017,2.17895719060538e-09,18
2018,2.20120364158305e-09,17
2019,2.71802350765293e-09,21
