"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,5.70518235828591e-10,0
1817,5.70518235828591e-10,0
1818,5.70518235828591e-10,0
1819,5.70518235828591e-10,0
1820,5.70518235828591e-10,0
1821,5.70518235828591e-10,0
1822,6.95287137388232e-10,1
1823,1.24768901559642e-10,0
1824,1.24768901559642e-10,0
1825,6.31236150651558e-10,1
1826,6.31236150651558e-10,1
1827,6.31236150651558e-10,1
1828,9.6222408612385e-10,1
1829,2.80513504488259e-09,3
1830,3.28165773920221e-09,4
1831,3.28165773920221e-09,4
1832,4.81877750400729e-09,10
1833,9.43756032053703e-09,14
1834,9.43756032053703e-09,14
1835,1.011197322701e-08,17
1836,8.14429336669166e-09,14
1837,1.40954077616178e-08,24
1838,2.18806331783331e-08,37
1839,2.03675162132758e-08,39
1840,1.61266632111737e-08,30
1841,1.70363722811524e-08,32
1842,1.60309714392071e-08,30
1843,1.64244185870846e-08,31
1844,1.30020100717689e-08,26
1845,7.95307407232469e-09,19
1846,7.42260402348498e-09,16
1847,7.04467420905733e-09,15
1848,6.13496513907868e-09,13
1849,6.40366283809003e-09,14
1850,6.2000953260366e-09,15
1851,5.46986801884332e-09,14
1852,2.83470174317862e-09,8
1853,2.83470174317862e-09,8
1854,3.99624447818983e-09,12
1855,3.99624447818983e-09,11
1856,3.92634199756056e-09,12
1857,3.73646236173641e-09,11
1858,2.21030684231595e-09,6
1859,2.17011308922821e-09,6
1860,5.95181616690001e-09,18
1861,7.16271421539817e-09,18
1862,7.16271421539817e-09,17
1863,7.15487050558953e-09,17
1864,7.20196562704294e-09,18
1865,6.63002608369823e-09,17
1866,6.61333631508348e-09,20
1867,6.54790421090417e-09,20
1868,5.6542492989285e-09,18
1869,5.93135049805785e-09,19
1870,6.1205271406628e-09,20
1871,7.93993084772079e-09,25
1872,9.7287068639191e-09,35
1873,1.01135635263308e-08,34
1874,7.11262542513984e-09,25
1875,6.43614008120709e-09,22
1876,6.27403483134868e-09,23
1877,6.13856837980035e-09,22
1878,4.30835491092653e-09,15
1879,2.90129371321208e-09,11
1880,2.83395094692805e-09,12
1881,2.81306115703016e-09,11
1882,3.30714374139975e-09,13
1883,3.2242704200991e-09,14
1884,3.04063053505451e-09,14
1885,3.61383395232538e-09,16
1886,3.33109909299102e-09,15
1887,3.68782875467425e-09,17
1888,3.5874482115109e-09,18
1889,2.70979943840986e-09,14
1890,3.84127859679292e-09,20
1891,5.00929918180658e-09,26
1892,5.00654314037975e-09,27
1893,5.05352036407812e-09,28
1894,4.71059734076716e-09,26
1895,4.11653480152691e-09,26
1896,3.79470259183533e-09,23
1897,2.87259862722219e-09,19
1898,1.87805241199815e-09,13
1899,1.67202562113238e-09,12
1900,1.98163337326664e-09,15
