"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,1.56892366162279e-11,0
1954,5.92371003439927e-11,1
1955,5.92371003439927e-11,1
1956,5.92371003439927e-11,1
1957,7.19808250702693e-11,1
1958,7.19808250702693e-11,1
1959,7.19808250702693e-11,1
1960,8.80551722807052e-11,1
1961,6.70184463480439e-11,1
1962,6.70184463480439e-11,1
1963,6.70184463480439e-11,1
1964,6.32680316866744e-11,1
1965,1.16158521293716e-10,2
1966,1.51330807012557e-10,2
1967,5.97179902750433e-10,9
1968,6.54377639376845e-10,11
1969,6.72331410782918e-10,11
1970,6.89870428640025e-10,11
1971,7.07729817211218e-10,11
1972,7.07011998549564e-10,11
1973,7.46126583136711e-10,12
1974,5.04791504231582e-10,8
1975,5.46725127472035e-10,9
1976,6.97536421480547e-10,12
1977,8.40525629256358e-10,15
1978,1.05847079513919e-09,19
1979,1.33140615992439e-09,24
1980,1.50789775110738e-09,27
1981,1.51577370496473e-09,27
1982,1.54977259596884e-09,27
1983,1.73632781168871e-09,32
1984,1.99478341781198e-09,37
1985,2.2925412044929e-09,44
1986,2.44412347503799e-09,47
1987,2.6748426806833e-09,52
1988,2.68715126340778e-09,53
1989,2.99715067050447e-09,62
1990,2.99467585649994e-09,64
1991,3.04867935658442e-09,63
1992,2.88786447136654e-09,62
1993,3.16481315757297e-09,68
1994,3.35964102569721e-09,73
1995,4.06763572031415e-09,91
1996,4.17548056448019e-09,93
1997,4.43815524014164e-09,97
1998,4.83183604238491e-09,108
1999,5.49135809840046e-09,124
2000,5.53216069779491e-09,137
2001,6.12858836695247e-09,152
2002,6.49016427902081e-09,171
2003,6.9121991305313e-09,190
2004,7.41701214731652e-09,209
2005,7.31550743791688e-09,195
2006,7.23665362554828e-09,200
2007,7.27412200315517e-09,206
2008,6.84794151542941e-09,197
2009,6.51759179959299e-09,181
2010,6.55782710674251e-09,175
2011,6.25919823907647e-09,169
2012,6.18287643305848e-09,213
2013,5.98031262606063e-09,209
2014,6.39018685585516e-09,197
2015,6.2170173770986e-09,166
2016,5.828407407498e-09,156
2017,5.59142687706071e-09,154
2018,5.55932624379807e-09,146
2019,5.74368497208155e-09,131
