"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,1.35233982742225e-09,0
1916,1.35233982742225e-09,0
1917,1.80406093238819e-09,1
1918,1.80406093238819e-09,0
1919,1.80406093238819e-09,0
1920,1.80406093238819e-09,1
1921,1.80406093238819e-09,0
1922,4.51721104965941e-10,0
1923,4.51721104965941e-10,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,5.90396239833321e-10,0
1946,5.90396239833321e-10,0
1947,5.90396239833321e-10,0
1948,5.90396239833321e-10,0
1949,5.90396239833321e-10,0
1950,5.90396239833321e-10,0
1951,5.90396239833321e-10,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,4.63064031563931e-10,0
1962,4.63064031563931e-10,0
1963,4.63064031563931e-10,0
1964,4.63064031563931e-10,0
1965,7.730497194761e-10,0
1966,1.09008259561806e-09,0
1967,1.09008259561806e-09,0
1968,6.27018564054132e-10,0
1969,1.71892443136455e-09,1
1970,1.71892443136455e-09,1
1971,1.71892443136455e-09,1
1972,1.76799682830417e-09,1
1973,1.4509639521622e-09,1
1974,2.38319335694419e-09,1
1975,2.38319335694419e-09,1
1976,1.29128748963378e-09,1
1977,1.29128748963378e-09,1
1978,1.29128748963378e-09,1
1979,9.32229404781992e-10,0
1980,9.32229404781992e-10,1
1981,0,0
1982,1.96294631343059e-10,0
1983,1.96294631343059e-10,0
1984,1.96294631343059e-10,0
1985,3.57702232913125e-10,0
1986,3.57702232913125e-10,0
1987,1.85321819794788e-09,2
1988,1.85321819794788e-09,2
1989,2.83782909869603e-09,3
1990,3.09053490735575e-09,3
1991,3.20976263028833e-09,3
1992,3.04835502871827e-09,3
1993,6.41396834057316e-09,7
1994,4.9184523755384e-09,6
1995,4.9184523755384e-09,6
1996,3.92490330712393e-09,5
1997,3.80316994563756e-09,5
1998,3.74771145862850e-09,5
1999,3.80631187679725e-09,6
2000,5.97817057761724e-10,1
2001,1.22138841104505e-09,3
2002,1.22138841104505e-09,3
2003,1.07953660296748e-09,3
2004,1.02924917001955e-09,3
2005,1.47724948147092e-09,4
2006,1.41864906330217e-09,4
2007,1.29012329985745e-09,5
2008,6.89441063763039e-10,3
2009,6.89441063763039e-10,3
2010,6.9878881649364e-10,3
2011,7.1138462977492e-10,4
2012,2.37879133058172e-10,2
2013,2.59031562072869e-10,2
2014,2.30438832698227e-10,2
2015,2.44357145628982e-10,2
2016,3.00608086042534e-10,2
2017,2.86714957331569e-10,2
2018,2.13464790288498e-10,2
2019,1.99868899208866e-10,2
