"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,2.61708967988891e-11,0
1890,2.61708967988891e-11,0
1891,2.61708967988891e-11,0
1892,2.61708967988891e-11,0
1893,2.61708967988891e-11,0
1894,2.61708967988891e-11,0
1895,2.61708967988891e-11,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,1.71366869107713e-11,0
1902,8.60098480532605e-11,1
1903,1.17888137743779e-10,1
1904,1.17888137743779e-10,1
1905,1.17888137743779e-10,1
1906,1.79948082228749e-10,2
1907,2.38548777953262e-10,2
1908,2.21412091042491e-10,2
1909,2.90349010707252e-10,3
1910,3.27340170842254e-10,3
1911,3.27340170842254e-10,3
1912,3.27340170842254e-10,3
1913,2.93876064356396e-10,3
1914,2.35275368631882e-10,2
1915,2.83091536323887e-10,3
1916,1.90437045101609e-10,2
1917,1.9139626986472e-10,2
1918,7.37845378049963e-10,7
1919,9.08314334461099e-10,9
1920,1.15813835505867e-09,12
1921,1.35491961301375e-09,13
1922,1.66937289785325e-09,17
1923,1.67332419745822e-09,10
1924,1.72560316432805e-09,9
1925,1.27117475672606e-09,8
1926,1.19239766076846e-09,7
1927,1.00493131673294e-09,6
1928,9.67816449997422e-10,6
1929,9.08976564652418e-10,6
1930,1.1049162140786e-09,7
1931,1.19267265111641e-09,7
1932,1.24251142707976e-09,7
1933,1.22032104262918e-09,6
1934,1.28664264163549e-09,7
1935,1.17142091661724e-09,7
1936,1.07736567683021e-09,7
1937,1.07918572887579e-09,7
1938,8.69321650379514e-10,6
1939,7.27462173832905e-10,5
1940,8.38513540348172e-10,5
1941,6.81238426780695e-10,4
1942,7.1151790015378e-10,4
1943,5.02143572754323e-10,3
1944,4.63961527926874e-10,2
1945,8.01811085780559e-10,5
1946,1.06658075228948e-09,7
1947,1.06815465203017e-09,8
1948,1.49565465568102e-09,11
1949,1.69302914544898e-09,15
1950,2.40366805824367e-09,21
1951,2.69145647039234e-09,22
1952,3.56127097652806e-09,30
1953,4.6771541084567e-09,39
1954,6.61435684001788e-09,57
1955,7.12898314983842e-09,65
1956,8.09594112384713e-09,74
1957,8.39205644658542e-09,83
1958,8.74061185334491e-09,86
1959,8.88822050880224e-09,94
1960,9.23338910092347e-09,104
1961,8.39719449530207e-09,101
1962,8.0875770842275e-09,102
1963,7.92804082700676e-09,107
1964,7.63175808263635e-09,97
1965,8.31173878929852e-09,116
1966,8.22266832400942e-09,119
1967,8.43383160134944e-09,134
1968,9.32940600963304e-09,151
1969,1.0608973699533e-08,172
1970,1.09939613603314e-08,178
1971,1.21094734240046e-08,195
1972,1.1740958554591e-08,187
1973,1.25382805090827e-08,204
1974,1.22715340111768e-08,196
1975,1.24445795890438e-08,204
1976,1.3216671059167e-08,229
1977,1.51393083466392e-08,265
1978,1.5581785005127e-08,274
1979,1.67416854982402e-08,298
1980,1.76091345949203e-08,313
1981,1.88611092458554e-08,330
1982,1.78286005641277e-08,313
1983,1.80314100158999e-08,329
1984,1.77315140348355e-08,332
1985,1.98252010363831e-08,382
1986,2.00511546414158e-08,387
1987,2.02566035056861e-08,394
1988,2.07862324178417e-08,410
1989,2.28728160221538e-08,473
1990,2.58044602828379e-08,551
1991,2.88397689221905e-08,594
1992,2.81105214026768e-08,604
1993,3.05731087430721e-08,656
1994,3.28993157795919e-08,715
1995,3.34905281919516e-08,752
1996,3.49813833772877e-08,776
1997,3.42249837359532e-08,752
1998,3.37819907920383e-08,756
1999,3.43846444650353e-08,779
2000,3.23809327288213e-08,804
2001,3.03156925594651e-08,750
2002,3.29779622022995e-08,869
2003,3.2037568534601e-08,881
2004,3.02354151874137e-08,852
2005,2.76015979596065e-08,734
2006,2.60782882272841e-08,722
2007,2.50629139029814e-08,709
2008,2.37343370354129e-08,682
2009,2.02276449558423e-08,561
2010,1.94768745893319e-08,518
2011,1.7934492748038e-08,484
2012,1.64319638530839e-08,566
2013,1.59992557615039e-08,558
2014,1.58215270725951e-08,487
2015,1.48551411172093e-08,397
2016,1.2977049783964e-08,346
2017,1.14001169985537e-08,313
2018,1.12753786751796e-08,297
2019,1.13935902934514e-08,260
