"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,4.13216683092799e-11,0
1911,4.13216683092799e-11,0
1912,4.13216683092799e-11,0
1913,4.13216683092799e-11,0
1914,4.13216683092799e-11,0
1915,4.13216683092799e-11,0
1916,4.13216683092799e-11,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,2.45046538616123e-10,2
1931,2.45046538616123e-10,2
1932,2.45046538616123e-10,1
1933,2.45046538616123e-10,1
1934,2.45046538616123e-10,1
1935,2.45046538616123e-10,1
1936,2.45046538616123e-10,2
1937,0,0
1938,2.61027009530933e-10,2
1939,2.85921034864118e-10,2
1940,2.85921034864118e-10,2
1941,2.85921034864118e-10,2
1942,2.85921034864118e-10,2
1943,2.85921034864118e-10,2
1944,2.85921034864118e-10,1
1945,2.48940253331855e-11,0
1946,9.92886249408441e-11,1
1947,9.92886249408441e-11,1
1948,9.92886249408441e-11,1
1949,9.92886249408441e-11,1
1950,1.1620859829975e-10,1
1951,1.1620859829975e-10,1
1952,1.31892546487552e-10,1
1953,6.39823947791638e-11,1
1954,7.8498349685509e-11,1
1955,7.8498349685509e-11,1
1956,7.8498349685509e-11,1
1957,8.70658257791566e-11,1
1958,1.22771248524588e-10,1
1959,1.07087300336785e-10,1
1960,7.57088271043292e-11,1
1961,6.11928721979841e-11,1
1962,6.11928721979841e-11,1
1963,1.50327579749389e-10,2
1964,1.51820060491557e-10,2
1965,1.69005127353168e-10,2
1966,1.69005127353168e-10,2
1967,1.69005127353168e-10,3
1968,1.86718210337666e-10,3
1969,2.22625753149812e-10,4
1970,1.33491045598407e-10,2
1971,1.87069215277066e-10,3
1972,1.51569615985154e-10,2
1973,1.59823712795961e-10,3
1974,1.67971216301156e-10,3
1975,1.58367632995577e-10,3
1976,1.22460090183431e-10,2
1977,1.46539322838844e-10,3
1978,6.59812229654642e-11,1
1979,5.67180335435997e-11,1
1980,5.63007636543235e-11,1
1981,5.57830587277763e-11,1
1982,4.76735590488569e-11,1
1983,9.2088594190663e-11,2
1984,6.800936153525e-11,1
1985,6.800936153525e-11,1
1986,6.67902157192035e-11,1
1987,6.56408563416898e-11,1
1988,6.49424670786024e-11,1
1989,6.49424670786024e-11,1
1990,2.05274319367962e-11,0
1991,6.65123105401756e-11,1
1992,6.65123105401756e-11,1
1993,6.60451143179903e-11,1
1994,5.93576467739736e-11,1
1995,6.520050025676e-11,1
1996,6.520050025676e-11,1
1997,1.22725750692895e-10,3
1998,8.82964470388143e-11,2
1999,8.82964470388143e-11,2
2000,2.11665805914331e-10,5
2001,2.11665805914331e-10,5
2002,2.36471418835205e-10,6
2003,2.82894653139528e-10,8
2004,2.35462494740142e-10,7
2005,2.53718481740035e-10,7
2006,2.64011626053115e-10,7
2007,1.39568069403216e-10,4
2008,1.44859148981658e-10,4
2009,1.23873990925949e-10,3
2010,8.56385493273683e-11,2
2011,7.55454572906203e-11,2
2012,4.57338953414282e-11,2
2013,4.6142796429021e-11,2
2014,4.077563534837e-11,1
2015,3.54845557699284e-11,1
2016,1.88898381064157e-11,1
2017,1.24857196341181e-11,0
2018,1.49828635609417e-11,0
2019,1.87285794511771e-11,0
