"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,1.39285789251582e-09,4
1852,1.39285789251582e-09,4
1853,1.39285789251582e-09,4
1854,1.39285789251582e-09,4
1855,1.39285789251582e-09,4
1856,1.39285789251582e-09,4
1857,1.39285789251582e-09,4
1858,0,0
1859,0,0
1860,1.58587555785873e-09,5
1861,1.58587555785873e-09,4
1862,1.58587555785873e-09,4
1863,1.58587555785873e-09,4
1864,1.58587555785873e-09,4
1865,1.58587555785873e-09,4
1866,1.71859441757048e-09,5
1867,2.62356224047165e-10,1
1868,2.62356224047165e-10,1
1869,3.81113878551125e-10,1
1870,3.81113878551125e-10,1
1871,8.68026610907029e-10,3
1872,8.68026610907029e-10,3
1873,7.35307751195283e-10,2
1874,6.05670386859864e-10,2
1875,6.05670386859864e-10,2
1876,4.86912732355904e-10,2
1877,4.86912732355904e-10,2
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,1.37244551041376e-11,0
1909,1.37244551041376e-11,0
1910,1.37244551041376e-11,0
1911,1.37244551041376e-11,0
1912,1.37244551041376e-11,0
1913,1.37244551041376e-11,0
1914,1.37244551041376e-11,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,2.27383786402921e-11,0
1928,2.27383786402921e-11,0
1929,2.27383786402921e-11,0
1930,2.27383786402921e-11,0
1931,2.27383786402921e-11,0
1932,2.27383786402921e-11,0
1933,2.27383786402921e-11,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,4.35045015884888e-11,0
1939,4.35045015884888e-11,0
1940,1.72470815407166e-10,1
1941,1.72470815407166e-10,1
1942,1.72470815407166e-10,1
1943,1.72470815407166e-10,1
1944,1.72470815407166e-10,1
1945,1.28966313818678e-10,1
1946,1.62062522132292e-10,1
1947,1.98665972561685e-10,1
1948,1.98665972561685e-10,2
1949,1.98665972561685e-10,2
1950,1.98665972561685e-10,2
1951,1.98665972561685e-10,2
1952,1.98665972561685e-10,2
1953,1.6556976424807e-10,1
1954,1.45159549063451e-11,0
1955,1.45159549063451e-11,0
1956,1.45159549063451e-11,0
1957,1.45159549063451e-11,0
1958,1.45159549063451e-11,0
1959,1.45159549063451e-11,0
1960,1.45159549063451e-11,0
1961,1.12555688975518e-11,0
1962,1.12555688975518e-11,0
1963,1.12555688975518e-11,0
1964,1.12555688975518e-11,0
1965,1.12555688975518e-11,0
1966,1.12555688975518e-11,0
1967,1.12555688975518e-11,0
1968,0,0
1969,0,0
1970,0,0
1971,2.05870685578345e-10,3
1972,2.23261575893474e-10,4
1973,2.23261575893474e-10,4
1974,2.23261575893474e-10,4
1975,2.23261575893474e-10,4
1976,3.9202664130806e-10,7
1977,5.68607676816007e-10,10
1978,5.25935557010066e-10,9
1979,6.38587880987172e-10,11
1980,9.44224127457411e-10,17
1981,9.97632718499223e-10,17
1982,1.02727869861446e-09,18
1983,1.0361737737671e-09,19
1984,1.00660460125975e-09,19
1985,9.08512709507647e-10,18
1986,8.06103715524285e-10,16
1987,5.27217339230113e-10,10
1988,6.12436936482068e-10,12
1989,5.89442967649908e-10,12
1990,7.18026080061472e-10,15
1991,7.28676655720977e-10,15
1992,7.84454561824394e-10,17
1993,7.69703059225587e-10,17
1994,1.21768166779937e-09,26
1995,1.32815160258648e-09,30
1996,1.38451998972698e-09,31
1997,1.59025145333804e-09,35
1998,1.54236697917444e-09,34
1999,1.83364892218453e-09,42
2000,2.40751063529387e-09,60
2001,2.28773327266245e-09,57
2002,2.39295968754557e-09,63
2003,2.66006007697074e-09,73
2004,2.57199521997669e-09,72
2005,2.65599239427213e-09,71
2006,2.4857147610088e-09,69
2007,1.95800910405909e-09,55
2008,1.70887957752695e-09,49
2009,1.37529843664235e-09,38
2010,1.62651091603231e-09,43
2011,1.38829694367499e-09,37
2012,1.65374954008701e-09,57
2013,2.14495074678047e-09,75
2014,3.45239413842727e-09,106
2015,4.95405127040208e-09,133
2016,5.2712660744295e-09,141
2017,5.47158827505593e-09,150
2018,6.30593168793325e-09,166
2019,7.07876607330959e-09,162
