"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,5.57140720859804e-09,2
1914,5.57140720859804e-09,2
1915,5.57140720859804e-09,2
1916,5.57140720859804e-09,1
1917,5.57140720859804e-09,2
1918,5.57140720859804e-09,1
1919,5.57140720859804e-09,1
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,9.67021256721117e-10,0
1957,9.67021256721117e-10,0
1958,9.67021256721117e-10,0
1959,9.67021256721117e-10,0
1960,9.67021256721117e-10,0
1961,9.67021256721117e-10,0
1962,9.67021256721117e-10,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,2.18200314959306e-09,1
1971,3.26028803954159e-09,1
1972,3.26028803954159e-09,1
1973,3.86317809488089e-09,2
1974,3.86317809488089e-09,2
1975,3.86317809488089e-09,2
1976,3.86317809488089e-09,2
1977,1.68117494528782e-09,1
1978,6.02890055339295e-10,0
1979,6.02890055339295e-10,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,6.79779978339314e-10,1
1988,6.79779978339314e-10,1
1989,6.79779978339314e-10,1
1990,6.79779978339314e-10,1
1991,7.990077012719e-10,1
1992,7.990077012719e-10,1
1993,1.02338191889016e-09,1
1994,3.43601940550846e-10,0
1995,3.43601940550846e-10,0
1996,6.24636628135785e-10,1
1997,8.21095302860897e-10,1
1998,7.65636815851829e-10,1
1999,8.82837652189344e-10,1
2000,6.58463434571084e-10,1
2001,8.02364516098006e-10,2
2002,8.53077925760155e-10,2
2003,5.72043238175216e-10,2
2004,4.56269577675528e-10,1
2005,4.2661831210568e-10,1
2006,5.21218671397808e-10,2
2007,7.21367775037761e-10,3
2008,8.75025211019168e-10,4
2009,8.42794663423265e-10,4
2010,9.15931207862946e-10,5
2011,9.12980211272999e-10,6
2012,8.78862240919328e-10,7
2013,7.51670761348474e-10,6
2014,5.51521657708522e-10,5
2015,3.64385430559214e-10,3
2016,3.83403194113642e-10,3
2017,3.61977757952954e-10,3
2018,3.25545684853878e-10,3
2019,4.06932106067348e-10,3
