"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,4.48116940380113e-11,0
1869,4.48116940380113e-11,0
1870,4.48116940380113e-11,0
1871,4.48116940380113e-11,0
1872,4.48116940380113e-11,0
1873,4.48116940380113e-11,0
1874,4.48116940380113e-11,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,3.4913813903462e-11,0
1880,3.4913813903462e-11,0
1881,9.8045004654728e-11,0
1882,9.8045004654728e-11,0
1883,9.8045004654728e-11,0
1884,9.8045004654728e-11,0
1885,9.8045004654728e-11,0
1886,1.18308422582457e-10,1
1887,2.01210330143452e-10,1
1888,1.38079139392186e-10,1
1889,1.38079139392186e-10,1
1890,3.65740354668631e-10,2
1891,6.98606002412307e-10,4
1892,7.88492330951383e-10,4
1893,8.71685128840077e-10,5
1894,1.05388449554513e-09,6
1895,1.28676777963069e-09,8
1896,1.36428948297304e-09,8
1897,1.3409725710797e-09,9
1898,1.08025959804398e-09,7
1899,1.0268010826518e-09,8
1900,1.1956313260881e-09,9
1901,1.2047170423944e-09,10
1902,1.00627033888007e-09,8
1903,1.04032265143709e-09,8
1904,1.07378444231492e-09,9
1905,1.09311293945107e-09,9
1906,1.1032300846679e-09,10
1907,7.96029811511723e-10,7
1908,6.04189551564208e-10,6
1909,7.48906076042388e-10,7
1910,7.88844846587113e-10,8
1911,5.92972550030245e-10,6
1912,5.30319593794459e-10,5
1913,7.41137170483836e-10,8
1914,8.28836104907868e-10,8
1915,1.09714127069108e-09,11
1916,1.18892170711657e-09,12
1917,1.14913479624747e-09,11
1918,1.29414410239757e-09,12
1919,1.35055036400354e-09,13
1920,1.62682589919091e-09,17
1921,1.70779661444266e-09,17
1922,1.45374989823921e-09,15
1923,1.37924390955898e-09,8
1924,1.97574235444309e-09,10
1925,2.27190793063357e-09,13
1926,2.39298013943972e-09,14
1927,2.51875503787247e-09,15
1928,2.6694181706358e-09,17
1929,2.95209994148417e-09,18
1930,3.13685588615442e-09,20
1931,3.1631558404323e-09,20
