"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,3.3699382332283e-09,0
1829,3.3699382332283e-09,0
1830,3.3699382332283e-09,0
1831,5.79854335975532e-09,0
1832,5.79854335975532e-09,0
1833,5.79854335975532e-09,0
1834,5.79854335975532e-09,0
1835,2.42860512652702e-09,0
1836,2.42860512652702e-09,0
1837,2.42860512652702e-09,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,3.77259442732988e-09,1
1876,3.77259442732988e-09,1
1877,3.77259442732988e-09,0
1878,3.77259442732988e-09,0
1879,3.77259442732988e-09,0
1880,3.77259442732988e-09,1
1881,3.77259442732988e-09,1
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,5.67934778570946e-09,1
1895,5.67934778570946e-09,2
1896,5.67934778570946e-09,2
1897,5.67934778570946e-09,2
1898,5.67934778570946e-09,2
1899,5.67934778570946e-09,3
1900,5.67934778570946e-09,3
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,8.56034291071442e-10,0
1906,1.64900042826892e-09,1
1907,2.35446570176886e-09,1
1908,2.35446570176886e-09,1
1909,2.35446570176886e-09,1
1910,2.35446570176886e-09,1
1911,2.35446570176886e-09,1
1912,1.49843141069742e-09,1
1913,2.37688751220893e-09,1
1914,1.67142223870899e-09,0
1915,2.34759215242012e-09,1
1916,2.34759215242012e-09,1
1917,2.34759215242012e-09,1
1918,2.34759215242012e-09,0
1919,2.74430405384456e-09,1
1920,1.67984594488603e-09,1
1921,1.67984594488603e-09,0
1922,1.0036760311749e-09,0
1923,1.0036760311749e-09,0
1924,1.0036760311749e-09,0
1925,1.0036760311749e-09,0
1926,6.0696412975046e-10,0
1927,0,0
1928,0,0
1929,7.15003992520938e-10,0
1930,7.15003992520938e-10,0
1931,7.15003992520938e-10,0
1932,7.15003992520938e-10,0
1933,7.15003992520938e-10,0
1934,7.15003992520938e-10,0
1935,7.15003992520938e-10,0
1936,8.20592673176991e-10,0
1937,2.43273357014573e-09,0
1938,4.09672442001709e-09,1
1939,4.09672442001709e-09,1
1940,6.25768408519483e-09,1
1941,6.25768408519483e-09,1
1942,6.25768408519483e-09,1
1943,5.43709141201784e-09,1
1944,3.8249505150491e-09,1
1945,2.16095966517774e-09,0
1946,2.16095966517774e-09,0
1947,0,0
1948,0,0
1949,4.30853575039691e-09,1
1950,4.30853575039691e-09,1
1951,4.84105010047285e-09,1
1952,4.84105010047285e-09,2
1953,5.93196234989689e-09,2
1954,6.4500181386405e-09,2
1955,8.00113648351847e-09,2
1956,3.69260073312156e-09,1
1957,6.38943498110223e-09,2
1958,7.07065517246974e-09,2
1959,7.07065517246974e-09,2
1960,5.97974292304571e-09,2
1961,5.46168713430209e-09,2
1962,3.91056878942412e-09,1
1963,8.83403867517935e-09,3
1964,1.00651777388906e-08,3
1965,8.85144319744719e-09,3
1966,9.16847607358915e-09,3
1967,9.47429211274807e-09,4
1968,9.47429211274807e-09,4
1969,1.02022293787688e-08,5
1970,5.27875949301355e-09,2
1971,1.35078618132159e-09,1
1972,1.70984426617338e-09,1
1973,1.69425641770106e-09,1
1974,1.69918352404303e-09,1
1975,2.29404032278272e-09,1
1976,1.566103056762e-09,1
1977,1.566103056762e-09,1
1978,1.8112062801937e-09,1
1979,1.45214819534191e-09,1
1980,1.15070316767226e-09,1
1981,2.5268056060211e-09,1
1982,1.93194880728141e-09,1
1983,1.93194880728141e-09,1
1984,5.4134537963435e-09,4
1985,6.29820376804194e-09,5
1986,8.24677605569336e-09,7
1987,8.79060002567655e-09,8
1988,7.90782801145846e-09,7
1989,8.03903974341428e-09,8
1990,8.03903974341428e-09,8
1991,5.74981198367805e-09,6
1992,7.36994696223395e-09,8
1993,5.64574889220079e-09,6
1994,6.11024853729753e-09,7
1995,6.25220463496794e-09,7
1996,6.96409696576694e-09,9
1997,7.2915280876654e-09,9
1998,6.16302009426306e-09,8
1999,3.58883317508329e-09,5
2000,3.88818728801001e-09,8
2001,3.79123718926725e-09,8
2002,3.2002013816701e-09,8
2003,6.27049766872239e-09,17
2004,6.18512158950019e-09,18
2005,6.36017815398253e-09,18
2006,6.63823660524659e-09,21
2007,6.34325010176858e-09,22
2008,5.59210040377131e-09,23
2009,5.44041802679513e-09,26
2010,1.94755280751619e-09,10
2011,1.8765126099821e-09,12
2012,2.21164755358811e-09,17
2013,1.96931213796476e-09,15
2014,2.02015060632047e-09,18
2015,2.61447912129422e-09,19
2016,3.25493169718781e-09,22
2017,3.30679599443625e-09,27
2018,3.72873441012445e-09,29
2019,3.65648671063479e-09,28
