"Year","Freq","Count"
1800,1.42544842596237e-08,4
1801,1.1403587407699e-08,3
1802,9.50298950641582e-09,2
1803,8.49641953618426e-09,3
1804,1.03268848393258e-08,3
1805,3.38300444800512e-09,1
1806,2.18146526239796e-09,1
1807,2.18146526239796e-09,1
1808,2.18146526239796e-09,1
1809,2.18146526239796e-09,1
1810,2.04840295519355e-09,1
1811,2.17937652052009e-10,0
1812,4.56645911560218e-10,0
1813,2.39644001468317e-09,2
1814,2.39644001468317e-09,1
1815,2.39644001468317e-09,1
1816,2.39644001468317e-09,2
1817,2.17850236263116e-09,1
1818,2.17850236263116e-09,2
1819,2.54098393120168e-09,2
1820,6.01189828078727e-10,0
1821,6.01189828078727e-10,0
1822,6.01189828078727e-10,1
1823,6.01189828078727e-10,1
1824,1.2717899114786e-09,1
1825,1.90487397284349e-09,2
1826,2.01467363426998e-09,2
1827,2.74666790898794e-09,3
1828,2.85699721816865e-09,3
1829,3.41919144584781e-09,4
1830,3.89571414016743e-09,5
1831,4.52563926810003e-09,6
1832,4.06285412455988e-09,8
1833,3.35186463505467e-09,5
1834,3.1182315221986e-09,5
1835,3.0079022130179e-09,5
1836,2.5958303443271e-09,4
1837,2.11930765000748e-09,4
1838,8.95108178054573e-10,2
1839,1.10371644363687e-09,2
1840,1.10371644363687e-09,2
1841,1.37510907422771e-09,3
1842,1.49673995419874e-09,3
1843,1.34661759521038e-09,3
1844,1.41340045223259e-09,3
1845,1.33707471285303e-09,3
1846,1.02338802908188e-09,2
1847,1.0839934902077e-09,2
1848,3.14239697754967e-10,1
1849,1.92608817783935e-10,0
1850,2.87548635696006e-10,1
1851,6.85051721698622e-10,2
1852,7.35613292501824e-10,2
1853,8.63430164667532e-10,3
1854,1.00483215002635e-09,3
1855,1.63485308227581e-09,5
1856,1.78394949606237e-09,5
1857,1.78527812374643e-09,5
1858,2.35785547435847e-09,6
1859,2.61194084614859e-09,7
1860,3.63880771942731e-09,11
1861,3.43680027294267e-09,8
1862,2.91821588322654e-09,7
1863,5.20375120375124e-09,12
1864,5.15457787960852e-09,13
1865,4.42730044292183e-09,11
1866,4.16689312023242e-09,12
1867,3.16305114640108e-09,10
1868,3.70079145899688e-09,12
1869,3.66852668877625e-09,12
1870,1.2761314148259e-09,4
1871,1.43191660512925e-09,5
1872,1.16328246242097e-09,4
1873,1.35309536591117e-09,5
1874,2.13055096580967e-09,7
1875,2.43522619529963e-09,8
1876,2.6243783099059e-09,10
1877,3.66564367748623e-09,13
1878,4.62389484637679e-09,16
1879,5.70018517704567e-09,21
1880,6.0252062664531e-09,25
1881,5.12638518539761e-09,20
1882,4.41360795530191e-09,18
1883,4.37014246219241e-09,19
1884,3.4086842634221e-09,15
1885,2.56680881708223e-09,11
1886,1.55992123583383e-09,7
1887,1.19428540073281e-09,6
1888,1.47762839860669e-09,7
1889,2.05460432595966e-09,11
1890,1.98152007302443e-09,10
1891,2.14113199987447e-09,11
1892,1.97917704447548e-09,11
1893,2.19168599142299e-09,12
1894,2.39590014098187e-09,13
1895,2.39894210647089e-09,15
1896,1.94427340299048e-09,12
1897,2.27549489370141e-09,15
1898,2.37264086750637e-09,16
1899,2.45212057405274e-09,18
1900,2.56295168818025e-09,20
1901,2.4223500685475e-09,19
1902,2.55781702366128e-09,20
1903,3.61288134528451e-09,28
1904,3.65305912305594e-09,30
1905,5.63752124149719e-09,47
1906,6.30060965107442e-09,56
1907,6.62872417472078e-09,59
1908,6.83830533567845e-09,64
1909,6.8316539260966e-09,63
1910,5.99295633059636e-09,58
1911,5.805253287012e-09,60
1912,4.24917966784788e-09,44
1913,4.26437727986593e-09,44
1914,4.21877623609155e-09,43
1915,4.13467410507819e-09,41
1916,3.91076220712661e-09,39
1917,3.97314786329142e-09,39
1918,4.14098587662012e-09,37
1919,6.94205549097081e-09,66
1920,7.02465983596198e-09,72
1921,7.26424651284871e-09,72
1922,7.87192031698192e-09,79
1923,9.74663796695006e-09,60
1924,1.25128463840385e-08,63
1925,1.64955472198303e-08,97
1926,1.45377410962607e-08,84
1927,1.46769888920944e-08,85
1928,1.52722391697343e-08,94
1929,1.65830435316134e-08,103
1930,1.56748005686325e-08,98
1931,1.40568068554162e-08,88
