"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,2.0024264151581e-09,1
1912,2.0024264151581e-09,1
1913,2.55956716139443e-09,1
1914,2.55956716139443e-09,1
1915,2.55956716139443e-09,1
1916,2.55956716139443e-09,1
1917,2.55956716139443e-09,1
1918,5.5714074623633e-10,0
1919,5.5714074623633e-10,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,5.1039521815304e-10,0
1948,5.1039521815304e-10,0
1949,5.1039521815304e-10,0
1950,5.1039521815304e-10,0
1951,5.1039521815304e-10,0
1952,5.1039521815304e-10,0
1953,2.14676359228909e-09,1
1954,2.15442416287967e-09,1
1955,2.67146359002522e-09,1
1956,2.67146359002522e-09,1
1957,2.67146359002522e-09,1
1958,3.88519809974801e-09,1
1959,3.88519809974801e-09,1
1960,2.24882972561196e-09,1
1961,1.73077393686835e-09,1
1962,1.21373450972279e-09,0
1963,3.10737676859471e-09,1
1964,7.03535008028666e-09,2
1965,5.82161557056387e-09,2
1966,5.82161557056387e-09,2
1967,6.43324764888169e-09,3
1968,6.43324764888169e-09,3
1969,6.43324764888169e-09,3
1970,5.26693977320747e-09,2
1971,1.33896646151551e-09,1
1972,1.6980245463673e-09,1
1973,1.6980245463673e-09,1
1974,1.08639246804947e-09,0
1975,1.08639246804947e-09,0
1976,1.08639246804947e-09,1
1977,8.88971721632207e-10,0
1978,1.3791781684956e-09,1
1979,1.25439124167213e-09,1
1980,1.92134795375308e-09,1
1981,5.08418340761096e-09,3
1982,5.28047803895402e-09,3
1983,5.45917520712789e-09,3
1984,5.9239773086972e-09,4
1985,6.07940128397441e-09,4
1986,6.14491048521261e-09,5
1987,6.02177774311485e-09,5
1988,2.99295455086224e-09,3
1989,2.79665991951918e-09,3
1990,5.65043251870329e-09,6
1991,4.65571678035356e-09,5
1992,6.87963912821792e-09,7
1993,6.5798587689514e-09,7
1994,6.48417863846618e-09,8
1995,6.45528078610117e-09,8
1996,6.6426372497779e-09,8
1997,3.87211238073171e-09,5
1998,3.99965085257874e-09,5
1999,1.36449975524882e-09,2
2000,1.99297374238659e-09,4
2001,4.71065369648091e-09,10
2002,4.90981974521354e-09,12
2003,4.85897725626445e-09,13
2004,4.83908740062893e-09,14
2005,5.42802629827881e-09,15
2006,6.25263062754249e-09,20
2007,8.65498592636119e-09,30
2008,5.78672064829469e-09,24
2009,5.57485450461811e-09,26
2010,7.08391277978329e-09,35
2011,7.66583837083104e-09,48
2012,7.00675707732135e-09,54
2013,6.07466564947082e-09,47
2014,3.23604781661744e-09,30
2015,3.03050787639084e-09,23
2016,3.25684887788772e-09,22
2017,1.8798227326607e-09,15
2018,1.10221439197922e-09,9
2019,1.27732485699639e-09,10
