"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,2.0922124350469e-10,0
1808,2.0922124350469e-10,0
1809,2.0922124350469e-10,0
1810,2.0922124350469e-10,0
1811,2.0922124350469e-10,0
1812,2.0922124350469e-10,0
1813,2.0922124350469e-10,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,1.28554254543088e-10,0
1822,1.28554254543088e-10,0
1823,1.28554254543088e-10,0
1824,1.28554254543088e-10,0
1825,1.28554254543088e-10,0
1826,1.28554254543088e-10,0
1827,1.28554254543088e-10,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,6.99776189375509e-11,0
1842,6.99776189375509e-11,0
1843,6.99776189375509e-11,0
1844,6.99776189375509e-11,0
1845,6.99776189375509e-11,0
1846,6.99776189375509e-11,0
1847,6.99776189375509e-11,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,4.969880459552e-11,0
1857,4.969880459552e-11,0
1858,4.969880459552e-11,0
1859,4.969880459552e-11,0
1860,4.969880459552e-11,0
1861,4.969880459552e-11,0
1862,4.969880459552e-11,0
1863,0,0
1864,0,0
1865,0,0
1866,4.42396199039154e-11,0
1867,8.74520733606943e-11,0
1868,8.74520733606943e-11,0
1869,8.74520733606943e-11,0
1870,1.29688533721607e-10,0
1871,1.29688533721607e-10,0
1872,1.29688533721607e-10,0
1873,8.5448913817692e-11,0
1874,4.22364603609131e-11,0
1875,8.23514867409614e-11,0
1876,8.23514867409614e-11,0
1877,1.10018371397252e-10,0
1878,5.45442679118174e-10,2
1879,6.5018412082856e-10,2
1880,6.83070804284393e-10,3
1881,7.46201995035659e-10,3
1882,7.06086968655611e-10,3
1883,7.38209596625897e-10,3
1884,6.98817158901426e-10,3
1885,2.63392851180504e-10,1
1886,1.58651409470118e-10,1
1887,3.46836474223495e-10,2
1888,2.83705283472229e-10,1
1889,5.19243360609854e-10,3
1890,5.12416422785275e-10,3
1891,4.81905515492542e-10,3
1892,4.81905515492542e-10,3
1893,4.81905515492542e-10,3
1894,2.82925540138836e-10,2
1895,2.82925540138836e-10,2
1896,8.61483146723836e-11,1
1897,5.62425011325323e-10,4
1898,5.80463179506679e-10,4
1899,5.80463179506679e-10,4
1900,7.79239833373754e-10,6
1901,8.42831495072107e-10,7
1902,9.28922946500218e-10,7
1903,1.20894498975169e-09,10
1904,7.86641302692142e-10,7
1905,9.66812340503458e-10,8
1906,1.86668156725618e-09,17
1907,1.88765752632111e-09,17
1908,1.84314745807094e-09,17
1909,2.03267616825732e-09,19
1910,1.82408439146948e-09,18
1911,1.98244054010001e-09,21
1912,2.40403796869515e-09,25
1913,2.01889382097008e-09,21
