"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,2.08102081598684e-09,0
1880,2.08102081598684e-09,0
1881,2.08102081598684e-09,0
1882,2.08102081598684e-09,0
1883,2.08102081598684e-09,0
1884,2.08102081598684e-09,0
1885,2.08102081598684e-09,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,6.99277461332518e-10,0
1935,6.99277461332518e-10,0
1936,6.99277461332518e-10,0
1937,6.99277461332518e-10,0
1938,6.99277461332518e-10,0
1939,6.99277461332518e-10,0
1940,6.99277461332518e-10,0
1941,0,0
1942,8.97566529037671e-10,0
1943,8.97566529037671e-10,0
1944,8.97566529037671e-10,0
1945,8.97566529037671e-10,0
1946,8.97566529037671e-10,0
1947,8.97566529037671e-10,0
1948,8.97566529037671e-10,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,5.18055788743612e-10,0
1955,1.03509521588917e-09,0
1956,1.03509521588917e-09,0
1957,1.03509521588917e-09,0
1958,2.24882972561196e-09,1
1959,2.24882972561196e-09,1
1960,2.24882972561196e-09,1
1961,1.73077393686835e-09,1
1962,1.21373450972279e-09,0
1963,1.21373450972279e-09,0
1964,1.21373450972279e-09,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,1.24297258200353e-09,0
1975,1.24297258200353e-09,0
1976,1.24297258200353e-09,1
1977,1.24297258200353e-09,1
1978,1.24297258200353e-09,1
1979,1.24297258200353e-09,1
1980,1.24297258200353e-09,1
1981,1.26513415616663e-09,1
1982,1.26513415616663e-09,1
1983,1.26513415616663e-09,1
1984,1.26513415616663e-09,1
1985,1.26513415616663e-09,1
1986,1.56491451543315e-09,1
1987,1.83682650042475e-09,2
1988,5.71692344258119e-10,1
1989,5.71692344258119e-10,1
1990,5.71692344258119e-10,1
1991,9.29375497195549e-10,1
1992,9.29375497195549e-10,1
1993,7.41782246738154e-10,1
1994,4.6987026174656e-10,1
1995,7.85213505327675e-10,1
1996,7.85213505327675e-10,1
1997,8.50699728914352e-10,1
1998,6.20555047823958e-10,1
1999,6.20555047823958e-10,1
2000,5.08367939014828e-10,1
2001,6.04301993366109e-10,1
2002,8.46806232278143e-10,2
2003,8.46806232278143e-10,2
2004,7.81320008691466e-10,2
2005,8.24371396542948e-10,2
2006,1.18745917860557e-09,4
2007,1.21605190798021e-09,4
2008,1.12011785362893e-09,5
2009,5.80753233202026e-10,3
2010,5.99037369311947e-10,3
2011,5.99037369311947e-10,4
2012,5.04975610929722e-10,4
2013,1.84192686896496e-10,1
2014,1.55599957521854e-10,1
2015,1.92407387641528e-10,1
2016,2.11425151195956e-10,1
2017,2.25331184267041e-10,2
2018,2.7039742112045e-10,2
2019,2.04072599097049e-10,2
