"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,3.58069732594605e-10,0
1819,3.58069732594605e-10,0
1820,3.58069732594605e-10,0
1821,3.58069732594605e-10,0
1822,1.60575879577201e-09,2
1823,1.60575879577201e-09,2
1824,1.60575879577201e-09,2
1825,1.2476890631774e-09,1
1826,1.2476890631774e-09,1
1827,3.23453061160503e-09,3
1828,3.23453061160503e-09,4
1829,1.98684154842762e-09,2
1830,1.98684154842762e-09,3
1831,2.0797362086457e-09,3
1832,2.0797362086457e-09,4
1833,2.0797362086457e-09,3
1834,7.5737620936727e-10,1
1835,7.5737620936727e-10,1
1836,7.5737620936727e-10,1
1837,7.5737620936727e-10,1
1838,6.64481549149189e-10,1
1839,6.64481549149189e-10,1
1840,6.64481549149189e-10,1
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,2.84819469596544e-10,1
1851,2.84819469596544e-10,1
1852,6.89312036022167e-10,2
1853,8.82349399893607e-10,3
1854,8.82349399893607e-10,3
1855,9.87352889923544e-10,3
1856,9.87352889923544e-10,3
1857,2.77230494909781e-09,8
1858,4.15478936176074e-09,11
1859,4.60330823459643e-09,13
1860,4.53226129642254e-09,13
1861,4.98415477144322e-09,12
1862,5.38061572281328e-09,13
1863,5.38061572281328e-09,13
1864,5.71269538816667e-09,14
1865,4.72824994236985e-09,12
1866,4.18491584243595e-09,12
1867,5.44572392735532e-09,16
1868,6.11412281914525e-09,20
1869,5.69183015005795e-09,18
1870,6.53655938106671e-09,22
1871,4.49989274810468e-09,14
1872,4.47041921338075e-09,16
1873,4.55082939189642e-09,15
1874,3.1680308812795e-09,11
1875,2.12796856722898e-09,7
1876,2.20212473256431e-09,8
1877,1.84671890874582e-09,7
1878,1.55410506685882e-09,6
1879,1.53467778168143e-09,6
1880,1.63789051171077e-09,7
1881,2.49016156702745e-09,10
1882,2.70161772516645e-09,11
1883,2.93376131523169e-09,13
1884,2.44443790804143e-09,11
1885,2.63307667138145e-09,12
1886,2.58741330940092e-09,11
1887,2.0941130615285e-09,10
1888,1.53887326889305e-09,8
1889,1.43038333162109e-09,7
1890,1.19668594478206e-09,6
1891,1.37592129356712e-09,7
1892,1.31695605214739e-09,7
1893,1.26715964705275e-09,7
1894,1.39971028418578e-09,8
1895,1.31439109794597e-09,8
1896,1.22809695349676e-09,8
1897,1.13205307826293e-09,7
1898,9.88894065840589e-10,7
1899,8.04863731218575e-10,6
1900,6.59608978548221e-10,5
1901,7.49835273237766e-10,6
1902,6.58651228795699e-10,5
1903,1.07180173664861e-09,8
1904,1.38070749872948e-09,11
1905,1.57333409792467e-09,13
1906,1.66372509419992e-09,15
