"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,2.24715821347691e-11,0
1893,4.55332537547497e-11,0
1894,6.76250266102534e-11,0
1895,6.76250266102534e-11,0
1896,1.06385878281426e-10,1
1897,1.06385878281426e-10,1
1898,1.06385878281426e-10,1
1899,8.39142961466572e-11,1
1900,6.08526245266765e-11,0
1901,3.87608516711729e-11,0
1902,3.87608516711729e-11,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,1.40180975954125e-10,1
1958,4.25824357917572e-10,4
1959,5.72645568860545e-10,6
1960,5.72645568860545e-10,6
1961,6.28923413348303e-10,8
1962,6.28923413348303e-10,8
1963,6.28923413348303e-10,8
1964,5.06729057523993e-10,6
1965,2.91606328369934e-10,4
1966,1.62371260286382e-10,2
1967,2.15439334031294e-10,3
1968,2.74296529934048e-10,4
1969,3.37134730846575e-10,5
1970,4.77446873703435e-10,8
1971,6.47429140061233e-10,10
1972,6.29081158197233e-10,10
1973,6.19749112148619e-10,10
1974,5.91123549910564e-10,9
1975,4.92207508877891e-10,8
1976,4.45442171243775e-10,8
1977,3.61314906565419e-10,6
1978,1.97825805340176e-10,3
1979,1.53780835288053e-10,3
1980,1.53363565398777e-10,3
1981,2.28108436405623e-10,4
1982,2.93415884347218e-10,5
1983,2.84745527256198e-10,5
1984,2.72664209167399e-10,5
1985,3.06057025457289e-10,6
1986,3.04837879641243e-10,6
1987,3.17063454856127e-10,6
1988,2.5253311892023e-10,5
1989,3.50610979237593e-10,7
1990,3.63180857907272e-10,8
1991,3.97908517147621e-10,8
1992,3.84572339747123e-10,8
1993,4.03429219594401e-10,9
1994,4.15882466857166e-10,9
1995,4.13161077275229e-10,9
1996,2.96577165603829e-10,7
1997,2.76604780746759e-10,6
1998,2.26662499285586e-10,5
1999,2.85167705917276e-10,6
2000,3.37288702424126e-10,8
2001,3.55480352495377e-10,9
2002,3.55756018394215e-10,9
2003,3.03051897069092e-10,8
2004,3.18191534628579e-10,9
2005,6.52009929182272e-10,17
2006,6.31313452903459e-10,17
2007,5.85629987956019e-10,17
2008,6.61908602333267e-10,19
2009,7.58306345295866e-10,21
2010,1.17375528740915e-09,31
2011,1.17254284059953e-09,32
2012,8.68573938962923e-10,30
2013,8.93249236482469e-10,31
2014,9.33786765173432e-10,29
2015,1.1109184475111e-09,30
2016,1.23890727934553e-09,33
2017,9.48665739713972e-10,26
2018,1.11890082060695e-09,29
2019,1.29583377188325e-09,29
