"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,2.45534445949705e-11,0
1924,2.45534445949705e-11,0
1925,2.45534445949705e-11,0
1926,2.45534445949705e-11,0
1927,2.45534445949705e-11,0
1928,2.45534445949705e-11,0
1929,2.45534445949705e-11,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,8.08080388317986e-11,1
1957,9.35517635580752e-11,1
1958,1.76864421917524e-10,2
1959,1.76864421917524e-10,2
1960,1.76864421917524e-10,2
1961,1.76864421917524e-10,2
1962,1.76864421917524e-10,2
1963,9.6056383085725e-11,1
1964,8.33126583594484e-11,1
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,1.60528217702754e-11,0
1978,1.60528217702754e-11,0
1979,1.60528217702754e-11,0
1980,2.38896486918058e-11,0
1981,2.38896486918058e-11,0
1982,2.38896486918058e-11,0
1983,2.38896486918058e-11,0
1984,7.83682692153041e-12,0
1985,1.50709018677451e-11,0
1986,2.19794569449634e-11,0
1987,1.4142630023433e-11,0
1988,4.87996761056042e-11,1
1989,4.87996761056042e-11,1
1990,4.87996761056042e-11,1
1991,4.87996761056042e-11,1
1992,5.42902934909582e-11,1
1993,6.67058144832033e-11,1
1994,6.67058144832033e-11,1
1995,3.20487684010321e-11,1
1996,3.20487684010321e-11,1
1997,3.20487684010321e-11,1
1998,2.45826908432508e-10,5
1999,2.71064922492086e-10,6
2000,3.81551569109525e-10,9
2001,7.16219739765878e-10,18
2002,7.75273830748237e-10,20
2003,1.02286442956496e-09,28
2004,1.28023828195402e-09,36
2005,1.96577558596113e-09,52
2006,3.34312024690459e-09,92
2007,3.99691504794036e-09,113
2008,4.51940179575584e-09,129
2009,6.53883611790148e-09,181
2010,7.55216558982157e-09,200
2011,8.72000761826094e-09,234
2012,9.5508060418692e-09,327
2013,9.80501780214233e-09,341
2014,1.0600920142208e-08,325
2015,1.12806451466647e-08,300
2016,1.21624201954757e-08,323
2017,1.27184168121954e-08,348
2018,1.32667979414747e-08,347
2019,1.35557981584614e-08,308
