"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,6.99776189375509e-11,0
1842,6.99776189375509e-11,0
1843,6.99776189375509e-11,0
1844,6.99776189375509e-11,0
1845,6.99776189375509e-11,0
1846,6.99776189375509e-11,0
1847,6.99776189375509e-11,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,8.84792398078308e-11,0
1867,8.84792398078308e-11,0
1868,8.84792398078308e-11,0
1869,8.84792398078308e-11,0
1870,8.84792398078308e-11,0
1871,8.84792398078308e-11,0
1872,8.84792398078308e-11,0
1873,0,0
1874,3.97407146872959e-11,0
1875,3.97407146872959e-11,0
1876,3.97407146872959e-11,0
1877,3.97407146872959e-11,0
1878,3.97407146872959e-11,0
1879,3.97407146872959e-11,0
1880,3.97407146872959e-11,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,1.16093103384531e-10,1
1886,1.16093103384531e-10,1
1887,1.16093103384531e-10,1
1888,1.16093103384531e-10,1
1889,1.16093103384531e-10,1
1890,1.16093103384531e-10,1
1891,1.16093103384531e-10,1
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,1.85767552134714e-11,0
1898,1.85767552134714e-11,0
1899,1.27860194654161e-10,1
1900,1.27860194654161e-10,1
1901,1.44996881564933e-10,1
1902,1.44996881564933e-10,1
1903,1.44996881564933e-10,1
1904,1.26420126351461e-10,1
1905,1.26420126351461e-10,1
1906,1.71366869107713e-11,0
1907,1.71366869107713e-11,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,1.44141078041647e-11,0
1913,1.44141078041647e-11,0
1914,1.44141078041647e-11,0
1915,1.44141078041647e-11,0
1916,1.44141078041647e-11,0
1917,1.44141078041647e-11,0
1918,1.44141078041647e-11,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,7.32645848750784e-11,0
1925,7.32645848750784e-11,0
1926,3.48340166235671e-10,2
1927,3.48340166235671e-10,2
1928,3.71149650695608e-10,2
1929,5.98721826085478e-10,4
1930,7.34858784934289e-10,5
1931,6.61594200059211e-10,4
1932,6.85237446150312e-10,4
1933,4.33329023457369e-10,2
1934,4.33329023457369e-10,2
1935,4.32741872098091e-10,3
