"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,6.99776189375509e-11,0
1842,6.99776189375509e-11,0
1843,6.99776189375509e-11,0
1844,6.99776189375509e-11,0
1845,6.99776189375509e-11,0
1846,6.99776189375509e-11,0
1847,6.99776189375509e-11,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,4.42396199039154e-11,0
1867,4.42396199039154e-11,0
1868,4.42396199039154e-11,0
1869,4.42396199039154e-11,0
1870,4.42396199039154e-11,0
1871,4.42396199039154e-11,0
1872,4.42396199039154e-11,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,2.44215282916928e-11,0
1925,2.44215282916928e-11,0
1926,2.44215282916928e-11,0
1927,2.44215282916928e-11,0
1928,2.44215282916928e-11,0
1929,2.44215282916928e-11,0
1930,2.44215282916928e-11,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,1.87694205416073e-11,0
1946,8.49618371688367e-11,1
1947,8.49618371688367e-11,1
1948,8.49618371688367e-11,1
1949,8.49618371688367e-11,1
1950,8.49618371688367e-11,1
1951,1.1806003397119e-10,1
1952,9.92906134295828e-11,1
1953,3.30981968023534e-11,0
1954,3.30981968023534e-11,0
1955,4.75924478398377e-11,0
1956,4.75924478398377e-11,0
1957,4.75924478398377e-11,0
1958,1.44942510374843e-11,0
1959,1.44942510374843e-11,0
1960,1.44942510374843e-11,0
1961,1.44942510374843e-11,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,8.84467895748539e-12,0
1968,1.77012204497348e-11,0
1969,1.77012204497348e-11,0
1970,4.40097472353962e-11,1
1971,4.40097472353962e-11,1
1972,7.87915278656546e-11,1
1973,1.03553819289345e-10,2
1974,1.27299154352643e-10,2
1975,2.56304112854013e-10,4
1976,3.04522702689246e-10,5
1977,3.26372643196951e-10,6
1978,4.07971926083154e-10,7
1979,4.05700949025954e-10,7
1980,4.59306930287015e-10,8
1981,6.55610867678069e-10,11
1982,6.5856777224054e-10,12
1983,7.36191784617146e-10,13
1984,8.0564281089633e-10,15
1985,9.26597621547787e-10,18
1986,1.18424614311314e-09,23
1987,1.27975202359901e-09,25
1988,1.2795945810876e-09,25
1989,1.27846841446733e-09,26
1990,1.40560935906515e-09,30
1991,1.60989402562896e-09,33
1992,1.63638439009446e-09,35
1993,1.71982387755668e-09,37
1994,1.79957179416038e-09,39
1995,1.90296610810429e-09,43
1996,1.97754321846449e-09,44
1997,2.16175157140088e-09,47
1998,2.14030237481534e-09,48
1999,2.20953631284239e-09,50
2000,2.20459995794612e-09,55
2001,2.28057533671214e-09,56
2002,2.23834643082415e-09,59
2003,2.33872345101194e-09,64
2004,2.42132579859294e-09,68
2005,2.4289336246684e-09,64
2006,2.48062213726546e-09,68
2007,2.26224019576694e-09,64
2008,2.16015916959522e-09,62
2009,2.07354254005183e-09,57
2010,1.98815436732883e-09,53
2011,1.87689105527308e-09,50
2012,1.80379199870335e-09,62
2013,2.12270290035819e-09,74
2014,2.24260136651365e-09,69
2015,2.23231179771347e-09,59
2016,2.31065835314721e-09,61
2017,2.42830018361747e-09,66
2018,2.34201691096114e-09,61
2019,2.51635210585244e-09,57
