"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,1.32718859711746e-10,0
1867,1.32718859711746e-10,0
1868,1.32718859711746e-10,0
1869,1.32718859711746e-10,0
1870,1.32718859711746e-10,0
1871,1.32718859711746e-10,0
1872,1.32718859711746e-10,0
1873,0,0
1874,3.97407146872959e-11,0
1875,3.97407146872959e-11,0
1876,3.97407146872959e-11,0
1877,3.97407146872959e-11,0
1878,3.97407146872959e-11,0
1879,3.97407146872959e-11,0
1880,3.97407146872959e-11,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,1.74139655076796e-10,1
1886,1.74139655076796e-10,1
1887,1.74139655076796e-10,1
1888,1.74139655076796e-10,1
1889,1.74139655076796e-10,1
1890,1.74139655076796e-10,1
1891,1.74139655076796e-10,1
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,1.60460755793679e-10,1
1927,1.83199134433971e-10,1
1928,1.83199134433971e-10,1
1929,1.83199134433971e-10,1
1930,1.83199134433971e-10,1
1931,1.83199134433971e-10,1
1932,1.83199134433971e-10,1
1933,2.27383786402921e-11,0
1934,2.24678728003421e-11,0
1935,2.24678728003421e-11,0
1936,2.24678728003421e-11,0
1937,2.24678728003421e-11,0
1938,2.24678728003421e-11,0
1939,2.24678728003421e-11,0
1940,2.24678728003421e-11,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,1.68924786857007e-10,1
1946,6.65367911561227e-10,4
1947,6.65367911561227e-10,5
1948,6.65367911561227e-10,5
1949,6.65367911561227e-10,6
1950,6.65367911561227e-10,6
1951,7.97760698770641e-10,7
1952,6.28835911913634e-10,5
1953,1.32392787209414e-10,1
1954,1.46908742115759e-10,1
1955,1.46908742115759e-10,1
1956,1.46908742115759e-10,1
1957,1.85139914312048e-10,2
1958,5.27471271026338e-11,1
1959,5.27471271026338e-11,1
1960,5.27471271026338e-11,1
1961,7.19978798802146e-11,1
1962,1.23006660412983e-10,2
1963,1.82429799441434e-10,2
1964,2.16145107764402e-10,3
1965,2.95480840192422e-10,4
1966,3.65825413612646e-10,5
1967,4.36582845272529e-10,7
1968,4.55955384559559e-10,7
1969,4.49831032541973e-10,7
1970,4.34255438156292e-10,7
1971,4.69719752181432e-10,8
1972,5.12120247994233e-10,8
1973,4.91300254447578e-10,8
1974,6.07935408363553e-10,10
1975,8.71066649861728e-10,14
1976,1.09138447039668e-09,19
1977,1.51306876303952e-09,26
1978,1.94421325616248e-09,34
1979,2.45643768173598e-09,43
1980,3.37867963021948e-09,60
1981,4.21368002840951e-09,73
1982,4.79420043049604e-09,84
1983,5.3432738600764e-09,97
1984,6.08323932794435e-09,113
1985,6.4127730556307e-09,123
1986,7.72702489394111e-09,149
1987,8.52743725334884e-09,165
1988,8.98143446222331e-09,177
1989,9.56139009831793e-09,197
1990,1.01851261095711e-08,217
1991,1.16730288391669e-08,240
1992,1.31335585740189e-08,281
1993,1.46314730688411e-08,313
1994,1.546704926636e-08,335
1995,1.69287395906936e-08,379
1996,1.8684939485528e-08,413
1997,2.20502861178473e-08,482
1998,2.19915572032587e-08,490
1999,2.36815620773981e-08,535
2000,2.45191887438386e-08,606
2001,2.56384202211777e-08,631
2002,2.60127373302324e-08,682
2003,2.6823770662987e-08,735
2004,2.67843518574657e-08,751
2005,2.70115905506058e-08,716
2006,2.67756974994815e-08,738
2007,2.50252439058994e-08,705
2008,2.35363839876102e-08,674
2009,2.3858229541786e-08,659
2010,2.47801459976604e-08,656
2011,2.83910911040773e-08,763
2012,3.07302023807735e-08,1053
2013,3.79919829029169e-08,1319
2014,4.09038283839218e-08,1253
2015,4.64369922693291e-08,1236
2016,4.68519891434958e-08,1245
2017,4.88671084222791e-08,1337
2018,4.69156916343971e-08,1228
2019,4.95428276355014e-08,1125
