"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,2.21198107449741e-10,1
1867,2.21198107449741e-10,1
1868,2.21198107449741e-10,1
1869,2.21198107449741e-10,1
1870,2.21198107449741e-10,1
1871,2.21198107449741e-10,1
1872,2.21198107449741e-10,1
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,2.90282881065806e-10,1
1879,2.90282881065806e-10,1
1880,2.90282881065806e-10,1
1881,2.90282881065806e-10,1
1882,2.90282881065806e-10,1
1883,3.86650764976666e-10,2
1884,3.86650764976666e-10,2
1885,9.63678839108592e-11,0
1886,9.63678839108592e-11,0
1887,9.63678839108592e-11,0
1888,9.63678839108592e-11,0
1889,9.63678839108592e-11,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,9.28837800324394e-11,1
1898,9.28837800324394e-11,1
1899,4.02520191781061e-10,3
1900,4.02520191781061e-10,3
1901,4.02520191781061e-10,3
1902,4.02520191781061e-10,3
1903,4.02520191781061e-10,3
1904,3.09636411748621e-10,3
1905,3.09636411748621e-10,3
1906,0,0
1907,1.61151905312248e-10,1
1908,1.61151905312248e-10,2
1909,1.88713921473698e-10,2
1910,2.16261701007398e-10,2
1911,2.16261701007398e-10,2
1912,2.16261701007398e-10,2
1913,2.16261701007398e-10,2
1914,8.43427748277646e-11,1
1915,8.43427748277646e-11,1
1916,5.67807586663146e-11,1
1917,2.92329791326143e-11,0
1918,7.23736963216735e-11,1
1919,7.23736963216735e-11,1
1920,7.23736963216735e-11,1
1921,2.11810366864843e-10,2
1922,2.11810366864843e-10,2
1923,4.5734481677963e-10,3
1924,4.5734481677963e-10,2
1925,4.60214449882201e-10,3
1926,1.05621154283015e-09,6
1927,1.2608569466277e-09,7
1928,1.25185368817147e-09,8
1929,1.35299687723364e-09,8
1930,1.78814723742323e-09,11
1931,2.18164237865613e-09,14
1932,1.28460223807509e-08,72
1933,1.27828699292287e-08,67
1934,1.28927747525661e-08,70
1935,1.32886667007583e-08,80
