"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,1.56892366162279e-11,0
1954,3.0205191522573e-11,0
1955,3.0205191522573e-11,0
1956,5.71412044665059e-11,1
1957,5.71412044665059e-11,1
1958,1.52355667764376e-10,2
1959,2.3141323777866e-10,2
1960,2.15724001162432e-10,2
1961,2.12463615153638e-10,3
1962,2.22665371260192e-10,3
1963,2.05633214821001e-10,3
1964,2.05633214821001e-10,3
1965,1.28048914725478e-10,2
1966,7.53705590003254e-11,1
1967,8.42152379578108e-11,1
1968,7.2959669060259e-11,1
1969,7.17347986567418e-11,1
1970,7.06004510805539e-11,1
1971,8.85022501712867e-11,1
1972,1.23044757914327e-10,2
1973,1.04919640436003e-10,2
1974,1.04222464983713e-10,2
1975,1.69098462415069e-10,3
1976,1.92267303268854e-10,3
1977,2.07577026995714e-10,4
1978,2.38634798429719e-10,4
1979,2.35228332843919e-10,4
1980,2.26974236033113e-10,4
1981,2.26456531106565e-10,4
1982,1.76403523732827e-10,3
1983,1.88672832317811e-10,3
1984,2.01346565412549e-10,4
1985,1.52386994887811e-10,3
1986,1.1743789968266e-10,2
1987,1.24125367226676e-10,2
1988,1.37289796099076e-10,3
1989,1.55726863448098e-10,3
1990,1.51256598020431e-10,3
1991,2.1304265841539e-10,4
1992,2.38492043078528e-10,5
1993,2.50440368344223e-10,5
1994,2.82771681070493e-10,6
1995,3.13074504812835e-10,7
1996,2.86116487149427e-10,6
1997,2.63429291773111e-10,6
1998,2.11112565425196e-10,5
1999,1.85663180762059e-10,4
2000,1.80667460654625e-10,4
2001,1.51790140476679e-10,4
2002,1.06061643099073e-10,3
2003,9.97596033558423e-11,3
2004,8.25020290180183e-11,2
2005,5.61541031927705e-11,1
2006,1.43645831340855e-10,4
2007,1.71180563771475e-10,5
2008,1.61039103679134e-10,5
2009,1.5567054986335e-10,4
2010,1.63858342569093e-10,4
2011,2.00997519223772e-10,5
2012,2.07822432873872e-10,7
2013,1.89893996360713e-10,7
2014,1.57176797371023e-10,5
2015,1.62607468660671e-10,4
2016,1.62607468660671e-10,4
2017,1.80156288614082e-10,5
2018,1.64192699020349e-10,4
2019,1.58517120436852e-10,4
