"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,9.73047039768257e-10,2
1843,9.73047039768257e-10,2
1844,9.73047039768257e-10,2
1845,9.73047039768257e-10,2
1846,9.73047039768257e-10,2
1847,9.73047039768257e-10,2
1848,9.73047039768257e-10,2
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,2.1118230973473e-10,1
1871,2.1118230973473e-10,1
1872,3.74989166702327e-10,1
1873,5.31024177011627e-10,2
1874,5.31024177011627e-10,2
1875,5.31024177011627e-10,2
1876,5.31024177011627e-10,2
1877,3.19841867276896e-10,1
1878,3.19841867276896e-10,1
1879,1.560350103093e-10,1
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,2.70028412328673e-10,1
1889,2.70028412328673e-10,1
1890,2.70028412328673e-10,1
1891,2.70028412328673e-10,1
1892,2.70028412328673e-10,1
1893,8.69631882378335e-10,5
1894,8.69631882378335e-10,5
1895,5.99603470049662e-10,4
1896,5.99603470049662e-10,4
1897,5.99603470049662e-10,4
1898,5.99603470049662e-10,4
1899,5.99603470049662e-10,4
1900,0,0
1901,1.71366869107713e-11,0
1902,1.71366869107713e-11,0
1903,1.71366869107713e-11,0
1904,1.71366869107713e-11,0
1905,1.71366869107713e-11,0
1906,1.71366869107713e-11,0
1907,1.48988248325845e-10,1
1908,1.31851561415073e-10,1
1909,1.86975593737973e-10,2
1910,2.42071152805374e-10,2
1911,2.70027016619727e-10,3
1912,2.70027016619727e-10,3
1913,2.70027016619727e-10,3
1914,1.52791944770961e-10,2
1915,1.52791944770961e-10,2
1916,9.76679124480612e-11,1
1917,1.82229702557927e-10,2
1918,1.54273838743573e-10,1
1919,1.54273838743573e-10,1
1920,1.54273838743573e-10,2
1921,1.67768957456563e-10,2
1922,2.16071549541397e-10,2
1923,2.16071549541397e-10,1
1924,1.25257256947516e-10,1
1925,1.25257256947516e-10,1
1926,1.71103187174282e-10,1
1927,3.07533459016034e-10,2
1928,5.53135664255982e-10,3
1929,1.26340697427705e-09,8
1930,1.26340697427705e-09,8
1931,1.29326294911231e-09,8
