"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,1.89879635824143e-10,0
1851,3.75594016206142e-10,1
1852,3.75594016206142e-10,1
1853,3.75594016206142e-10,1
1854,3.75594016206142e-10,1
1855,3.75594016206142e-10,1
1856,3.75594016206142e-10,1
1857,1.85714380381999e-10,1
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,5.51772318311907e-11,0
1887,5.51772318311907e-11,0
1888,5.51772318311907e-11,0
1889,5.51772318311907e-11,0
1890,5.51772318311907e-11,0
1891,5.51772318311907e-11,0
1892,5.51772318311907e-11,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,7.21526727254229e-11,0
1899,2.17863925313009e-10,2
1900,2.17863925313009e-10,2
1901,2.17863925313009e-10,2
1902,2.69518796169876e-10,2
1903,2.69518796169876e-10,2
1904,2.69518796169876e-10,2
1905,1.97366123444453e-10,2
1906,5.1654870856867e-11,0
1907,5.1654870856867e-11,0
1908,5.1654870856867e-11,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,1.42057466980182e-11,0
1920,3.74074015810752e-11,0
1921,3.74074015810752e-11,0
1922,3.74074015810752e-11,0
1923,3.74074015810752e-11,0
1924,3.74074015810752e-11,0
1925,3.74074015810752e-11,0
1926,2.3201654883057e-11,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,3.30962083136147e-11,0
1947,3.30962083136147e-11,0
1948,3.30962083136147e-11,0
1949,3.30962083136147e-11,0
1950,3.30962083136147e-11,0
1951,3.30962083136147e-11,0
1952,3.30962083136147e-11,0
1953,4.70677108399542e-11,0
1954,4.70677108399542e-11,0
1955,4.70677108399542e-11,0
1956,4.70677108399542e-11,0
1957,4.70677108399542e-11,0
1958,5.8969518752188e-11,1
1959,5.8969518752188e-11,1
1960,1.19018079122338e-11,0
1961,1.19018079122338e-11,0
1962,2.21035640187875e-11,0
1963,3.20074205235293e-11,0
1964,3.20074205235293e-11,0
1965,2.8920694212469e-11,0
1966,2.8920694212469e-11,0
1967,2.8920694212469e-11,0
1968,3.77772357047184e-11,1
1969,3.65523653012012e-11,1
1970,4.41875266535671e-11,1
1971,4.41875266535671e-11,1
1972,3.53724450523935e-11,1
1973,3.53724450523935e-11,1
1974,5.16674520627853e-11,1
1975,5.90299099283748e-11,1
1976,5.00530242253383e-11,1
1977,3.25140063682307e-11,1
1978,6.51537207122363e-11,1
1979,8.95368233920303e-11,2
1980,8.95368233920303e-11,2
1981,7.32418163816386e-11,1
1982,5.70228170237996e-11,1
1983,1.08840359344268e-10,2
1984,1.08840359344268e-10,2
1985,9.06687948926915e-11,2
1986,6.62856922128974e-11,1
1987,7.2973159756914e-11,1
1988,1.14561614659011e-10,2
1989,1.27865637225158e-10,3
1990,8.93630184731605e-11,2
1991,8.93630184731605e-11,2
1992,1.25793637907006e-10,3
1993,1.25793637907006e-10,3
1994,1.45118689882333e-10,3
1995,1.16304497778584e-10,3
1996,1.03000475212437e-10,2
1997,8.96855516439667e-11,2
1998,8.96855516439667e-11,2
1999,7.13262455051148e-11,2
2000,7.13262455051148e-11,2
2001,4.53137259857707e-11,1
2002,3.2539463187423e-11,1
2003,3.2539463187423e-11,1
2004,3.7586009205797e-11,1
2005,5.74603831777447e-11,2
2006,5.06537802773861e-11,1
2007,5.06537802773861e-11,1
2008,7.71091776739587e-11,2
2009,8.12578570898369e-11,2
2010,8.53517534427084e-11,2
2011,1.22086781656483e-10,3
2012,1.07552265208945e-10,4
2013,1.19276565311141e-10,4
2014,1.34863814064769e-10,4
2015,1.19269759247491e-10,3
2016,1.52671990625139e-10,4
2017,1.73341109984311e-10,5
2018,1.49515128056166e-10,4
2019,1.7754915940249e-10,4
