"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,1.64956524630254e-10,0
1834,6.63317686492145e-10,1
1835,6.63317686492145e-10,1
1836,6.63317686492145e-10,1
1837,6.63317686492145e-10,1
1838,6.63317686492145e-10,1
1839,6.63317686492145e-10,1
1840,4.98361161861892e-10,1
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,2.42421844503277e-10,1
1848,2.42421844503277e-10,1
1849,2.42421844503277e-10,1
1850,2.42421844503277e-10,1
1851,2.42421844503277e-10,1
1852,2.42421844503277e-10,1
1853,2.42421844503277e-10,1
1854,0,0
1855,0,0
1856,0,0
1857,4.33208009147685e-10,1
1858,4.33208009147685e-10,1
1859,4.33208009147685e-10,1
1860,4.94203221996463e-10,1
1861,4.94203221996463e-10,1
1862,4.94203221996463e-10,1
1863,4.94203221996463e-10,1
1864,6.09952128487785e-11,0
1865,6.09952128487785e-11,0
1866,6.09952128487785e-11,0
1867,0,0
1868,1.79246776152045e-10,1
1869,1.79246776152045e-10,1
1870,1.79246776152045e-10,1
1871,2.60398900854751e-10,1
1872,3.42302329338549e-10,1
1873,3.81311081915874e-10,1
1874,4.60792511290466e-10,2
1875,2.81545735138421e-10,1
1876,8.56525481493112e-10,3
1877,1.10118718508824e-09,4
1878,1.32482012542885e-08,47
1879,1.52262128104232e-08,57
1880,1.51872040578459e-08,62
1881,1.52024194185632e-08,60
1882,5.03668139893522e-08,205
1883,5.00809378887825e-08,217
1884,4.99583198143583e-08,225
1885,3.79042932755322e-08,166
1886,3.60926758321715e-08,160
1887,3.63137475803807e-08,169
1888,3.62730564751335e-08,178
1889,1.39654176714973e-09,7
1890,4.01644252380682e-09,21
1891,4.20165949255313e-09,22
1892,4.34212199529327e-09,24
1893,4.18607114051537e-09,24
1894,4.00918293801717e-09,22
1895,3.95517725317239e-09,25
1896,5.3340140518784e-09,33
1897,5.08148557755637e-09,33
1898,4.77422497963913e-09,32
1899,4.64176188755669e-09,34
1900,4.63986822772457e-09,36
1901,4.61282136892433e-09,36
1902,4.63003965920995e-09,36
1903,3.23428846998081e-09,25
1904,6.72934983530255e-10,6
1905,9.16884780401338e-10,8
1906,2.76720889654961e-09,25
1907,2.73545656562632e-09,25
1908,2.78694215324496e-09,26
1909,3.69305140436791e-09,34
1910,4.04191098051549e-09,39
1911,4.04463406616135e-09,42
1912,3.94482534534938e-09,41
1913,1.98385175549059e-09,20
1914,2.14449840821703e-09,22
1915,2.10775357881562e-09,21
