"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,4.91919965079595e-10,1
1830,4.91919965079595e-10,1
1831,4.91919965079595e-10,1
1832,4.91919965079595e-10,1
1833,1.23422434177607e-09,2
1834,1.23422434177607e-09,2
1835,1.23422434177607e-09,2
1836,7.42304376696471e-10,1
1837,7.42304376696471e-10,1
1838,7.42304376696471e-10,1
1839,7.42304376696471e-10,1
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,4.67171365084848e-10,1
1846,4.67171365084848e-10,1
1847,4.67171365084848e-10,1
1848,4.67171365084848e-10,1
1849,5.20910905680136e-10,1
1850,5.20910905680136e-10,1
1851,1.17091121322664e-09,3
1852,7.03739848141792e-10,2
1853,7.03739848141792e-10,2
1854,7.03739848141792e-10,2
1855,7.56241593156761e-10,2
1856,7.52200857156993e-10,2
1857,8.0033507995506e-10,2
1858,1.50334772408556e-10,0
1859,1.50334772408556e-10,0
1860,5.77301266315087e-10,2
1861,5.77301266315087e-10,1
1862,8.03390893493778e-10,2
1863,1.18333298318848e-09,3
1864,1.18229388184383e-09,3
1865,1.18229388184383e-09,3
1866,1.22653350174774e-09,4
1867,8.42779461297992e-10,3
1868,1.6493899539822e-09,5
1869,1.56872801653536e-09,5
1870,1.47697880513244e-09,5
1871,1.42988368367902e-09,5
1872,2.00320767513545e-09,7
1873,3.05121311946647e-09,10
1874,3.76307424110323e-09,13
1875,3.71864923774469e-09,13
1876,3.6740477406459e-09,13
1877,4.45460957803385e-09,16
1878,4.56346565694662e-09,16
1879,4.96772847064746e-09,18
1880,4.33589698668944e-09,18
1881,6.73738299674019e-09,26
1882,7.40121896706089e-09,30
1883,7.9867114945374e-09,35
1884,6.92927978884761e-09,31
1885,6.90749353747324e-09,30
1886,6.37132458696550e-09,28
1887,6.60176022578999e-09,31
1888,3.52620916593034e-09,17
1889,2.25721308311222e-09,12
1890,1.5942796884248e-09,8
1891,1.58446797349221e-09,8
1892,1.6097560586102e-09,9
1893,1.67569499546058e-09,9
1894,1.1836717320587e-09,7
1895,1.10266320677407e-09,7
1896,1.15882251413727e-09,7
1897,1.56593107528532e-09,10
1898,1.56883548215906e-09,11
1899,1.63861663523715e-09,12
1900,1.1493304482738e-09,9
1901,1.34464828953946e-09,11
1902,1.41352145068195e-09,11
1903,1.99729399685822e-09,16
1904,2.03747179048998e-09,17
1905,2.01385100857226e-09,17
1906,1.84722692895902e-09,16
1907,1.8438064983536e-09,17
1908,1.5594583422215e-09,15
1909,1.62839526188626e-09,15
1910,8.45211921285394e-10,8
