"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,7.27136573175358e-10,0
1904,7.27136573175358e-10,0
1905,7.27136573175358e-10,0
1906,7.27136573175358e-10,0
1907,7.27136573175358e-10,0
1908,3.12587961864048e-09,1
1909,3.12587961864048e-09,1
1910,2.39874304546512e-09,1
1911,4.77200958113956e-09,2
1912,4.77200958113956e-09,2
1913,4.77200958113956e-09,1
1914,4.77200958113956e-09,1
1915,2.37326653567444e-09,1
1916,2.37326653567444e-09,1
1917,2.37326653567444e-09,1
1918,0,0
1919,3.76576928370501e-10,0
1920,3.76576928370501e-10,0
1921,3.76576928370501e-10,0
1922,3.76576928370501e-10,0
1923,3.76576928370501e-10,0
1924,3.76576928370501e-10,0
1925,3.76576928370501e-10,0
1926,0,0
1927,0,0
1928,4.73899725810562e-09,1
1929,6.09372552418108e-09,1
1930,6.09372552418108e-09,1
1931,6.09372552418108e-09,2
1932,6.09372552418108e-09,1
1933,6.09372552418108e-09,1
1934,1.0725069721218e-08,2
1935,5.98607246311238e-09,1
1936,9.28965038227147e-09,2
1937,9.28965038227147e-09,2
1938,9.28965038227147e-09,2
1939,9.28965038227147e-09,2
1940,9.28965038227147e-09,2
1941,4.65830618523455e-09,1
1942,4.65830618523455e-09,1
1943,0,0
1944,2.83759904462499e-09,0
1945,2.83759904462499e-09,0
1946,2.83759904462499e-09,1
1947,2.83759904462499e-09,1
1948,3.34268917307717e-09,1
1949,3.88819122930175e-09,1
1950,7.43590947546327e-09,2
1951,4.59831043083828e-09,1
1952,5.49470145573748e-09,3
1953,6.01007142466057e-09,2
1954,7.96718868656399e-09,2
1955,7.94956027989307e-09,2
1956,8.77600268646615e-09,2
1957,6.93048307631727e-09,2
1958,6.93048307631727e-09,2
1959,6.03409205141807e-09,2
1960,5.51872208249498e-09,2
1961,3.56160482059157e-09,1
1962,3.07414309881031e-09,1
1963,1.70219863601265e-09,1
1964,1.5506654690459e-09,0
1965,1.5506654690459e-09,1
1966,2.15085305121931e-09,1
1967,3.30958787359797e-09,1
1968,3.30958787359797e-09,2
1969,3.30958787359797e-09,1
1970,5.3763454640635e-09,2
1971,4.84690589251459e-09,2
1972,5.52660206487587e-09,2
1973,4.92641448270246e-09,2
1974,5.52987804753562e-09,2
1975,5.52987804753562e-09,2
1976,6.06709847440965e-09,3
1977,4.25036184026339e-09,2
1978,3.2291359427664e-09,2
1979,2.54943977040512e-09,1
1980,2.75911558679707e-09,1
1981,1.99138845096465e-09,1
1982,2.73174149967303e-09,2
1983,2.194521072799e-09,1
1984,2.41321765745032e-09,2
1985,3.3254430003333e-09,2
1986,3.607547847752e-09,3
1987,3.6538831008467e-09,3
1988,3.16383632784475e-09,3
1989,3.2874800262991e-09,3
1990,4.95116775356408e-09,5
1991,9.08136949766864e-09,10
1992,9.7435377226824e-09,10
1993,1.10445427089648e-08,12
1994,1.27882080004836e-08,15
1995,1.31734356835698e-08,16
1996,1.49502173894613e-08,19
1997,1.47005086912978e-08,19
1998,1.09396464823394e-08,15
1999,1.08502242983961e-08,16
2000,1.06440896969444e-08,23
2001,9.54620518348445e-09,21
2002,9.18025464377184e-09,22
2003,6.75326849204032e-09,18
2004,5.90716128393406e-09,17
2005,5.96624777360333e-09,17
2006,5.21905192872398e-09,16
2007,4.45826243382947e-09,16
2008,1.26430523590087e-08,52
2009,1.24481572867057e-08,58
2010,1.26454863128408e-08,63
2011,1.3284497751842e-08,82
2012,1.30678360473916e-08,100
2013,1.27063569269456e-08,98
2014,1.22867044931109e-08,112
2015,3.40764374852563e-09,25
2016,3.36085428336614e-09,22
2017,3.44135511522644e-09,28
2018,2.4399895742766e-09,19
2019,1.85914371050866e-09,14
