"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,1.4653390405834e-09,3
1833,1.4653390405834e-09,2
1834,1.4653390405834e-09,2
1835,1.4653390405834e-09,2
1836,1.4653390405834e-09,3
1837,1.4653390405834e-09,3
1838,1.4653390405834e-09,2
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,6.23571789442374e-11,0
1847,6.23571789442374e-11,0
1848,6.23571789442374e-11,0
1849,6.23571789442374e-11,0
1850,6.23571789442374e-11,0
1851,6.23571789442374e-11,0
1852,1.10657919335669e-10,0
1853,4.83007403914318e-11,0
1854,9.64786742560112e-11,0
1855,9.64786742560112e-11,0
1856,9.64786742560112e-11,0
1857,9.64786742560112e-11,0
1858,9.64786742560112e-11,0
1859,4.81779338645794e-11,0
1860,4.81779338645794e-11,0
1861,0,0
1862,0,0
1863,3.18679780976692e-10,1
1864,3.18679780976692e-10,1
1865,3.60839013430996e-10,1
1866,4.03000422715445e-10,1
1867,5.26564280273994e-10,2
1868,5.26564280273994e-10,2
1869,5.26564280273994e-10,2
1870,2.07884499297301e-10,1
1871,2.07884499297301e-10,1
1872,1.65725266842998e-10,1
1873,5.32298110351397e-10,2
1874,4.08734252792848e-10,1
1875,4.46926051722585e-10,2
1876,4.46926051722585e-10,2
1877,4.46926051722585e-10,2
1878,4.46926051722585e-10,2
1879,5.46584206467011e-10,2
1880,1.37849953674163e-10,1
1881,1.37849953674163e-10,1
1882,9.96581547444261e-11,0
1883,1.60779695113078e-10,1
1884,2.47838043738418e-10,1
1885,3.03044081892015e-10,1
1886,2.03385927147589e-10,1
1887,4.66357317842535e-10,2
1888,4.66357317842535e-10,2
1889,4.66357317842535e-10,2
1890,5.0147339059059e-10,3
1891,5.36150758710465e-10,3
1892,4.80944720556867e-10,3
1893,4.80944720556867e-10,3
1894,2.17973329861922e-10,1
1895,2.17973329861922e-10,1
1896,3.83809728047143e-10,2
1897,4.11105538500323e-10,3
1898,4.77801978537862e-10,3
1899,6.33458985662852e-10,5
1900,7.0211167237298e-10,5
1901,7.50945338650373e-10,6
1902,9.30800580461228e-10,7
1903,9.46511517972505e-10,7
1904,1.1390768209615e-09,9
1905,1.02300200255367e-09,8
1906,1.89860665681226e-09,17
1907,3.04034320338812e-09,27
1908,5.41545105287033e-09,50
1909,7.01466990545217e-09,64
1910,8.36317651044448e-09,81
1911,9.7189138453405e-09,100
1912,1.18914494729291e-08,122
1913,1.25436690548431e-08,129
1914,1.54160268588309e-08,156
